Julian Hour	u (m/s)	v (m/s)
18091	-0.00119431503117085	0.0299175307154655
18091.04	-0.00119431503117085	0.0299175307154655
18091.08	-0.00119431503117085	0.0299175307154655
18091.13	-0.00119431503117085	0.0299175307154655
18091.17	-0.00119431503117085	0.0299175307154655
18091.21	-0.00119431503117085	0.0299175307154655
18091.25	-0.00119431503117085	0.0299175307154655
18091.29	-0.00119431503117085	0.0299175307154655
18091.33	-0.00119431503117085	0.0299175307154655
18091.38	-0.00119431503117085	0.0299175307154655
18091.42	-0.00119431503117085	0.0299175307154655
18091.46	-0.00119431503117085	0.0299175307154655
18091.5	-0.00119431503117085	0.0299175307154655
18091.54	-0.00119431503117085	0.0299175307154655
18091.58	-0.00119431503117085	0.0299175307154655
18091.63	-0.00119431503117085	0.0299175307154655
18091.67	-0.00119431503117085	0.0299175307154655
18091.71	-0.00119431503117085	0.0299175307154655
18091.75	-0.00119431503117085	0.0299175307154655
18091.79	-0.00119431503117085	0.0299175307154655
18091.83	-0.00119431503117085	0.0299175307154655
18091.88	-0.00119431503117085	0.0299175307154655
18091.92	-0.00119431503117085	0.0299175307154655
18091.96	-0.00119431503117085	0.0299175307154655
18092	0.0557514354586601	0.0685497522354126
18092.04	0.0557514354586601	0.0685497522354126
18092.08	0.0557514354586601	0.0685497522354126
18092.13	0.0557514354586601	0.0685497522354126
18092.17	0.0557514354586601	0.0685497522354126
18092.21	0.0557514354586601	0.0685497522354126
18092.25	0.0557514354586601	0.0685497522354126
18092.29	0.0557514354586601	0.0685497522354126
18092.33	0.0557514354586601	0.0685497522354126
18092.38	0.0557514354586601	0.0685497522354126
18092.42	0.0557514354586601	0.0685497522354126
18092.46	0.0557514354586601	0.0685497522354126
18092.5	0.0557514354586601	0.0685497522354126
18092.54	0.0557514354586601	0.0685497522354126
18092.58	0.0557514354586601	0.0685497522354126
18092.63	0.0557514354586601	0.0685497522354126
18092.67	0.0557514354586601	0.0685497522354126
18092.71	0.0557514354586601	0.0685497522354126
18092.75	0.0557514354586601	0.0685497522354126
18092.79	0.0557514354586601	0.0685497522354126
18092.83	0.0557514354586601	0.0685497522354126
18092.88	0.0557514354586601	0.0685497522354126
18092.92	0.0557514354586601	0.0685497522354126
18092.96	0.0557514354586601	0.0685497522354126
18093	-0.0271509811282158	-0.0379307121038437
18093.04	-0.0271509811282158	-0.0379307121038437
18093.08	-0.0271509811282158	-0.0379307121038437
18093.13	-0.0271509811282158	-0.0379307121038437
18093.17	-0.0271509811282158	-0.0379307121038437
18093.21	-0.0271509811282158	-0.0379307121038437
18093.25	-0.0271509811282158	-0.0379307121038437
18093.29	-0.0271509811282158	-0.0379307121038437
18093.33	-0.0271509811282158	-0.0379307121038437
18093.38	-0.0271509811282158	-0.0379307121038437
18093.42	-0.0271509811282158	-0.0379307121038437
18093.46	-0.0271509811282158	-0.0379307121038437
18093.5	-0.0271509811282158	-0.0379307121038437
18093.54	-0.0271509811282158	-0.0379307121038437
18093.58	-0.0271509811282158	-0.0379307121038437
18093.63	-0.0271509811282158	-0.0379307121038437
18093.67	-0.0271509811282158	-0.0379307121038437
18093.71	-0.0271509811282158	-0.0379307121038437
18093.75	-0.0271509811282158	-0.0379307121038437
18093.79	-0.0271509811282158	-0.0379307121038437
18093.83	-0.0271509811282158	-0.0379307121038437
18093.88	-0.0271509811282158	-0.0379307121038437
18093.92	-0.0271509811282158	-0.0379307121038437
18093.96	-0.0271509811282158	-0.0379307121038437
