Day	Pexc	Nexc	Cexc	Pwst	Nwst	Cwst
18174	0.27866	5.93544	45.23383	4.72266	54.04906	342.19608
18175	0.28251	6.01734	45.85798	4.78783	54.79485	346.91781
18176	0.28314	6.03076	45.96027	4.79851	54.91708	347.69168
18177	0.28654	6.10332	46.51324	4.85624	55.57781	351.87486
18178	0.2934	6.24942	47.62667	4.97249	56.90822	360.298
18179	0.2931	6.24299	47.57764	4.96737	56.84964	359.9271
18180	0.29033	6.18387	47.12708	4.92033	56.31127	356.51861
18181	0.28052	5.97502	45.53546	4.75416	54.40947	344.4779
18182	0.29377	6.25724	47.68626	4.97871	56.97943	360.74882
18183	0.29667	6.31892	48.15632	5.02779	57.5411	364.30488
18184	0.30586	6.51476	49.64882	5.18361	59.32446	375.59572
18185	0.30723	6.54396	49.87133	5.20684	59.59032	377.27897
18186	0.3173	6.75846	51.50606	5.37752	61.54364	389.6458
18187	0.32011	6.81815	51.96091	5.42501	62.08713	393.08679
18188	0.32766	6.97907	53.18729	5.55305	63.5525	402.36437
18189	0.33649	7.1672	54.62101	5.70274	65.26564	413.21059
18190	0.34171	7.2784	55.46848	5.79122	66.27826	419.62173
18191	0.34495	7.34742	55.99449	5.84614	66.90678	423.60102
18192	0.3413	7.26968	55.40202	5.78428	66.19885	419.11893
18193	0.34505	7.34952	56.01051	5.84781	66.92592	423.7222
18194	0.34651	7.38062	56.24749	5.87255	67.20908	425.51492
18195	0.35186	7.49451	57.11542	5.96317	68.24616	432.08092
18196	0.35581	7.57861	57.75638	6.03009	69.01202	436.92975
18197	0.36183	7.70688	58.7339	6.13215	70.18005	444.32477
18198	0.3655	7.7851	59.33002	6.19439	70.89234	448.83444
18199	0.36841	7.84713	59.80274	6.24374	71.45719	452.41058
18200	0.37315	7.94792	60.57085	6.32393	72.37498	458.22135
18201	0.37642	8.01759	61.10182	6.37937	73.00943	462.23816
18202	0.37913	8.07545	61.54277	6.42541	73.53631	465.57397
18203	0.38183	8.13284	61.98012	6.47107	74.05889	468.88254
18204	0.38344	8.16711	62.24135	6.49834	74.37103	470.85876
18205	0.38723	8.24787	62.85678	6.5626	75.1064	475.51456
18206	0.38864	8.2779	63.08566	6.58649	75.37988	477.24602
18207	0.39149	8.33854	63.54778	6.63474	75.93207	480.74201
18208	0.39451	8.40303	64.03925	6.68606	76.51931	484.45998
18209	0.39669	8.44933	64.39207	6.72289	76.94089	487.12905
18210	0.39872	8.49253	64.72135	6.75727	77.33435	489.62014
18211	0.39868	8.49179	64.71566	6.75668	77.32755	489.57709
18212	0.406	8.64778	65.90449	6.8808	78.74805	498.57062
18213	0.40841	8.69895	66.29443	6.92151	79.21399	501.52055
18214	0.41031	8.73958	66.6041	6.95384	79.584	503.86318
18215	0.41265	8.7894	66.98375	6.99348	80.03764	506.73524
18216	0.41715	8.88516	67.71359	7.06968	80.90971	512.25654
18217	0.41973	8.94011	68.13234	7.1134	81.41007	515.4244
