Day        Pexc        Nexc        Cexc        Pwst        Nwst        Cwst
18250        0.36725        8.37989        46.15751        6.98986        79.99622        506.47302
18251        0.39277        8.96235        49.36579        7.4757        85.55654        541.6766
18252        0.3885        8.86488        48.82887        7.3944        84.626        535.78512
18253        0.42038        9.5924        52.83617        8.00124        91.5711        579.75603
18254        0.38891        8.87415        48.87996        7.40213        84.71454        536.34571
18255        0.41415        9.45021        52.05297        7.88264        90.21373        571.16225
18256        0.38909        8.87832        48.90293        7.40561        84.75435        536.59778
18257        0.39587        9.03298        49.75479        7.53461        86.23072        545.94495
18258        0.41396        9.4457        52.02812        7.87887        90.17066        570.88958
18259        0.36862        8.41116        46.32975        7.01594        80.29474        508.36298
18260        0.39415        8.99388        49.53947        7.502        85.85754        543.58229
18261        0.41001        9.35559        51.53179        7.80371        89.31046        565.44342
18262        0.39496        9.01229        49.64086        7.51736        86.03327        544.69483
18263        0.40013        9.13023        50.2905        7.61574        87.15916        551.82313
18264        0.42957        9.80189        53.99006        8.17598        93.57091        592.41729
18265        0.43186        9.85435        54.27901        8.21974        94.07171        595.5879
18266        0.42462        9.68906        53.36858        8.08187        92.49383        585.59806
18267        0.39743        9.06869        49.95149        7.5644        86.57162        548.10325
18268        0.38257        8.72946        48.08297        7.28144        83.33327        527.6006
18269        0.41309        9.42587        51.91888        7.86233        89.98134        569.69091
18270        0.44683        10.19584        56.16001        8.50459        97.3317        616.22761
18271        0.44188        10.08278        55.53727        8.41028        96.25242        609.39445
18272        0.46492        10.6087        58.43406        8.84896        101.27288        641.18006
18273        0.43924        10.02257        55.2056        8.36005        95.67759        605.7551
18274        0.44704        10.20062        56.18631        8.50857        97.37728        616.51616
18275        0.44436        10.13951        55.84974        8.4576        96.79396        612.82308
18276        0.47626        10.86733        59.85867        9.06469        103.74189        656.8119
18277        0.45392        10.3576        57.05096        8.63951        98.87582        626.00376
18278        0.45805        10.45185        57.57011        8.71812        99.77555        631.70017
18279        0.47298        10.79258        59.44689        9.00233        103.02824        652.29361
18280        0.51508        11.75322        64.73827        9.80363        112.19879        710.35431
18281        0.47094        10.74608        59.19078        8.96355        102.58437        649.48337
18282        0.48803        11.13583        61.33759        9.28865        106.30503        673.03966
18283        0.49195        11.22547        61.83133        9.36342        107.16074        678.45737
18284        0.50629        11.5527        63.63377        9.63637        110.28457        698.23501
18285        0.48066        10.96774        60.41174        9.14845        104.70043        662.88062
18286        0.51759        11.81051        65.0538        9.85142        112.74565        713.81662
18287        0.55559        12.67757        69.82968        10.57465        121.02279        766.22092
18288        0.51415        11.73201        64.62141        9.78594        111.99627        709.0721
18289        0.52353        11.94604        65.80034        9.96447        114.03948        722.00813
18290        0.51622        11.77924        64.88158        9.82534        112.44718        711.9269
18291        0.53749        12.26442        67.55401        10.23003        117.07879        741.25062
18292        0.58063        13.2488        72.9761        11.05113        126.4759        800.7457
18293        0.57735        13.17405        72.56438        10.98878        125.76234        796.22802
18294        0.58722        13.39938        73.80549        11.17673        127.91333        809.84638
18295        0.5748        13.11589        72.24402        10.94027        125.20711        792.71273
18296        0.59715        13.62593        75.05336        11.3657        130.07603        823.53888
18297        0.57425        13.10343        72.17537        10.92987        125.08813        791.95947
18298        0.60998        13.91865        76.6657        11.60986        132.8704        841.23063
18299        0.62201        14.19307        78.17727        11.83877        135.49011        857.81661
18300        0.67958        15.50681        85.41351        12.93459        148.03134        937.21775
18301        0.73387        16.74558        92.2368        13.96787        159.85689        1012.08781
18302        0.72986        16.65396        91.73218        13.89145        158.98231        1006.55071
18303        0.727        16.58889        91.37375        13.83718        158.36112        1002.6178
18304        0.72475        16.53741        91.09016        13.79423        157.86962        999.50602
18305        0.73575        16.78835        92.47238        14.00355        160.26517        1014.67273
18306        0.74197        16.93038        93.25469        14.12202        161.621        1023.25678
18307        0.75209        17.16141        94.52724        14.31472        163.82647        1037.22008
18308        0.75163        17.1508        94.46881        14.30588        163.72521        1036.57897
18309        0.74231        16.93809        93.29718        14.12845        161.69464        1023.72303
18310        0.75916        17.32264        95.41532        14.44921        165.36562        1046.96478
18311        0.76774        17.51831        96.49308        14.61242        167.23351        1058.79076
18312        0.76904        17.54798        96.65653        14.63717        167.51677        1060.58416
18313        0.77027        17.57611        96.81149        14.66064        167.78533        1062.2845
18314        0.77843        17.76232        97.83716        14.81596        169.56295        1073.53893
18315        0.79481        18.13603        99.8956        15.12768        173.13044        1096.12553
18316        0.80952        18.47165        101.74422        15.40763        176.33432        1116.40993
18317        0.81601        18.61981        102.56029        15.53121        177.74867        1125.36448
18318        0.82101        18.73402        103.18937        15.62647        178.83892        1132.26711
18319        0.82463        18.81649        103.64365        15.69527        179.62625        1137.25183
18320        0.83022        18.94407        104.34637        15.80168        180.84415        1144.96263
18321        0.83682        19.09474        105.17625        15.92736        182.28243        1154.06867
18322        0.84024        19.17278        105.60616        15.99246        183.0275        1158.78586
18323        0.84494        19.27992        106.19626        16.08182        184.05022        1165.26096
18324        0.852        19.4411        107.08406        16.21626        185.58887        1175.00248
18325        0.85658        19.54562        107.65976        16.30345        186.58663        1181.31952
18326        0.86109        19.64842        108.22603        16.3892        187.56803        1187.53294
18327        0.86544        19.74783        108.77359        16.47212        188.51702        1193.54119
18328        0.87024        19.85722        109.37611        16.56336        189.56126        1200.15253
18329        0.87469        19.95892        109.9363        16.64819        190.53213        1206.29931
18330        0.8787        20.05033        110.43978        16.72444        191.40472        1211.82383
18331        0.88298        20.14802        110.97787        16.80592        192.33729        1217.72813
18332        0.88641        20.22629        111.40899        16.87121        193.08447        1222.45868
18333        0.89168        20.3466        112.07166        16.97156        194.23295        1229.72999
18334        0.8973        20.47483        112.77797        17.07852        195.45706        1237.48009
