"day","0_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
36,0.896368867870545,0.305655798512648,0.198144697108226,0.0675660186185854,1.45935141997169,0.497629089508311,3.96999909471943,2.0474551096541,3.59190394284139,1.85245938492514,8.31809334131691,4.28990594403717
37,0.929955015511693,0.309244455369043,0.205569003428901,0.0683593006605253,1.51403202525412,0.503471674706091,5.35989474627072,2.07149395940986,4.84942857995922,1.87420882041844,11.2302556588529,4.34027305781113
38,0.970115073596948,0.314911450961215,0.21444648995301,0.0696120049493213,1.57941541806661,0.512697941214048,6.80074120837124,2.10945469543398,6.15305156947875,1.90855424824979,14.249172055635,4.41980983805214
39,1.00785007446995,0.319664105407528,0.222787911198621,0.0706625917216641,1.6408506475581,0.520435596172256,8.16283101305921,2.14129065823224,7.385418535625,1.93735821459108,17.1030745035526,4.48651376010565
40,1.05031965890887,0.325797684282807,0.232175924600908,0.0720184354730417,1.70999411134637,0.530421493007799,9.49319876616171,2.18237683251641,8.58908459795583,1.9745314198958,19.8905117005293,4.57259907765344
41,1.15448730039919,0.350317362015956,0.255202455877717,0.077438574761422,1.87958634170255,0.570341249036504,10.5052640433784,2.34662347761885,9.50476270591377,2.12313552736943,22.0110294242214,4.9167349054871
42,1.20464112829354,0.357699762775277,0.266289091517519,0.0790704738766403,1.96124029308141,0.58236031553589,11.7841439099867,2.3960749659588,10.661844489988,2.1678773501532,24.6905872399722,5.02034754772319
43,1.22760458404166,0.357102110594473,0.271365223840788,0.0789383612893047,1.99862641050993,0.581387295845037,13.3401457654655,2.39207155422135,12.069655692564,2.16425521572408,27.9507816038325,5.01195944693998
44,1.2379997519693,0.353277943327051,0.273663103066899,0.078093019051243,2.0155504733816,0.575161283171059,14.8853370987431,2.36645512276494,13.4676859464818,2.14107844440637,31.1883253497474,4.95828692388844
45,1.26489226138245,0.354516125826437,0.279607763042437,0.0783667225511071,2.05933336589985,0.577177131170058,16.415005029376,2.37474916821537,14.8516712170545,2.14858258076628,34.3933438710735,4.97566492387981
46,1.29394149026018,0.356541105786428,0.286029171531198,0.0788143497001579,2.10662754905517,0.580473940648781,17.8352264452877,2.38831362727751,16.1366334504984,2.16085518658441,37.3690458853648,5.00408569524811
47,1.46626622248491,0.39723091472562,0.324122007075611,0.0878089390446108,2.38718430608069,0.646719805026974,18.2957005098121,2.66087694074578,16.5532528422109,2.40746008924618,38.3338486872252,5.57517073299115
48,1.52916774436274,0.407308327266971,0.338026554017027,0.0900365776063831,2.48959239783969,0.663126539831139,19.5841374920394,2.72838113958737,17.7189815404166,2.46853531676952,41.0334309357017,5.71660810199258
49,1.56997599749762,0.41148637030204,0.347047325762632,0.0909601450141352,2.55603109768034,0.669928687088234,20.9255687018106,2.75636803073137,18.9326573968763,2.49385678970933,43.8440487085556,5.77524730248477
50,1.59065049647352,0.410638277802255,0.351617478167831,0.0907726719352353,2.58969063285514,0.66854793298332,22.4968512196947,2.75068702834046,20.3542939606762,2.48871683516518,47.136259698408,5.76334424985621
51,1.60257145687908,0.407918279559542,0.354252637836429,0.0901714091657935,2.60909879295401,0.664119584967114,24.0317713408154,2.73246694441798,21.7430312131187,2.47223199733056,50.3522828093275,5.72516883592339
52,1.69792335490181,0.426408696311314,0.375330425820401,0.0942587644477641,2.76433837429629,0.694223281012103,25.1028075727882,2.85632619538679,22.7120639944274,2.58429512915948,52.5963587239371,5.98468345700089
53,1.7709002843182,0.438964074615457,0.391462168112444,0.0970341638623643,2.88314993657419,0.714664317970428,26.2287258568562,2.94042920795043,23.730751965727,2.66038833100277,54.9554256048415,6.16089929284852
54,1.82629723546842,0.447074211169613,0.40370780994565,0.0988269308901249,2.97334006055209,0.727868189412983,27.5673879766384,2.99475548151894,24.9419224550538,2.70954067375523,57.7602414748614,6.27472577080158
55,1.9411909620885,0.469500732465637,0.429105370566931,0.103784372439772,3.16039511020724,0.764380139873879,28.4125094023626,3.1449809830234,25.7065561259471,2.84545898464022,59.5309720811407,6.58948396442999
56,2.07721105080075,0.496481330693029,0.459172969124377,0.109748504679512,3.38184535990017,0.808306447163387,29.1161073896259,3.3257122630155,26.3431447810901,3.00897776177593,61.0051773877876,6.96815902727058
57,2.11318438074118,0.499378651857746,0.467124968374367,0.110388965147502,3.4404124654874,0.81302348934033,30.584857638909,3.3451201559849,27.672014054251,3.02653728398634,64.082558862476,7.00882318396836
58,2.07526112990156,0.485320586505237,0.458741933978239,0.107281392806421,3.37867075183973,0.790135972415544,32.4536118371489,3.25095129716427,29.3627916621824,2.94133688791053,67.9980438492644,6.81151700358228
59,2.2631127499638,0.524001971307589,0.500267028939367,0.115832014710099,3.68450637187089,0.853111981356917,31.6701196995327,3.51006105182117,28.6539178233867,3.1757695230763,66.3564412752114,7.35441363238721
60,2.35995220616732,0.541115422415194,0.52167364557383,0.119614988112832,3.84216780232153,0.880973880704035,31.401287227666,3.62469660947977,28.4106884440787,3.27948740857693,65.7931732389192,7.59460241986237
61,2.41779834251207,0.549263733261145,0.53446068623951,0.121416193668253,3.93634537166877,0.89423990257253,31.393652348402,3.67927859600767,28.4037806961733,3.32887111067361,65.7771763490329,7.7089646773494
62,2.39284983244839,0.538943991573551,0.52894575243596,0.119134987610995,3.89572744651246,0.877438638912728,31.9406210769116,3.61015113972713,28.8986571648248,3.26632722165788,66.92320606591,7.56412619752352
63,2.47865248434935,0.553814054334304,0.54791265443512,0.122422054116004,4.03542018504596,0.90164814460041,31.8407027778713,3.70975921563648,28.8082548942646,3.3564488141473,66.7138534393495,7.77282883276216
64,2.5279112014293,0.560546156511959,0.558801423473845,0.123910203018433,4.11561683320419,0.912608479373856,31.890586033816,3.75485463692221,28.8533873639287,3.39724943340581,66.8183707375192,7.86731447736083
65,2.57781985157798,0.567541383029749,0.569833861927765,0.125456516248681,4.19687161800767,0.923997199037907,31.9361139919626,3.8017126135964,28.8945793260614,3.43964474563484,66.9137626498264,7.96549309515437
66,2.63844115809149,0.576983293069426,0.583234361262329,0.127543675310084,4.29556735913842,0.939369291172679,31.9098808503335,3.86495985788132,28.8708445788732,3.496868442845,66.8587979721273,8.09801113079895
67,2.77639934238272,0.603238165842705,0.613730380947759,0.133347384028387,4.52017296444063,0.982114066494788,31.460587582447,4.04082981904204,28.4643411460235,3.65598888389518,65.9174216013176,8.46650057323094
