"day","faeces_c_1","faeces_c_2","faeces_l_1","faeces_l_2","faeces_p_1","faeces_p_2"
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0.222088488447683,0.0464639043299529,0.049093244814751,0.0102709683255685,0.361575644349912,0.0756464968740286
32,0.431939102182585,0.106139301601519,0.0954812752193084,0.0234623719329674,0.703227169869191,0.172802231379315
33,0.619816600369847,0.172279652151577,0.137012090608071,0.0380828704756118,1.00910492130389,0.280483363502919
34,0.756604201378451,0.232547080080146,0.167249349778395,0.0514051440177165,1.23180473487579,0.378602965463816
35,0.826169909133948,0.280304739137074,0.182627032545399,0.0619621002303005,1.34506258890579,0.456355785823165
36,0.896368867870545,0.305655798512648,0.198144697108226,0.0675660186185854,1.45935141997169,0.497629089508311
37,0.929955015511693,0.309244455369043,0.205569003428901,0.0683593006605253,1.51403202525412,0.503471674706091
38,0.970115073596948,0.314911450961215,0.21444648995301,0.0696120049493213,1.57941541806661,0.512697941214048
39,1.00785007446995,0.319664105407528,0.222787911198621,0.0706625917216641,1.6408506475581,0.520435596172256
40,1.05031965890887,0.325797684282807,0.232175924600908,0.0720184354730417,1.70999411134637,0.530421493007799
41,1.15448730039919,0.350317362015956,0.255202455877717,0.077438574761422,1.87958634170255,0.570341249036504
42,1.20464112829354,0.357699762775277,0.266289091517519,0.0790704738766403,1.96124029308141,0.58236031553589
43,1.22760458404166,0.357102110594473,0.271365223840788,0.0789383612893047,1.99862641050993,0.581387295845037
44,1.2379997519693,0.353277943327051,0.273663103066899,0.078093019051243,2.0155504733816,0.575161283171059
45,1.26489226138245,0.354516125826437,0.279607763042437,0.0783667225511071,2.05933336589985,0.577177131170058
46,1.29394149026018,0.356541105786428,0.286029171531198,0.0788143497001579,2.10662754905517,0.580473940648781
47,1.46626622248491,0.39723091472562,0.324122007075611,0.0878089390446108,2.38718430608069,0.646719805026974
48,1.52916774436274,0.407308327266971,0.338026554017027,0.0900365776063831,2.48959239783969,0.663126539831139
49,1.56997599749762,0.41148637030204,0.347047325762632,0.0909601450141352,2.55603109768034,0.669928687088234
50,1.59065049647352,0.410638277802255,0.351617478167831,0.0907726719352353,2.58969063285514,0.66854793298332
51,1.60257145687908,0.407918279559542,0.354252637836429,0.0901714091657935,2.60909879295401,0.664119584967114
52,1.69792335490181,0.426408696311314,0.375330425820401,0.0942587644477641,2.76433837429629,0.694223281012103
53,1.7709002843182,0.438964074615457,0.391462168112444,0.0970341638623643,2.88314993657419,0.714664317970428
54,1.82629723546842,0.447074211169613,0.40370780994565,0.0988269308901249,2.97334006055209,0.727868189412983
55,1.9411909620885,0.469500732465637,0.429105370566931,0.103784372439772,3.16039511020724,0.764380139873879
56,2.07721105080075,0.496481330693029,0.459172969124377,0.109748504679512,3.38184535990017,0.808306447163387
57,2.11318438074118,0.499378651857746,0.467124968374367,0.110388965147502,3.4404124654874,0.81302348934033
58,2.07526112990156,0.485320586505237,0.458741933978239,0.107281392806421,3.37867075183973,0.790135972415544
59,2.2631127499638,0.524001971307589,0.500267028939367,0.115832014710099,3.68450637187089,0.853111981356917
60,2.35995220616732,0.541115422415194,0.52167364557383,0.119614988112832,3.84216780232153,0.880973880704035
61,2.41779834251207,0.549263733261145,0.53446068623951,0.121416193668253,3.93634537166877,0.89423990257253
62,2.39284983244839,0.538943991573551,0.52894575243596,0.119134987610995,3.89572744651246,0.877438638912728
63,2.47865248434935,0.553814054334304,0.54791265443512,0.122422054116004,4.03542018504596,0.90164814460041
64,2.5279112014293,0.560546156511959,0.558801423473845,0.123910203018433,4.11561683320419,0.912608479373856
65,2.57781985157798,0.567541383029749,0.569833861927765,0.125456516248681,4.19687161800767,0.923997199037907
66,2.63844115809149,0.576983293069426,0.583234361262329,0.127543675310084,4.29556735913842,0.939369291172679
67,2.77639934238272,0.603238165842705,0.613730380947759,0.133347384028387,4.52017296444063,0.982114066494788
68,2.83340428985129,0.611830287798092,0.626331474598705,0.135246695197473,4.61298101926665,0.996102643994086
69,2.84533883108185,0.610866899500213,0.62896963634441,0.135033735678995,4.63241128990168,0.994534180238943
