"","V1","V2"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,0
"6",0,0
"7",0,0
"8",0,0
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",0,0
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",1.79663757757718e-05,1.32423077443539e-06
"33",1.78220123098169e-05,1.31386153948348e-06
"34",1.78552060886566e-05,1.31658026464403e-06
"35",1.78089286454665e-05,1.31343950928595e-06
"36",1.79415522634491e-05,1.32349575654834e-06
"37",1.811008553843e-05,1.33620868844756e-06
"38",1.80899020561416e-05,1.33500185812382e-06
"39",1.80417515127718e-05,1.33173030287515e-06
"40",1.8048631918205e-05,1.3325206188397e-06
"41",1.78264487664524e-05,1.3163950410668e-06
"42",1.77437446103075e-05,1.31056296206965e-06
"43",1.771539662519e-05,1.30874384715512e-06
"44",1.7607714299006e-05,1.30106142587162e-06
"45",1.75700127771384e-05,1.29854738103702e-06
"46",1.75547209277564e-05,1.29768909680719e-06
"47",1.79600752585312e-05,1.3279359453317e-06
"48",1.78889099294705e-05,1.32295848705442e-06
"49",1.74104753974909e-05,1.28784957168661e-06
"50",1.7143023762356e-05,1.26833037686018e-06
"51",1.72323065728285e-05,1.27520088287794e-06
"52",1.72432573156085e-05,1.27627782246084e-06
"53",1.74713477095125e-05,1.29343290754417e-06
"54",1.70597426071153e-05,1.26322673174569e-06
"55",1.70637920751035e-05,1.26378989130824e-06
"56",1.75695798204745e-05,1.30152579457951e-06
"57",1.71271172590886e-05,1.26901911251949e-06
"58",1.70762067512822e-05,1.26551329386566e-06
"59",1.70356242596033e-05,1.26277148712857e-06
"60",1.74417010035456e-05,1.29314783049109e-06
"61",1.74685756118362e-05,1.29542081357938e-06
"62",1.74612801383574e-05,1.29516111726652e-06
"63",1.71037336988515e-05,1.26891415993582e-06
"64",1.71659991610884e-05,1.27380647890844e-06
"65",1.72573706586383e-05,1.28086307612814e-06
"66",1.72961912621266e-05,1.28402321331059e-06
"67",1.69807450460139e-05,1.26087764525175e-06
"68",1.68373178439563e-05,1.2504948626394e-06
"69",1.67817563499607e-05,1.24663382779929e-06
"70",1.63746570011482e-05,1.21664860388392e-06
"71",1.6895841537223e-05,1.25563896443857e-06
"72",1.64305654491581e-05,1.22132112119776e-06
"73",1.65313434518309e-05,1.22907148357267e-06
"74",1.6368330238369e-05,1.21720876719915e-06
"75",1.71063074895973e-05,1.27236144578701e-06
"76",1.67771260040358e-05,1.24814985790467e-06
"77",1.66812348754417e-05,1.23857307190845e-06
"78",1.6993730041387e-05,1.25380196292369e-06
"79",1.72672659192473e-05,1.26049832706391e-06
"80",1.74786569851e-05,1.25715283947698e-06
"81",1.74934996748277e-05,1.23473300108628e-06
