date,feed (g)
1/1/2018,0.33
1/1/2018,0.49
2/1/2018,0.33
3/1/2018,0.33
4/1/2018,0.33
5/1/2018,0.33
6/1/2018,0.33
7/1/2018,0.33
8/1/2018,0.33
9/1/2018,0.33
10/1/2018,0.33
11/1/2018,0.33
12/1/2018,0.33
13/01/2018,0.33
14/01/2018,0.33
15/01/2018,0.33
16/01/2018,0.33
17/01/2018,0.33
18/01/2018,0.33
19/01/2018,0.33
20/01/2018,0.33
21/01/2018,0.33
22/01/2018,0.33
23/01/2018,0.33
24/01/2018,0.33
25/01/2018,0.33
26/01/2018,0.33
27/01/2018,0.33
28/01/2018,0.33
29/01/2018,0.33
30/01/2018,0.33
31/01/2018,0.33
1/2/2018,0.33
2/2/2018,0.33
3/2/2018,0.33
4/2/2018,0.33
5/2/2018,0.33
6/2/2018,0.33
7/2/2018,0.16
8/2/2018,0.33
9/2/2018,0.46
10/2/2018,0.46
11/2/2018,0.46
12/2/2018,0.46
13/02/2018,0.46
14/02/2018,0.46
15/02/2018,0.46
16/02/2018,0.46
17/02/2018,0.23
18/02/2018,0.23
19/02/2018,0.23
20/02/2018,0.23
21/02/2018,0.46
22/02/2018,0.46
23/02/2018,0.46
24/02/2018,0.46
25/02/2018,0.46
26/02/2018,0.46
27/02/2018,0.46
28/02/2018,0.46
1/3/2018,0.46
2/3/2018,0.57
3/3/2018,0.57
4/3/2018,0.57
5/3/2018,0.57
6/3/2018,0.57
7/3/2018,0.29
8/3/2018,0.57
9/3/2018,0.57
10/3/2018,0.57
11/3/2018,0.29
12/3/2018,0.29
13/03/2018,0.57
14/03/2018,0.57
15/03/2018,0.57
16/03/2018,0.57
17/03/2018,0.57
18/03/2018,0.57
19/03/2018,0.57
20/03/2018,0.71
21/03/2018,0.71
22/03/2018,0.71
23/03/2018,0.71
24/03/2018,0.71
25/03/2018,0.71
26/03/2018,0.71
27/03/2018,0.35
28/03/2018,0.71
29/03/2018,0.71
30/03/2018,0.71
31/03/2018,0.86
1/4/2018,0.86
2/4/2018,0.86
3/4/2018,0.86
4/4/2018,0.86
5/4/2018,0.86
6/4/2018,0.86
7/4/2018,0.86
8/4/2018,0.86
9/4/2018,0.86
10/4/2018,0.86
11/4/2018,0.86
12/4/2018,0.86
13/04/2018,1.29
14/04/2018,1.29
15/04/2018,1.29
16/04/2018,0.86
17/04/2018,1.29
18/04/2018,0.86
19/04/2018,1.29
20/04/2018,1.29
21/04/2018,1.29
22/04/2018,1.29
23/04/2018,1.29
24/04/2018,1.29
25/04/2018,1.29
26/04/2018,1.29
27/04/2018,1.29
28/04/2018,1.72
29/04/2018,1.72
30/04/2018,1.29
1/5/2018,1.72
2/5/2018,1.72
3/5/2018,1.72
4/5/2018,1.29
5/5/2018,2.07
6/5/2018,2.07
7/5/2018,2.07
8/5/2018,2.07
9/5/2018,2.07
10/5/2018,2.07
11/5/2018,2.07
12/5/2018,2.07
13/05/2018,2.07
14/05/2018,2.07
15/05/2018,2.07
16/05/2018,2.07
17/05/2018,2.31
18/05/2018,2.31
19/05/2018,2.07
20/05/2018,2.07
21/05/2018,2.31
22/05/2018,2.31
23/05/2018,2.31
24/05/2018,2.31
25/05/2018,2.31
26/05/2018,2.31
27/05/2018,2.31
28/05/2018,2.31
29/05/2018,2.48
30/05/2018,2.48
31/05/2018,3.04
1/6/2018,3.04
2/6/2018,3.04
3/6/2018,3.04
4/6/2018,3.04
5/6/2018,3.04
6/6/2018,3.04
7/6/2018,3.04
8/6/2018,3.04
9/6/2018,3.04
10/6/2018,3.04
11/6/2018,3.04
12/6/2018,3.04
13/06/2018,3.04
14/06/2018,3.04
15/06/2018,3.04
16/06/2018,3.04
17/06/2018,3.04
18/06/2018,3.04
19/06/2018,3.04
20/06/2018,3.04
21/06/2018,3.06
22/06/2018,3.04
23/06/2018,3.04
24/06/2018,3.04
25/06/2018,3.04
26/06/2018,3.04
27/06/2018,3.04
28/06/2018,3.04
29/06/2018,3.04
30/06/2018,3.04
1/7/2018,3.04
2/7/2018,3.04
3/7/2018,3.04
4/7/2018,3.04
5/7/2018,3.04
6/7/2018,3.04
7/7/2018,3.04
8/7/2018,3.04
9/7/2018,3.04
10/7/2018,3.04
11/7/2018,2.83
12/7/2018,2.83
13/07/2018,2.83
14/07/2018,2.83
15/07/2018,2.83
16/07/2018,2.83
17/07/2018,2.83
18/07/2018,3.04
19/07/2018,2.83
20/07/2018,2.83
21/07/2018,2.83
22/07/2018,3.04
23/07/2018,3.04
24/07/2018,3.04
25/07/2018,3.04
26/07/2018,3.04
27/07/2018,3.04
28/07/2018,3.04
29/07/2018,3.04
30/07/2018,3.04
31/07/2018,3.04
1/8/2018,3.06
2/8/2018,3.06
3/8/2018,3.06
4/8/2018,3.06
5/8/2018,3.58
6/8/2018,3.58
7/8/2018,3.58
8/8/2018,3.58
9/8/2018,3.58
10/8/2018,3.58
11/8/2018,3.58
12/8/2018,3.58
13/08/2018,3.58
14/08/2018,3.58
15/08/2018,3.58
16/08/2018,3.2
17/08/2018,3.2
18/08/2018,3.2
19/08/2018,3.2
20/08/2018,3.2
21/08/2018,3.2
22/08/2018,3.2
23/08/2018,3.2
24/08/2018,3.2
25/08/2018,3.2
26/08/2018,3.2
27/08/2018,3.2
28/08/2018,3.2
29/08/2018,3.2
30/08/2018,3.2
31/08/2018,3.2
1/9/2018,3.2
2/9/2018,3.2
3/9/2018,3.2
4/9/2018,3.2
5/9/2018,3.2
6/9/2018,3.58
7/9/2018,3.58
8/9/2018,3.58
9/9/2018,3.58
10/9/2018,3.58
11/9/2018,3.58
12/9/2018,3.58
13/09/2018,3.58
14/09/2018,3.58
15/09/2018,3.58
16/09/2018,3.58
17/09/2018,3.58
18/09/2018,3.58
19/09/2018,3.58
20/09/2018,3.58
21/09/2018,3.58
22/09/2018,3.58
23/09/2018,3.58
24/09/2018,3.58
25/09/2018,3.58
26/09/2018,3.58
27/09/2018,3.58
28/09/2018,3.58
29/09/2018,3.58
30/09/2018,4.39
1/10/2018,4.39
2/10/2018,4.39
3/10/2018,4.39
4/10/2018,4.39
5/10/2018,4.39
6/10/2018,4.39
7/10/2018,4.39
8/10/2018,4.39
9/10/2018,4.39
10/10/2018,4.39
11/10/2018,4.39
12/10/2018,4.39
13/10/2018,4.39
14/10/2018,4.39
15/10/2018,4.39
16/10/2018,4.39
17/10/2018,4.39
18/10/2018,4.39
19/10/2018,4.39
20/10/2018,4.09
21/10/2018,4.09
22/10/2018,4.09
23/10/2018,4.39
24/10/2018,4.39
25/10/2018,4.39
26/10/2018,4.09
27/10/2018,4.09
28/10/2018,4.09
29/10/2018,4.09
30/10/2018,4.09
31/10/2018,4.09
1/11/2018,4.09
2/11/2018,4.09
3/11/2018,4.09
4/11/2018,4.09
5/11/2018,4.09
6/11/2018,4.09
7/11/2018,4.09
8/11/2018,4.09
9/11/2018,4.09
10/11/2018,4.09
11/11/2018,4.09
12/11/2018,4.09
13/11/2018,4.09
14/11/2018,4.09
15/11/2018,4.09
16/11/2018,4.09
17/11/2018,4.09
18/11/2018,4.09
19/11/2018,3.66
20/11/2018,3.66
21/11/2018,3.66
22/11/2018,3.66
23/11/2018,3.66
24/11/2018,3.66
25/11/2018,3.66
26/11/2018,3.66
27/11/2018,3.66
28/11/2018,3.66
29/11/2018,3.66
30/11/2018,3.66
1/12/2018,3.66
2/12/2018,3.66
3/12/2018,3.66
4/12/2018,3.66
5/12/2018,3.66
6/12/2018,3.66
7/12/2018,3.66
8/12/2018,3.66
9/12/2018,3.66
10/12/2018,3.66
11/12/2018,3.66
12/12/2018,3.66
13/12/2018,3.66
14/12/2018,3.66
15/12/2018,3.66
16/12/2018,2.74
17/12/2018,2.74
18/12/2018,2.74
19/12/2018,2.74
20/12/2018,2.74
21/12/2018,2.74
22/12/2018,2.74
23/12/2018,2.74
24/12/2018,2.74
25/12/2018,2.74
26/12/2018,2.74
27/12/2018,2.74
28/12/2018,2.74
29/12/2018,2.74
30/12/2018,2.74
31/12/2018,2.74
1/1/2019,2.74
2/1/2019,2.74
3/1/2019,2.74
4/1/2019,2.74
5/1/2019,2.74
6/1/2019,2.74
7/1/2019,2.74
8/1/2019,1.83
9/1/2019,1.83
10/1/2019,2.74
11/1/2019,2.74
12/1/2019,1.83
13/01/2019,1.83
14/01/2019,1.83
15/01/2019,1.83
16/01/2019,1.83
17/01/2019,1.83
18/01/2019,1.83
19/01/2019,1.83
20/01/2019,1.83
21/01/2019,1.83
22/01/2019,1.83
23/01/2019,1.83
24/01/2019,1.83
25/01/2019,1.83
26/01/2019,1.83
27/01/2019,1.83
28/01/2019,1.83
29/01/2019,1.83
30/01/2019,1.83
31/01/2019,1.83
1/2/2019,1.83
2/2/2019,1.83
3/2/2019,1.83
4/2/2019,1.83
5/2/2019,1.83
6/2/2019,1.83
7/2/2019,1.83
8/2/2019,1.83
9/2/2019,1.83
10/2/2019,1.83
11/2/2019,1.83
12/2/2019,1.83
13/02/2019,1.83
14/02/2019,1.83
15/02/2019,1.83
16/02/2019,1.83
17/02/2019,1.83
18/02/2019,1.83
19/02/2019,1.83
20/02/2019,1.83
21/02/2019,1.83
22/02/2019,1.83
23/02/2019,1.83
24/02/2019,1.83
25/02/2019,1.83
26/02/2019,0.91
27/02/2019,1.83
28/02/2019,1.83
1/3/2019,1.83
2/3/2019,1.83
3/3/2019,1.83
4/3/2019,1.83
5/3/2019,0.91
6/3/2019,1.83
7/3/2019,1.83
8/3/2019,1.83
9/3/2019,1.83
10/3/2019,1.83
11/3/2019,1.83
12/3/2019,2.42
13/03/2019,2.42
14/03/2019,2.42
15/03/2019,2.42
16/03/2019,2.42
17/03/2019,2.42
18/03/2019,2.42
19/03/2019,2.42
20/03/2019,2.42
21/03/2019,2.42
22/03/2019,2.42
23/03/2019,2.42
24/03/2019,2.42
25/03/2019,2.42
26/03/2019,2.42
27/03/2019,2.42
28/03/2019,2.42
29/03/2019,2.42
30/03/2019,2.42
31/03/2019,2.42
1/4/2019,2.42
2/4/2019,2.42
3/4/2019,2.42
4/4/2019,2.42
5/4/2019,2.42
6/4/2019,2.42
7/4/2019,2.42
8/4/2019,2.42
9/4/2019,2.42
10/4/2019,2.42
11/4/2019,2.42
12/4/2019,2.42
13/04/2019,2.42
14/04/2019,2.42
15/04/2019,2.42
16/04/2019,2.42
17/04/2019,2.42
18/04/2019,2.42
19/04/2019,2.42
20/04/2019,2.42
21/04/2019,2.42
22/04/2019,2.42
23/04/2019,2.42
24/04/2019,2.42
25/04/2019,2.42
26/04/2019,2.42
27/04/2019,3.63
28/04/2019,3.63
29/04/2019,3.63
30/04/2019,3.63
1/5/2019,3.63
2/5/2019,2.42
3/5/2019,3.63
4/5/2019,2.42
5/5/2019,2.42
6/5/2019,3.63
7/5/2019,3.63
8/5/2019,2.42
9/5/2019,2.42
10/5/2019,3.63
11/5/2019,3.63
12/5/2019,3.63
13/05/2019,3.63
14/05/2019,3.63
15/05/2019,3.63
16/05/2019,3.63
17/05/2019,3.63
18/05/2019,3.63
19/05/2019,3.63
20/05/2019,3.63
21/05/2019,3.63
22/05/2019,3.63
23/05/2019,3.63
24/05/2019,3.63
25/05/2019,3.63
26/05/2019,3.63
27/05/2019,3.63
28/05/2019,3.63
29/05/2019,4.84
30/05/2019,4.84
31/05/2019,4.84
1/6/2019,4.84
2/6/2019,4.84
3/6/2019,4.84
4/6/2019,4.84
5/6/2019,4.84
6/6/2019,4.84
7/6/2019,5.41
8/6/2019,4.84
9/6/2019,4.84
10/6/2019,5.41
11/6/2019,5.41
12/6/2019,5.41
13/06/2019,5.81
14/06/2019,5.81
15/06/2019,5.81
16/06/2019,5.81
17/06/2019,5.81
18/06/2019,5.81
19/06/2019,5.81
20/06/2019,5.81
21/06/2019,5.81
22/06/2019,5.81
23/06/2019,5.81
24/06/2019,5.81
25/06/2019,5.81
26/06/2019,5.85
27/06/2019,5.85
28/06/2019,5.85
29/06/2019,5.85
30/06/2019,5.85
