"day","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","weight"
1,1.12037971981623,0.123831442716531,0.778369068503908,2.9129872715222,3.2196175106298,6.7458652603672,9.94604974239667
2,1.18375341524993,0.130835903790782,0.82239710954206,3.07775887964982,3.40173349856033,7.12744161603116,10.1050952028945
3,1.13979792490615,0.125977665384364,0.791859610987429,2.96347460475598,3.27541929999346,6.86278329522438,10.2703180666126
4,1.19458708450806,0.132033309340365,0.829923658710863,3.10592641972094,3.43286604284946,7.19267170882745,10.4364290392141
5,1.15498969296931,0.127656755538713,0.802413891957625,3.0029732017202,3.31907564400654,6.95425373029941,10.6027088594933
6,1.19116299056499,0.13165485685192,0.82754481449778,3.09702377546896,3.42302627814991,7.17205505898076,10.7695480343611
7,1.15487647169139,0.127644241607996,0.802335232964544,3.00267882639761,3.31875028180789,6.95357201902605,10.9354984417667
8,1.20936377779262,0.133666522808658,0.840189571940138,3.14434582226081,3.4753295930251,7.2816429568145,11.1008500166024
9,1.19483094649427,0.132060262507262,0.830093078617075,3.10656046088512,3.43356682518881,7.19414001468133,11.2669459801321
10,1.22562092421201,0.135463365307644,0.851484010505189,3.18661440295124,3.52204749799874,7.37952809104497,11.4354739831305
11,1.30557363514893,0.144300243884882,0.90703010441926,3.39449145138724,3.75180634100694,7.8609275716336,11.6046021283376
12,1.26384329006146,0.13968794258574,0.878038496253222,3.28599255415979,3.63188650722924,7.60966696752794,11.7813464768498
13,1.28517734104299,0.142045916641594,0.892860047461446,3.34146108671178,3.69319383268144,7.73812041133255,11.9603457558215
14,1.28397915423945,0.141913485468571,0.892027622945302,3.33834580102256,3.68975062218283,7.73090606552594,12.1371801677009
15,1.29371322212126,0.142989356129192,0.898790238526348,3.36365437751526,3.71772325935897,7.78951540056166,12.3148845917703
16,1.29884191484758,0.143556211641049,0.902353330315162,3.37698897860372,3.73246150266726,7.82039552939808,12.4925906041721
17,1.31883484745064,0.145765956823492,0.916243157176235,3.42897060337167,3.7899148774108,7.94077402886072,12.6707724920201
18,1.31573896946568,0.145423780835681,0.914092336681422,3.42092132061077,3.7810183017277,7.92213358457232,12.8501783838421
19,1.3334104811759,0.147376947919441,0.926369386922202,3.46686725105734,3.83180064590548,8.02853468665909,13.0302109912767
20,1.34909877331053,0.149110917050112,0.937268621457844,3.50765681060738,3.87688384330289,8.12299471930129,13.210688182688
21,1.36791438937623,0.151190537773162,0.950340523145592,3.5565774123782,3.93095398210222,8.23628453392846,13.3929868423108
22,1.37057571415858,0.151484684196475,0.952189443520701,3.56349685681232,3.93860178910836,8.25230851051275,13.5771779827729
23,1.37770678411467,0.152272855086358,0.95714366054282,3.58203763869812,3.95909423224529,8.29524505803776,13.7623106022448
24,1.38715270919778,0.153316878385018,0.963706092705824,3.60659704391422,3.98623883801045,8.35211947011714,13.9475293849246
25,1.35706730419926,0.149991649411497,0.942804653443694,3.52837499091806,3.89978288469891,8.17097366317867,14.1333285409675
26,1.36125916996763,0.150454960891159,0.945716897030141,3.53927384191584,3.91182898317014,8.19621310759457,14.3170265869498
27,1.37394870564325,0.151857488518465,0.954532784973206,3.57226663467245,3.94829470148008,8.27261746976779,14.498263452341
28,1.45561855438783,0.160884156011287,1.01127183778523,3.78460824140836,4.18298805629345,8.76435592747199,14.6801304938097
29,1.41237632845209,0.156104752092073,0.981229870293029,3.67217845397544,4.05872355439391,8.50399220920628,14.868133819024
30,1.52366049982973,0.168404581560129,1.05854308409224,3.9615172995573,4.37851912056333,9.17404006213269,15.0583223023944
31,1.46343174499766,0.161747719183953,1.01669994915627,3.80492253699392,4.20544069878275,8.81139955935434,15.2526757344427
32,1.51488131474173,0.167434250576718,1.05244386076794,3.93869141832851,4.35329051499467,9.1211801266555,15.4501030518376
33,1.54698591557746,0.170982653826982,1.0747481097696,4.0221633805014,4.44554899950155,9.31448361800324,15.6462517216256
34,1.55705503069534,0.172095556024222,1.08174349500939,4.04834307980788,4.47448445662977,9.37511029008141,15.8477026794729
35,1.6069943971222,0.177615170208243,1.11643821273753,4.17818543251772,4.61799442541432,9.67579784372525,16.0514905503486
36,1.57128791267469,0.173668664032466,1.09163160248978,4.08534857295419,4.5153852648441,9.46080722157811,16.2588355172952
37,1.74793442171638,0.193192751873916,1.21435444035033,4.54462949646259,5.02301154872181,10.5244051497028,16.4665275758326
38,1.84977441425551,0.204448751049294,1.28510643516699,4.80941347706432,5.31566752728162,11.1375891047805,16.683298809905
39,1.88466055469654,0.208304587624355,1.30934312221023,4.900117442211,5.41591927823321,11.3476403924886,16.9189694621263
40,1.88476299942176,0.208315910462406,1.30941429433512,4.90038379849659,5.41621367202255,11.3482572175711,17.163421192149
41,1.88788446535435,0.208660914591797,1.31158289171987,4.90849960992133,5.42518377938673,11.3670517282389,17.4094641856097
42,2.10852738957783,0.233047764111234,1.46487166012775,5.48217121290235,6.05924186689207,12.6955543877739,17.6548718956728
43,1.94792441772669,0.215296909327687,1.35329485863118,5.06460348608938,5.59771964251984,11.7285554414701,17.9147886992816
44,1.92013097617496,0.212225002629864,1.33398573081629,4.99234053805492,5.51785006837649,11.5612096670745,18.17806952594
45,1.98490398014119,0.219384124120869,1.37898592304546,5.16075034836709,5.70398722714257,11.9512113330606,18.427444438956
46,2.0266715880837,0.224000543946093,1.40800341908973,5.2693461290176,5.8240141425984,12.2026962987776,18.6784925952284
47,2.08043666229551,0.229942999516873,1.4453559969632,5.40913532196832,5.97851798743867,12.5264186403477,18.9360199326507
48,2.25843992519016,0.249617044363123,1.56902142171106,5.87194380549442,6.4900431534412,13.5981856548292,19.1992083230305
49,2.3876913057836,0.263902723270819,1.65881711770229,6.20799739503735,6.86147080504128,14.3764150200865,19.4772414422355
50,2.27915803068246,0.251906940233324,1.58341505289518,5.92581087977437,6.54958044606641,13.7229304584249,19.7752334314416
51,2.31830352996587,0.256233548048859,1.61061087344997,6.02758917791124,6.66207224927031,13.9586275698997,20.0736105895023
52,2.35764383915205,0.260581687485226,1.63794203562142,6.12987398179531,6.77512387461587,14.1954976420523,20.3661951623106
53,2.60275909034772,0.287673373143695,1.80823263118894,6.76717363490407,7.47950770173608,15.6713494703042,20.6630417018151
54,2.53404299271164,0.28007843603655,1.76049302651546,6.58851178105029,7.28203933695032,15.2576062298007,20.9778611627804
55,2.59408457880147,0.286714611341216,1.8022061284305,6.74461990488383,7.4545798948716,15.619119779731,21.3034614935792
56,2.86695721448999,0.316874218443631,1.99178080164568,7.45408875767396,8.23872967953438,17.2621002809292,21.6272548307681
57,3.02195486784615,0.334005538025102,2.09946338187207,7.8570826564,8.68414398865263,18.1953493095579,21.9719342316519
58,3.04589430383351,0.336651475686862,2.1160949900317,7.91932518996713,8.75293836785841,18.3394899136081,22.3435358329662
59,2.8377895930798,0.31365042870882,1.97151698045544,7.37825294200746,8.1549111464293,17.0864804972804,22.7254144958293
60,3.10505694107529,0.343190504013585,2.15719745379968,8.07314804679575,8.9229531043532,18.6957112662638,23.093975389725
61,3.30095008444337,0.364841851438478,2.29329163761329,8.58247021955277,9.48588813740043,19.8751941926485,23.464871940675
62,3.26407045970321,0.36076568238825,2.26767000358329,8.48658319522836,9.3799077420945,19.6531400310551,23.864351861924
63,3.0601462316793,0.338226688764555,2.1259963293772,7.95638020236618,8.79389390787841,18.425301521269,24.2725072010028
64,3.08055030083441,0.340481875355382,2.14017178794811,8.00943078216944,8.85252875923991,18.5481554955503,24.6638673998047
65,3.18338619379714,0.351847947735474,2.21161567148012,8.27680410387259,9.14804664112233,19.1673358194944,25.0418332018283
66,3.22199110642808,0.356114806499946,2.23843592657109,8.377176876713,9.25898496899859,19.3997780302828,25.4263345197462
67,3.32052753484589,0.36700567490402,2.30689281368241,8.63337159059932,9.54214754750451,19.9930710519142,25.8185067181817
68,3.38441623486922,0.374067057538177,2.35127864738283,8.79948221065996,9.72574349599259,20.3777482773178,26.2179840510736
69,3.50256367950203,0.387125459313383,2.43336002996984,9.10666556670529,10.0652619421479,21.0891202597386,26.6263100072301
70,3.39430285501284,0.375159789238262,2.3581472466405,8.82518742303339,9.7541545201948,20.437276137551,27.0446190724171
71,3.44966515570901,0.381278780367839,2.39660947659784,8.96912940484343,9.91324828956378,20.7706154638479,27.4621444164919
72,3.77255399080222,0.416966493720246,2.62093224624155,9.80864037608577,10.8411288367264,22.7147461340934,27.8747937793897
73,3.831764115661,0.423510770678321,2.66206770140659,9.96258670071859,11.0112800376363,23.0712534121904,28.3097008370311
74,3.74185392646235,0.41357332871426,2.59960378048963,9.72882020880213,10.7529065465708,22.5298994309102,28.7663015017517
75,3.73488567132173,0.412803153146086,2.59476267691826,9.7107027454365,10.7328819817982,22.4879431999582,29.2195528218198
76,3.80630167577522,0.420696501006736,2.64437800632805,9.89638435701559,10.9381090261751,22.9179427215098,29.6652469852391
77,3.97615029719354,0.439469243374024,2.76237810120815,10.3379907727032,11.4262003277246,23.9406102104706,30.1133138599096
78,3.74308227703963,0.413709093778065,2.60045716089069,9.73201392030304,10.7564364382297,22.537295394386,30.5744996563766
79,3.91674107702746,0.432902961145141,2.72110432719803,10.1835268002714,11.2554769897736,23.5829041690495,31.0305682464646
80,4.07305041727201,0.450179256645854,2.82969818463108,10.5899310849072,11.7046606727922,24.5240509334694,31.4812172767428
81,4.17354124383347,0.461286137476332,2.89951286413694,10.851207233967,11.9934395743846,25.1291114891868,31.9502076657141
82,4.07780564651073,0.450704834614344,2.83300181757587,10.6022946809279,11.7183256999729,24.5526824189909,32.4328413143577
83,4.19376606917535,0.463521512908855,2.91356379542709,10.9037917798559,12.0515593356302,25.2508862270348,32.9142756381862
84,4.26115326010861,0.470969570854111,2.96038015965441,11.0789984762824,12.2452088422069,25.6566280503382,33.3952204000607
85,4.36817065415789,0.482797809143767,3.03472908604653,11.3572437008105,12.5527430377379,26.3009854124032,33.8853425348984
86,4.42951515873656,0.489577991228779,3.07734737343804,11.5167394127151,12.7290277719482,26.6703439031296,34.3840231205844
