FID,Shape *,OBJECTID,farm_id,x,y
248,Point,50,49,20.1686,39.5185
249,Point,50,49,20.1569,39.5185
250,Point,51,50,23.439,37.5226
251,Point,51,50,23.439,37.5316
252,Point,51,50,23.4504,37.5316
253,Point,51,50,23.4504,37.5226
254,Point,51,50,23.439,37.5226
255,Point,52,51,23.4679,37.5313
256,Point,52,51,23.4679,37.5404
257,Point,52,51,23.4792,37.5404
258,Point,52,51,23.4792,37.5313
259,Point,52,51,23.4679,37.5313
260,Point,53,52,23.4616,37.5294
261,Point,53,52,23.4616,37.5384
262,Point,53,52,23.4729,37.5384
263,Point,53,52,23.4729,37.5294
264,Point,53,52,23.4616,37.5294
265,Point,54,53,23.4747,37.5447
266,Point,54,53,23.4747,37.5537
267,Point,54,53,23.4861,37.5537
268,Point,54,53,23.4861,37.5447
269,Point,54,53,23.4747,37.5447
270,Point,55,54,23.0733,37.8669
271,Point,55,54,23.0733,37.8759
272,Point,55,54,23.0847,37.8759
273,Point,55,54,23.0847,37.8669
274,Point,55,54,23.0733,37.8669
275,Point,56,55,23.08,37.8613
276,Point,56,55,23.08,37.8703
277,Point,56,55,23.0913,37.8703
278,Point,56,55,23.0913,37.8613
279,Point,56,55,23.08,37.8613
280,Point,57,56,23.4107,37.9241
281,Point,57,56,23.4107,37.9331
282,Point,57,56,23.4221,37.9331
283,Point,57,56,23.4221,37.9241
284,Point,57,56,23.4107,37.9241
285,Point,58,57,22.9474,38.1826
286,Point,58,57,22.9474,38.1916
287,Point,58,57,22.9588,38.1916
288,Point,58,57,22.9588,38.1826
289,Point,58,57,22.9474,38.1826
290,Point,59,58,22.9096,38.1873
291,Point,59,58,22.9096,38.1963
292,Point,59,58,22.921,38.1963
293,Point,59,58,22.921,38.1873
294,Point,59,58,22.9096,38.1873
295,Point,60,59,22.9083,38.1892
296,Point,60,59,22.9083,38.1982
297,Point,60,59,22.9197,38.1982
298,Point,60,59,22.9197,38.1892
299,Point,60,59,22.9083,38.1892
300,Point,61,60,24.5043,37.1104
301,Point,61,60,24.5043,37.1194
302,Point,61,60,24.5155,37.1194
303,Point,61,60,24.5155,37.1104
304,Point,61,60,24.5043,37.1104
305,Point,62,61,23.1697,37.7089
306,Point,62,61,23.1697,37.7179
307,Point,62,61,23.1811,37.7179
308,Point,62,61,23.1811,37.7089
309,Point,62,61,23.1697,37.7089
310,Point,63,62,23.1711,37.7139
311,Point,63,62,23.1711,37.7229
312,Point,63,62,23.1824,37.7229
313,Point,63,62,23.1824,37.7139
314,Point,63,62,23.1711,37.7139
315,Point,64,63,23.1545,37.7112
316,Point,64,63,23.1545,37.7202
317,Point,64,63,23.1658,37.7202
318,Point,64,63,23.1658,37.7112
319,Point,64,63,23.1545,37.7112
320,Point,65,64,23.1221,37.7341
321,Point,65,64,23.1221,37.7431
322,Point,65,64,23.1334,37.7431
323,Point,65,64,23.1334,37.7341
324,Point,65,64,23.1221,37.7341
325,Point,66,65,21.0802,38.4303
326,Point,66,65,21.0802,38.4393
327,Point,66,65,21.0916,38.4393
328,Point,66,65,21.0916,38.4303
329,Point,66,65,21.0802,38.4303
330,Point,67,66,21.0748,38.4116
331,Point,67,66,21.0748,38.4206
332,Point,67,66,21.0863,38.4206
333,Point,67,66,21.0863,38.4116
334,Point,67,66,21.0748,38.4116
335,Point,68,67,21.0766,38.408
336,Point,68,67,21.0766,38.417
337,Point,68,67,21.088,38.417
338,Point,68,67,21.088,38.408
339,Point,68,67,21.0766,38.408
340,Point,69,68,21.075,38.4051
341,Point,69,68,21.075,38.4141
342,Point,69,68,21.0864,38.4141
343,Point,69,68,21.0864,38.4051
344,Point,69,68,21.075,38.4051
345,Point,70,69,21.0782,38.4045
346,Point,70,69,21.0782,38.4135
347,Point,70,69,21.0896,38.4135
348,Point,70,69,21.0896,38.4045
349,Point,70,69,21.0782,38.4045
350,Point,71,70,21.084,38.4001
351,Point,71,70,21.084,38.4091
352,Point,71,70,21.0954,38.4091
353,Point,71,70,21.0954,38.4001
354,Point,71,70,21.084,38.4001
355,Point,72,71,21.0917,38.3927
356,Point,72,71,21.0917,38.4017
357,Point,72,71,21.1032,38.4017
358,Point,72,71,21.1032,38.3927
359,Point,72,71,21.0917,38.3927
360,Point,73,72,21.1144,38.3071
361,Point,73,72,21.1144,38.3161
362,Point,73,72,21.1258,38.3161
363,Point,73,72,21.1258,38.3071
364,Point,73,72,21.1144,38.3071
365,Point,74,73,21.1072,38.3127
366,Point,74,73,21.1072,38.3217
367,Point,74,73,21.1187,38.3217
368,Point,74,73,21.1187,38.3127
369,Point,74,73,21.1072,38.3127
370,Point,75,74,21.0964,38.2978
