"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0.234418927587124,3.10316769155909e-17,0.0518189208350485,0,0.381650464562896,0,0.0826458067544631,0,0.0747747775397523,0,0.173162642723637,0
32,0.470184051046123,0,0.103935421810196,1.55158384577955e-17,0.765492630475092,0,0.165766222982769,0,0.149978963651076,0,0.347319705297229,0
33,0.680666854354322,0.0455830869954939,0.150463199383587,0.010076261335846,1.10817340498388,0.0742124644417866,0.408735068274025,0.305341252601395,0.369807918914594,0.276261133306024,0.856397285907482,0.639762624498161
34,0.817659289087303,0.116786199599127,0.18074573758772,0.0258158967534912,1.33120670223336,0.190136128470157,1.15347604198003,0.782299901620945,1.04362118083907,0.707795149085616,2.41680694510101,1.63910455577722
35,0.883130615966164,0.187928376263092,0.195218346687257,0.0415420621213151,1.43779861687123,0.305960584512543,2.36779899294144,1.25885036731258,2.14229432694702,1.13895985613995,4.9611026518773,2.63759124579778
