"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2","nh4_1","nh4_2"
58,1.69098693543994,0.342652090782875,0.373797112044619,0.075744146383583,2.75304539664608,0.557861649555277,82.3898946356881,2.29527716313888,74.5432380037178,2.07667933807803,172.626445903346,4.8091521513386,82.4023415316452,15.1691786545903
59,1.79346951323252,0.363823973123624,0.396451155556663,0.0804242466904854,2.91989422505225,0.592330959752146,81.7030977309348,2.43709838456016,73.9218503279886,2.20499377650681,171.187442864816,5.10630137717367,86.2632965756275,15.8423255039082
60,1.8111316739042,0.367829824700448,0.400355422652507,0.0813097507232568,2.94864946207561,0.598852767231605,81.5844758701269,2.46393184009869,73.8145257872577,2.2292716648512,170.938901823123,5.16252385544488,87.9398761626867,16.1136109774341
61,1.75161404127768,0.356145967938882,0.387198893335067,0.0787270034391212,2.85175057948366,0.579830628504003,81.982847841055,2.38566677088246,74.1749575704783,2.1584604117508,171.773585952687,4.99853990089658,87.5319651702306,16.0057024460566
62,1.72826917958941,0.351787779182282,0.382038450225028,0.0777636143455571,2.81374350641925,0.572735191370452,35.2809957181365,2.35647316198658,31.9209008878378,2.13204714655929,73.9220862665718,4.93737233940045,88.0595501812525,16.0721698369304
63,1.7734998902695,0.361393797201465,0.392036817849048,0.0798870499076923,2.8873822774914,0.58837446281221,81.8356225996729,2.42081969417249,74.0417537806564,2.19026543758464,171.465114018362,5.07219364493284,90.4133869570726,16.473194918618
64,1.80405689875273,0.368033148677853,0.398791524987446,0.0813546960235254,2.93713123165357,0.59918379293517,81.6306237719998,2.46529381889471,73.856278650857,2.23050393138093,171.035592665142,5.16537752530319,92.4093974819244,16.809365041775
65,1.8785563048041,0.383670369333514,0.415259814746169,0.0848113448000399,3.05842149273368,0.624642285511405,81.1312739568623,2.57004075151636,73.4044859609707,2.32527496565766,169.989335909616,5.38484728889142,95.65428315057,17.3726854478051
66,1.82490341047569,0.373138529609289,0.403399701263047,0.0824832539136323,2.97107081565165,0.607495711363894,34.6330636165109,2.49949254283734,31.3346766054146,2.26144563399569,72.564514244118,5.23703199451633,95.3890020012607,17.2997786190961
67,1.85420620074849,0.379556993566659,0.409877160165456,0.0839020722621035,3.01877781455193,0.617945421105016,34.4366216183649,2.54248703824556,31.1569433689968,2.30034541555551,72.1529214860979,5.32711569918117,97.3894590422862,17.6396749587601
68,1.98815287348583,0.407449200880909,0.43948642466529,0.0900677180894641,3.23685239753483,0.663355891960497,80.3962020739058,2.72932479058982,72.73942092401,2.46938909624793,168.449185297707,5.71858527552152,102.402847207762,18.524741368681
69,1.92701192479985,0.395382027839402,0.425971057061021,0.0874002377329205,3.13731064248117,0.643709687429763,80.8054479405559,2.64849205251274,73.1096909938363,2.39625471417819,169.306652827831,5.54922144336002,101.938391733087,18.4195481171058
70,1.94585457271278,0.399706310840529,0.430136273968089,0.0883561318700118,3.16798779557449,0.650749923614054,80.6789185200139,2.6774585415155,72.9952119942983,2.4224624899426,169.041543565743,5.60991313460392,103.723353987275,18.7228313856122
71,1.96686387440679,0.404484959694697,0.434780435395186,0.0894124647746173,3.20219241306931,0.658529899292419,80.5378756301983,2.70946862953386,72.8676017606556,2.45142399814968,168.746025129939,5.67698189045189,105.583204261375,19.0406865740815
72,2.08543755248583,0.429371950261241,0.460991458970551,0.0949137995314322,3.39523868194183,0.69904766639023,79.7432914641927,2.87617574337673,72.1486922771267,2.60225424400752,167.081182115451,6.02627298612267,110.333936005325,19.8800369381286
73,2.12373994757576,0.437782729415719,0.469458304200957,0.0967730243971591,3.45759766903562,0.712741005083838,79.4864096733071,2.932515890823,71.9162754187064,2.65322866312557,166.542953601215,6.14431900934343,112.828851279267,20.3130790765213
74,2.1550777523725,0.444777070416075,0.476385608419184,0.0983191418814482,3.50861781438891,0.724128283063364,79.2761806413965,2.97936793580146,71.7260681993587,2.69561860858227,166.102473724831,6.2424851988221,115.1460133801,20.7151300128298
75,2.10793026721677,0.435561036482411,0.465963532753182,0.0962819133276908,3.43185839995994,0.709123933080135,66.2947461623984,2.91763373720275,59.9809608135985,2.63976385746915,138.903277673597,6.11313735413909,115.098736976401,20.6934504276057
76,2.15390837381601,0.445580467314435,0.47612711421196,0.098496734880033,3.50671398403729,0.725436269592624,65.9864922139369,2.98474954181918,59.7020643840382,2.70048768069354,138.257412257773,6.253760944764,117.83863192272,21.1743450241069
77,2.20735579243562,0.457174002704642,0.487941806748927,0.101059516387342,3.59373013224606,0.744311358789312,65.6282045973235,3.06240958749521,59.3778993975784,2.77075153154329,137.506714394392,6.41647723094235,120.855150197339,21.705794156149
78,2.24957728030537,0.466469904836321,0.497274977751713,0.10311440001645,3.66246967740944,0.759445739803694,65.345114603842,3.12467878837727,59.1217703558571,2.82709033234134,136.913573455669,6.54694603279047,123.576023285546,22.1850890228961
79,2.20876570569466,0.458541381581412,0.488253471785137,0.101361779086418,3.59602556997307,0.746537547557106,65.6182269436495,3.07156906322477,59.3688719966353,2.77903867625098,137.485808834313,6.43566851342333,123.730657277677,22.205073778736
80,2.20644584189706,0.45858116077239,0.487740659787771,0.101370572381265,3.5922486689131,0.74660231087154,65.6335000731529,3.07183552670501,59.3826905423765,2.77927976225691,137.517809677082,6.4362268178581,125.05409874045,22.4363121581213
81,2.22475435219247,0.462906698959328,0.491787804168862,0.102326743980483,3.62205620848178,0.753644590586415,65.5105927072235,3.100810423651,59.2714886398689,2.80549514520805,137.260289481802,6.49693612574496,127.013584415793,22.7828762155158
82,2.15438017795486,0.448755351359602,0.476231407758442,0.0991985513531752,3.5074821142844,0.730605203617036,25.4586520638781,3.00601670767197,23.034018533985,2.7197294021794,53.3419376576494,6.29832072083652,126.223873652681,22.6376186951042
83,2.31642146587242,0.483039944542756,0.512051060877061,0.106777250898925,3.77129670233263,0.786422927255574,64.8960213735921,3.23567426966439,58.7154479094404,2.92751481541064,135.972616211336,6.77950799358254,132.656661769916,23.7886721497556
84,2.23092073051989,0.465723808772894,0.493150898325449,0.102949473518219,3.63209550512712,0.758231043054817,65.4684869476694,3.1196810157036,59.2333929526533,2.82256853801754,137.172067890355,6.53647450909325,131.395385343191,23.5610176042057
85,2.2882309555767,0.478203639569528,0.505819474390639,0.105708172957475,3.72540057328978,0.778549083369336,65.0843240796975,3.20327796840832,58.8858170244882,2.89820387617896,136.367155214604,6.71163002904601,134.59633356901,24.1346572274773
86,2.27726847003852,0.476423808038475,0.503396188113778,0.105314736513768,3.70755287753639,0.775651392736324,49.9615369286949,3.19135565193237,45.2032953164383,2.887417018415,104.681315469646,6.6866499373821,135.667739786792,24.3275013834417
87,2.50150803955518,0.523914669997863,0.552964935059566,0.115812716525843,4.07263063281966,0.852969848698275,48.4592374513321,3.50947625835889,43.8440719797767,3.17524042422947,101.53364037422,7.35318835084719,144.408187743908,25.8966761512513
88,2.45165040667841,0.514050223672067,0.54194377410786,0.113632154706457,3.99145890771503,0.836909837838032,48.7929957897618,3.44339862746839,44.1460438097845,3.11545590104283,102.232943559501,7.21473998136235,144.298406980275,25.879997839835
89,2.45164654546367,0.514612787419577,0.54194292057618,0.113756510903275,3.99145262138647,0.837825731097135,48.7928054192108,3.44716699706893,44.1458715697621,3.11886537830046,102.23254468787,7.22263561290634,145.816866094901,26.1564501023163
90,2.54252945834626,0.534275132430126,0.562032827634437,0.11810292401087,4.13941638130759,0.869837408587994,48.183804122409,3.57887648517788,43.5948703964652,3.23803110563712,100.956541970762,7.4985983498965,150.382524484937,26.9807668960876
91,2.60597897871114,0.54821654450468,0.576058511083515,0.121184709837877,4.24271665305954,0.892535005790075,47.7585671781173,3.67226393448111,43.2101322087728,3.32252451214958,100.065569325579,7.69426729129376,154.125145115571,27.6588629201591
92,2.63594941689484,0.555137650683276,0.582683555313597,0.122714638572093,4.29151062961125,0.903803052340491,47.5575920290578,3.71862541127553,43.0282975500999,3.36447061020167,99.6444785370734,7.79140562362492,156.769229468155,28.1412006488006
93,2.59698304136363,0.547527782991974,0.57406993545933,0.121032457292963,4.22807063576395,0.891413653713248,47.8183945802409,3.66765022099887,43.2642617630751,3.31835019995135,100.190921977648,7.68460046304524,157.039692851196,28.198546336976
94,2.74997694126216,0.580418393795039,0.607889639647425,0.128303013365219,4.47715544121278,0.944961876213678,46.7933388278269,3.88797010197634,42.3368303680339,3.51768723512145,98.0431861154468,8.14622307080757,164.009372996636,29.460319470706
95,2.80445455107966,0.592576969566433,0.619932058659714,0.130990698535738,4.56584881298582,0.964756890802893,46.4282008087301,3.96941510714357,42.0064673983749,3.59137557312989,97.2781350278155,8.31686974830081,167.661459779395,30.1280918389128
96,2.8801668448846,0.609256757583098,0.636668460448175,0.134677809571001,4.6891137404437,0.991912756205464,45.920820888042,4.08114574457577,41.5474093748952,3.69246519747332,96.2150532892309,8.550972036254,172.163525956761,30.9503377349075
97,2.88510921756657,0.610982951051333,0.637760984935768,0.135059389179768,4.69716027000312,0.994723120308135,45.887497855976,4.09270876302328,41.5172599649307,3.70292697606868,96.1452336029973,8.57519931300116,174.091615447394,31.3113967408524
98,2.89279011485042,0.613281896047971,0.639458867493251,0.13556757702113,4.70966530979156,0.998465964092135,45.8358306406908,4.10810839457971,41.4705134368155,3.71685997604831,96.036978485257,8.60746520769082,176.122863955322,31.6921966210076
99,3.17638484478767,0.674166000383965,0.702148228847802,0.149026168505929,5.17137743151396,1.09758955851986,76.8590834395874,4.51594450017967,69.5391707310553,4.08585454778161,161.038079587707,9.4619789527574,189.037230946939,34.0342446366331
100,3.21905075915666,0.68401813788865,0.711579641497789,0.151204009428018,5.24084053420593,1.11362952975556,76.5729576657163,4.58193967963689,69.2802950308861,4.14556447205242,160.438577966263,9.60025456685824,192.685970300986,34.7114606579146
101,3.23723090692075,0.688674808230427,0.715598411003534,0.152233378661463,5.27043909056571,1.12121091585585,76.4508513821435,4.61313268671099,69.1698179171774,4.17378671654804,160.182736229253,9.66561134358494,195.322439240929,35.2080039613191
102,3.13514815279612,0.667703279806776,0.693032749565457,0.147597567115182,5.10424120314876,1.08706779589594,44.2115147611963,4.47265354894491,40.000894307749,4.04668654428349,92.6336499758398,9.37127410255123,193.00750817568,34.8125611564672
103,3.16762272315543,0.675350915922546,0.700211338802779,0.149288097203931,5.15711208261094,1.09951868416864,76.916475521636,4.52388173345246,69.5910969005278,4.09303585407603,161.15832966438,9.47860934628134,196.168334044614,35.4053103642118
104,3.1060495651158,0.662924835269449,0.686600430183492,0.146541279375352,5.05686666039905,1.07928815285973,44.4060010808436,4.44064482955612,40.1768581207632,4.0177262743603,93.0411451217675,9.30420821430805,195.593040726598,35.3245408606434
105,3.45338447048936,0.737856917891201,0.763379725055544,0.163105213428581,5.62235226072654,1.20128284175971,75.0016312274586,4.94258222510852,67.8586187296054,4.47186010843152,157.14627495277,10.355886566894,212.070674872859,38.3270736573404
106,3.62065677397901,0.774482626319455,0.800355707932202,0.17120142266009,5.89468330921494,1.26091206530606,73.880821513798,5.1879218987906,66.8445527981982,4.69383409890579,154.797911743196,10.869931597466,222.057942018989,40.1625702799991
107,3.54733432599518,0.75966086688138,0.784147587851566,0.167925033731674,5.77530921846232,1.2367812008174,74.3716512847707,5.08863738580829,67.2886368766973,4.60400525382655,155.826316977615,10.6619069035983,220.38113019661,39.8905464883957
108,3.51980586083442,0.754593334556735,0.778062348184451,0.166804842375699,5.73049094535849,1.22853090257658,74.5557271048974,5.05469219320301,67.4551816663357,4.57329293670749,156.211999648356,10.5907836429015,221.066200174743,40.0459851340235
109,3.52318442305659,0.756127908448787,0.778809188254614,0.16714406397289,5.73599148174826,1.23102929656224,74.5327702067915,5.06497163554211,67.434411139478,4.5825933845381,156.163899480896,10.6123215220882,223.199100174367,40.4644335523939
110,3.66861385153756,0.788184296042863,0.810956746129355,0.174230212809475,5.97276079688921,1.28321934513645,73.5582764065954,5.27970341846894,66.5527262726339,4.7768745214719,154.122102947152,11.0622357339349,231.997624178829,42.0939428968421
111,3.74340415310685,0.805123881828583,0.827489339107831,0.177974752825266,6.09452465628625,1.31079817953846,73.0569633619105,5.39317432803835,66.0991573274428,4.87953867774898,153.071732758289,11.2999843063661,237.686822778347,43.1628204274825
112,3.67499949485003,0.791251504625979,0.812368309387901,0.174908227338374,5.98315707231723,1.28821297595247,73.5148510061349,5.30024931328407,66.5134366245982,4.79546366439987,154.031116393806,11.1052842754523,236.359518055631,42.9585555401438
113,3.91413863743714,0.843637314315482,0.865230646170316,0.186488248427633,6.37249237814327,1.37350075032415,71.9126366362156,5.6511590432616,65.0638140994331,5.11295342009383,150.674095809214,11.840523709691,250.554037880861,45.5785371448731
114,4.13511086996988,0.892250258709619,0.914077139677553,0.197234267714758,6.73225067952991,1.4526460352325,103.353623720359,5.97679599135629,93.5104214612768,5.40757732551284,216.550449699799,12.522810648556,266.023982753524,48.4380479885915
115,4.19511918685241,0.906211538072022,0.927342136041059,0.200320445258026,6.82994843052462,1.4753759777734,102.951219601382,6.07031652297048,93.1463415441079,5.49219113983044,215.707317260039,12.718758429081,271.815446433867,49.5407063681275
