"day","2_faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0.45107563012374,0.0879831632113314,0.0997114550799846,0.0194489097625049,0.734382780271632,0.143242763965115,0.284389461436638,0.589360901894086,0.257304750823625,0.533231292189887,0.595863633486289,1.23485141349237
32,0.888693536420642,0.184475593204071,0.196448044892984,0.0407788153398473,1.4468554417515,0.300339211391891,0.677918700118893,1.23572167696507,0.613355014393284,1.11803389820649,1.42040108596339,2.58913113268872
33,1.25913410611955,0.308648256919766,0.278334907668533,0.0682275094243695,2.04995868505078,0.50250102179218,1.50243262280632,2.06750028558695,1.35934380158667,1.87059549648343,3.14795406683229,4.33190536027742
34,1.53125147483338,0.432698532362148,0.338487168121064,0.0956491492590011,2.49298485727259,0.704463575494864,3.00456316107041,2.89845906845457,2.71841428858751,2.62241534764938,6.29527519462371,6.07296185771435
35,1.63116846221214,0.501798603912518,0.360574081120579,0.110923901917504,2.65565672444363,0.816963341106695,5.64118207449995,3.36133036113648,5.10392663883329,3.04120366007586,11.8196195846666,7.04278742333358
