"V1","Pexc","Nexc","Cexc","Pwst","Nwst","Cwst"
1,0.728808511579315,16.63006508086,91.6005348335647,13.8715183492589,158.754159924295,1005.10622333401
2,0.742259021893913,16.9369809007889,93.2910665974318,14.1275238674045,161.684044018156,1023.65594031649
3,0.815101686801173,18.5991160691146,102.446320629452,15.5139488978702,177.551142014775,1124.11389965599
4,0.830861500210786,18.9587259234179,104.427097903951,15.8139077175314,180.984054636756,1145.84839683175
5,0.825830384069956,18.8439251389566,103.794760435346,15.7181497526395,179.888141782105,1138.90994034679
6,0.878087980431812,20.0363470366973,110.36277343164,16.7127761809873,191.271256383924,1210.9788507468
7,0.901583879925854,20.5724800970434,113.315863201937,17.1599770517039,196.389297304933,1243.38225222892
8,0.907281336174826,20.7024855329163,114.03194984377,17.2684175647413,197.630357015598,1251.23966421305
9,0.939271493604808,21.4324418816075,118.052643185628,17.8772908815802,204.598676523334,1295.35757146503
10,0.984585317123881,22.4664196991166,123.747925833612,18.739755471981,214.469250029865,1357.85026371334
11,1.00274758793524,22.8808491971401,126.030656748084,19.0854406126196,218.425482701635,1382.89801100544
12,1.05344110250279,24.0375816351422,132.40208761532,20.0502976448027,229.467898083615,1452.80988245725
13,1.05847587699608,24.1524658964547,133.034884885145,20.146125239649,230.56460782615,1459.75338420826
14,1.12848023851833,25.7498362201578,141.83340583302,21.4785284291778,245.813446756994,1556.29701440553
15,1.15803456555055,26.4242114149559,145.547951039045,22.0410402319545,252.251176675873,1597.05564654905
16,1.14227429486811,26.0645911265307,143.567116292062,21.7410727089531,248.818164447533,1575.32051874433
17,1.18760790125553,27.0990203525823,149.264885356289,22.603913829563,258.693047196607,1637.84049372023
18,1.19764101637878,27.3279575216912,150.525900693974,22.7948755682382,260.878530403114,1651.67725096111
19,1.23707964015296,28.2278741248094,155.482756951025,23.5455166278047,269.469326869352,1706.067403608
20,1.26481384943528,28.860717591925,158.968540065634,24.0733858648532,275.510586028412,1744.31589536683
21,1.07448157761417,24.5176864430243,135.046566573419,20.4507640662942,234.051081317133,1481.82698659416
22,1.3730931173653,31.3314506363046,172.577655074848,26.134280912142,299.09673238145,1893.64478536386
23,1.50383770962282,34.3148009178503,189.010331679341,28.6227617431856,327.576432575275,2073.95580157377
24,1.50010366821422,34.2295969847827,188.541017470349,28.5516911902305,326.763057597448,2068.80615225115
25,1.39849583377373,31.9110937392473,175.77040374925,26.617774506388,304.630129479785,1928.67789481036
26,1.41026908130399,32.1797375181419,177.250128194513,26.8418564381322,307.194660480111,1944.9144839466
27,1.47033012525503,33.5502196871355,184.79892003924,27.9850070188479,320.277576534372,2027.74519749619
28,1.47929081074688,33.7546859914266,185.925146709877,28.1555570484472,322.229455628815,2040.10295760752
29,1.43443328204306,32.7311199794238,180.287213624166,27.3017771835978,312.458275445667,1978.23954554901
30,1.5579352064056,35.5492059473136,195.809593158493,29.6524072637148,339.360327136476,2148.56213481394
31,1.62373249707579,37.0505786791145,204.079347037916,30.9047366621259,353.692752512524,2239.30375662597
32,1.59536387098971,36.403258991473,200.513827040973,30.3647924778251,347.513300254563,2200.18033507762
33,1.5815105530932,36.087151845982,198.772668275154,30.1011202644159,344.495673800037,2181.0751026189
34,1.6882500384464,38.5227498939173,212.188255210363,32.1327084060785,367.74641395849,2328.28046493209
35,1.7653894676591,40.2829292932052,221.883549461699,33.600914376199,384.54946316433,2434.66412968666
36,1.74560702868081,39.8315305479378,219.397187184182,33.224392339312,380.24031414733,2407.38199423694
37,1.79581396893996,40.9771602582868,225.707462801201,34.1799883319488,391.176740515263,2476.62282678385
38,1.87817493864118,42.8564855741862,236.059028067219,35.7475766412533,409.117182137074,2590.20756391478
39,1.8595387099651,42.4312412324684,233.716727604358,35.3928705916752,405.057708653133,2564.50617716615
40,1.84981654716326,42.209399421413,232.494794410332,35.2078272537375,402.93995925294,2551.09825700449
41,1.89582316485615,43.2591855232865,238.277151119394,36.0834778963613,412.961442024822,2614.54638778643
42,2.06060452912598,47.0191921208796,258.987750485217,39.2197855571096,448.855269608075,2841.79781540514
43,2.19736192451924,50.139743472222,276.176148207578,41.8227089443292,478.644720573794,3030.40114126209
44,2.27345073519165,51.8759496955349,285.739395125948,43.2709183390418,495.218916711765,3135.33588875455
45,2.38400155915598,54.398515456033,299.634011394192,45.3750482425522,519.299869264534,3287.79750164168
