Used in script,Description,Unit,Reference,Prep,Final,,,
ingmax,Maximum ingestion rate,,Stirling 1977 Ballestrazzi et al 1998 Peres et al 1999 Lupatsch et al 2001 Person-Le Ruyet et al 2004 Moreira et al 2008,See file 'Population.csv',See file 'Population.csv',,,
alpha,Feeding catabolism coefficient,-,Stirling 1977,0.3,0.3,,,
betaprot,Assimilation coefficient for protein,-,Spyridakis et al 1989 in Dosdat 2001 Moreira et al 2008,0.884,0.884,,,
betalip,Assimilation coefficient for lipid,-,Spyridakis et al 1989 in Dosdat 2001 Moreira et al 2008,0.967,0.967,,,
betacarb,Assimilation coefficient for carbohydrate,-,Spyridakis et al 1989 in Dosdat 2001 Moreira et al 2008,0.835,0.835,,,
epsprot,Energy content of protein,J/gprot,Brett & Groves 1979 in Requena et al 1999,23600,23600,,,
epslip,Energy content of lipid,J/glip,Brett & Groves 1979 in Requena et al 1999,36200,36200,,,
epscarb,Energy content of carbohydrate,J/gcarb,Brett & Groves 1979 in Requena et al 1999,17200,17200,,,
epsO2,Energy consumed by the respiration of 1g of oxygen,J/gO2,Elliott & Davison 1975,13400,13400,,,
pk,Temperature coefficient for the fasting catabolism,1/d,Estimated from Dalla Via et al 1998 and Claireaux & Lagardère 1999,0.05,0.05,,,
k0,Fasting catabolism at 0°C,1/°C,Estimated from Dalla Via et al 1998 and Claireaux & Lagardère 1999,0.00069,0.00069,,,
m,Weight exponent for the anabolism,-,Lanari et al 2002,0.6,0.6,,,
n,Weight exponent for the catabolism,-,Ursin 1967,1,1,,,
betac,Shape coefficient for the H(Tw) function,-,Brigolin et al 2008,0.23,0.23,,,
Tma,Maximum lethal temperature for Dicentrarchus labrax,°C,Barnabé 1990 in Dalla Via et al 1998,32,32,,,
Toa,Optimal temperature for Dicentrarchus labrax,°C,Barnabé 1990 de Walderstein 1990 Claireaux & Lagardère 1999,22,22,,,
Taa,Lowest feeding temperature for Dicentrarchus labrax,°C,Tesseyre 1979 e Pastoureaud 1991 in Dalla Via et al 1998,7,7,,,
omega,Oxygen consumption – weight loss ratio,gO2/g,Calibrated,0.6542,0.6542,,,
a,Energy content of fish parameter,J/gfish,Lupatsch et al 2003,5170,5170,,,
k,Weight exponent for energy content,-,Lupatsch et al 2003,0.107,0.107,,,
eff,Food ingestion efficiency,-,Empirical value provided by the farmers,0.95,0.95,,,
ti,Start of the integration,,,3/1/2018,3/1/2018,,,
tf,End of the integration,,,4/9/2019,31/8/2019,,4/7/2019,30/6/2019
IC,Initial condition,,,See file 'Population.csv',See file 'Population.csv',,,
CS,Commercial size,g,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en,400,400,,,
