"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"0","5478","1211","8918","34857","38526","80721","469"
"10","3155","697","5136","20076","22189","46492","497"
"100","5571","1232","9070","35453","39185","82101","478"
"101","6159","1361","10027","39194","43320","90766","491"
"102","10426","2305","16974","66348","73332","153647","505"
"103","4536","1003","7385","28867","31906","66850","469"
"104","7772","1718","12654","49459","54665","114536","493"
"105","3105","686","5055","19757","21837","45753","517"
"106","2086","461","3397","13276","14673","30744","506"
"107","2426","536","3949","15437","17062","35749","579"
"108","3701","818","6026","23553","26032","54543","495"
"109","847","187","1379","5389","5956","12479","488"
"111","4052","896","6598","25788","28503","59721","455"
"112","1599","353","2603","10175","11246","23563","451"
"113","3930","869","6398","25009","27641","57915","478"
"114","8111","1793","13206","51618","57051","119536","484"
"115","5673","1254","9235","36098","39898","83596","489"
"117","1455","322","2370","9262","10237","21449","457"
"12","1596","353","2598","10156","11225","23519","489"
"120","2666","589","4340","16962","18748","39281","476"
"121","742","164","1209","4725","5222","10941","463"
"122","4317","954","7028","27471","30363","63618","482"
"123","807","178","1314","5136","5676","11893","500"
"124","3921","867","6383","24951","27577","57781","507"
"125","325","72","529","2067","2285","4787","553"
"129","11278","2493","18361","71769","79324","166202","509"
"131","4127","912","6719","26264","29028","60822","418"
"132","1389","307","2261","8840","9770","20470","459"
"133","3078","680","5012","19589","21651","45365","444"
"134","4390","970","7147","27935","30876","64692","453"
"135","437","97","711","2778","3071","6434","550"
"137","683","151","1112","4348","4806","10069","586"
"14","891","197","1451","5672","6269","13136","502"
"140","310","69","505","1975","2183","4575","507"
"141","11234","2483","18290","71491","79016","165557","494"
"142","1215","269","1978","7732","8545","17905","477"
"143","852","188","1387","5422","5993","12557","500"
"145","2015","445","3280","12820","14169","29688","553"
"146","2416","534","3933","15371","16989","35597","534"
"147","5775","1277","9402","36751","40619","85107","484"
"148","748","165","1217","4758","5259","11018","500"
"149","3588","793","5841","22832","25236","52875","468"
"15","5977","1321","9730","38032","42036","88075","474"
"150","1494","330","2432","9506","10507","22014","501"
"151","3462","765","5636","22031","24350","51019","461"
"152","855","189","1392","5439","6012","12596","468"
"153","4166","921","6783","26514","29305","61400","497"
"154","4421","977","7198","28134","31095","65152","460"
"155","12828","2836","20885","81632","90225","189043","535"
"156","515","114","839","3280","3625","7596","540"
"157","1032","228","1681","6569","7260","15212","576"
"158","8890","1965","14473","56571","62526","131006","425"
"16","1181","261","1923","7517","8309","17409","507"
"161","3906","864","6360","24858","27475","57567","466"
"162","3686","815","6001","23457","25926","54321","464"
"163","7551","1669","12293","48049","53107","111272","426"
"164","3087","682","5026","19645","21713","45494","441"
"165","6566","1451","10690","41785","46183","96764","472"
"166","3865","854","6292","24594","27183","56954","442"
"167","582","129","947","3703","4092","8575","457"
"168","4517","999","7354","28747","31772","66571","447"
"169","1781","394","2899","11332","12525","26242","434"
"170","3661","809","5961","23298","25750","53953","425"
"171","5119","1132","8334","32574","36003","75435","445"
"172","11395","2519","18551","72511","80144","167921","450"
"173","2688","594","4376","17103","18903","39607","467"
"175","2868","634","4670","18252","20174","42269","443"
"176","5732","1267","9332","36477","40316","84472","453"
"177","3208","709","5223","20415","22564","47277","452"
"178","4753","1051","7738","30245","33429","70042","411"
"179","14330","3168","23330","91191","100790","211179","483"
"18","10274","2271","16727","65382","72264","151411","473"
"180","1847","408","3006","11751","12988","27212","510"
"181","2374","525","3865","15107","16697","34984","559"
"182","1012","224","1648","6441","7119","14916","515"
"183","6278","1388","10221","39951","44156","92518","422"
"184","3670","811","5974","23352","25810","54079","446"
"185","3313","732","5394","21085","23304","48828","505"
"186","435","96","709","2770","3062","6415","428"
"188","8295","1834","13506","52789","58346","122249","459"
"189","483","107","787","3075","3399","7121","478"
"19","3045","673","4958","19378","21418","44876","456"
"192","1000","221","1628","6365","7035","14740","515"
"193","5427","1200","8835","34533","38168","79971","507"
"194","2739","605","4459","17427","19262","40358","469"
"195","5765","1274","9386","36688","40550","84961","483"
"196","5069","1120","8252","32255","35650","74695","535"
"197","4074","901","6632","25924","28653","60034","530"
"198","622","137","1012","3957","4373","9163","488"
"2","1161","257","1890","7389","8167","17111","455"
"20","5856","1295","9535","37268","41191","86305","510"
"202","3960","875","6448","25202","27855","58363","503"
"203","2532","560","4123","16115","17811","37319","555"
"204","1695","375","2760","10789","11925","24985","536"
"205","547","121","891","3483","3850","8066","486"
"206","4781","1057","7784","30424","33626","70455","525"
"207","4986","1102","8118","31730","35070","73479","474"
"208","3403","752","5541","21656","23936","50151","507"
"209","9071","2005","14768","57725","63801","133679","497"
"21","2821","624","4593","17952","19842","41574","470"
"211","16324","3609","26577","103881","114816","240567","498"
"212","7280","1609","11852","46326","51203","107281","549"
"213","6082","1344","9901","38701","42774","89623","485"
"215","7479","1653","12176","47592","52602","110214","496"
"216","2565","567","4176","16321","18040","37797","496"
"217","1507","333","2453","9589","10598","22205","467"
"218","11898","2630","19371","75713","83683","175336","516"
"219","1924","425","3132","12241","13529","28347","558"
"22","2257","499","3674","14361","15872","33256","468"
"220","16191","3579","26360","103034","113879","238604","528"
"221","365","81","594","2323","2567","5379","486"
"222","6403","1415","10424","40746","45035","94359","451"
"223","15858","3505","25818","100915","111538","233699","465"
"224","4255","941","6927","27075","29925","62701","473"
"225","6066","1341","9876","38602","42666","89395","473"
"226","12359","2732","20121","78646","86924","182127","529"
"227","12447","2752","20265","79211","87549","183435","485"
"229","1664","368","2709","10588","11703","24521","485"
"23","4297","950","6996","27345","30223","63325","478"
"230","2374","525","3865","15107","16697","34984","447"
"231","11442","2529","18628","72810","80474","168612","480"
"232","2729","603","4443","17366","19194","40215","460"
"233","19013","4203","30955","120992","133728","280193","455"
"234","5517","1220","8982","35107","38803","81301","467"
"235","3499","773","5696","22264","24607","51558","497"
"238","5715","1263","9304","36366","40194","84216","450"
"24","8851","1957","14411","56327","62256","130441","470"
"240","3410","754","5552","21703","23987","50259","473"
"241","745","165","1213","4742","5241","10981","483"
"242","1408","311","2292","8960","9904","20750","493"
"243","16655","3682","27116","105986","117143","245442","515"
"245","3438","760","5598","21880","24184","50670","491"
"246","1760","389","2865","11198","12377","25932","489"
"247","13839","3059","22531","88068","97338","203947","462"
"248","5086","1124","8280","32365","35772","74952","483"
"249","1533","339","2495","9752","10779","22584","478"
"25","2364","522","3848","15041","16624","34832","456"
"250","2096","463","3412","13336","14740","30883","464"
"251","5853","1294","9529","37245","41165","86250","484"
"26","4144","916","6746","26370","29146","61067","465"
"27","6138","1357","9993","39060","43172","90455","476"
"28","4832","1068","7866","30747","33983","71203","481"
"29","5544","1226","9026","35281","38995","81704","488"
"3","1576","348","2566","10030","11086","23227","498"
"30","1214","268","1977","7728","8542","17897","473"
"301","2691","595","4382","17127","18930","39664","470"
"302","2395","529","3899","15241","16845","35294","453"
"303","3920","866","6381","24942","27568","57761","438"
"304","1112","246","1810","7074","7819","16383","436"
"306","5808","1284","9456","36961","40852","85594","448"
"307","2603","575","4238","16566","18310","38363","456"
"308","535","118","871","3406","3765","7888","445"
"309","2881","637","4691","18336","20266","42462","420"
"31","2311","511","3763","14709","16258","34064","468"
"311","2106","466","3429","13404","14815","31042","414"
"314","7980","1764","12992","50781","56127","117599","502"
"315","3506","775","5708","22311","24660","51669","564"
"316","3841","849","6254","24444","27017","56607","466"
"317","618","137","1006","3933","4347","9109","467"
"318","4315","954","7025","27459","30350","63590","465"
"319","3391","750","5521","21581","23852","49976","473"
"32","2441","540","3974","15535","17170","35976","489"
"320","1232","272","2006","7842","8668","18161","543"
"321","2194","485","3571","13960","15429","32328","533"
"322","1861","411","3030","11845","13092","27431","492"
"324","1044","231","1699","6641","7340","15379","523"
"326","1618","358","2635","10298","11383","23849","548"
"328","6747","1491","10985","42936","47455","99430","554"
"33","3007","665","4896","19137","21152","44318","492"
"331","4076","901","6636","25939","28669","60069","447"
"332","4362","964","7102","27760","30682","64285","539"
"333","7129","1576","11607","45367","50143","105061","554"
"334","9154","2023","14903","58252","64383","134898","548"
"34","2625","580","4273","16703","18461","38680","490"
"35","10303","2277","16773","65561","72463","151827","515"
"36","989","219","1611","6295","6958","14579","458"
"37","4758","1052","7747","30280","33467","70121","475"
"38","3212","710","5229","20440","22591","47335","511"
"39","4419","977","7195","28123","31083","65126","471"
"4","1533","339","2497","9758","10786","22598","468"
"40","4345","960","7074","27649","30560","64029","479"
"41","5487","1213","8933","34915","38590","80856","463"
"42","3411","754","5553","21705","23990","50265","505"
"43","5143","1137","8373","32728","36174","75792","437"
"44","1634","361","2661","10401","11496","24087","452"
"45","1546","342","2518","9841","10877","22790","471"
"46","2004","443","3262","12750","14092","29526","499"
"47","2408","532","3920","15322","16935","35483","483"
"49","1246","275","2029","7929","8764","18362","504"
"5","3035","671","4941","19313","21346","44725","456"
"51","1045","231","1701","6647","7347","15393","527"
"52","637","141","1037","4052","4479","9384","473"
"53","5246","1160","8541","33386","36900","77315","563"
"54","4390","970","7147","27937","30877","64695","481"
"55","8217","1816","13378","52289","57793","121091","486"
"56","5796","1281","9437","36885","40768","85418","501"
"57","3513","777","5719","22355","24708","51769","483"
"58","1617","357","2632","10290","11373","23828","475"
"6","1815","401","2955","11549","12765","26746","454"
"60","3114","688","5070","19817","21903","45892","450"
"61","1549","342","2522","9858","10895","22828","505"
"62","2743","606","4465","17453","19290","40418","527"
"63","5499","1215","8952","34991","38674","81031","548"
"64","3825","845","6227","24339","26901","56364","489"
"65","3520","778","5730","22398","24755","51868","470"
"66","5350","1183","8710","34045","37629","78841","471"
"67","2304","509","3752","14664","16207","33958","478"
"68","3426","757","5577","21799","24094","50482","469"
"69","1438","318","2340","9148","10111","21185","452"
"7","2135","472","3476","13586","15016","31463","462"
"70","3755","830","6113","23894","26409","55333","497"
"71","868","192","1413","5524","6105","12792","471"
"72","5761","1273","9379","36659","40518","84894","462"
"73","1059","234","1725","6742","7451","15612","431"
"74","4136","914","6734","26321","29092","60954","479"
"75","9178","2029","14942","58403","64550","135248","488"
"76","3787","837","6166","24101","26638","55813","499"
"78","1019","225","1659","6484","7167","15016","476"
"79","6940","1534","11299","44166","48815","102280","480"
"8","1205","266","1961","7665","8472","17752","468"
"81","4152","918","6760","26425","29206","61194","469"
"84","13603","3007","22147","86566","95678","200468","468"
"86","2613","578","4254","16626","18376","38502","484"
"87","3228","714","5255","20541","22703","47568","514"
"88","254","56","414","1618","1788","3747","478"
"89","1857","411","3024","11819","13063","27370","568"
"9","2975","658","4843","18929","20922","43836","474"
"90","454","100","740","2891","3195","6694","500"
"91","15372","3398","25027","97822","108119","226535","567"
"92","4140","915","6741","26347","29121","61015","499"
"93","1009","223","1643","6421","7097","14870","501"
"95","2402","531","3911","15285","16894","35397","484"
"96","1941","429","3161","12355","13655","28611","475"
"97","4074","901","6632","25924","28653","60034","481"
"99","815","180","1326","5184","5730","12006","480"
