"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"0","21992","2431","15279","57180","63199","132417","549"
"10","12595","1392","8750","32748","36195","75837","561"
"100","21693","2398","15071","56401","62338","130614","523"
"101","23250","2570","16153","60451","66814","139992","511"
"102","39697","4388","27579","103211","114076","239016","531"
"103","18955","2095","13169","49284","54471","114130","574"
"104","30399","3360","21120","79039","87358","183037","534"
"105","12064","1333","8381","31365","34667","72635","556"
"106","8233","910","5720","21406","23659","49572","570"
"107","8541","944","5934","22207","24544","51426","537"
"108","13922","1539","9672","36197","40008","83825","508"
"109","3420","378","2376","8892","9828","20591","557"
"111","17076","1887","11863","44398","49072","102817","571"
"112","6300","696","4377","16381","18105","37935","516"
"113","15121","1671","10505","39314","43453","91044","514"
"114","31438","3475","21841","81740","90344","189293","526"
"115","21625","2390","15024","56226","62144","130207","514"
"117","5528","611","3840","14373","15886","33284","492"
"12","6061","670","4211","15758","17417","36493","512"
"120","10507","1161","7300","27318","30194","63264","535"
"121","2901","321","2015","7542","8336","17465","522"
"122","17010","1880","11818","44227","48882","102420","541"
"123","3183","352","2212","8277","9148","19167","566"
"124","15257","1686","10600","39668","43844","91863","563"
"125","1202","133","835","3124","3453","7234","578"
"129","43276","4783","30065","112517","124361","260566","551"
"131","15901","1757","11047","41342","45694","95739","490"
"132","5443","602","3781","14151","15641","32772","552"
"133","11750","1299","8163","30549","33764","70744","510"
"134","16805","1857","11675","43694","48293","101185","526"
"135","1623","179","1128","4221","4665","9775","576"
"137","2426","268","1686","6309","6973","14609","550"
"14","3513","388","2441","9134","10096","21153","557"
"140","1201","133","835","3124","3452","7233","565"
"141","43604","4819","30293","113370","125303","262540","552"
"142","4820","533","3349","12533","13852","29023","563"
"143","3187","352","2214","8287","9160","19192","525"
"145","7422","820","5156","19298","21329","44689","568"
"146","9034","999","6277","23489","25962","54397","559"
"147","23006","2543","15983","59816","66112","138521","574"
"148","2890","319","2008","7515","8306","17402","554"
"149","14324","1583","9952","37244","41164","86248","570"
"15","23835","2634","16559","61972","68496","143515","543"
"150","5718","632","3973","14867","16432","34429","549"
"151","13540","1497","9407","35204","38910","81526","540"
"152","3354","371","2330","8721","9639","20196","550"
"153","15824","1749","10994","41143","45474","95279","537"
"154","17885","1977","12425","46501","51396","107686","577"
"155","48803","5394","33905","126887","140243","293843","597"
"156","1922","212","1336","4998","5524","11575","560"
"157","3756","415","2609","9765","10793","22614","582"
"158","35282","3900","24512","91733","101389","212435","553"
"16","4523","500","3142","11759","12997","27232","539"
"161","15062","1665","10464","39161","43283","90689","538"
"162","14568","1610","10121","37878","41865","87717","579"
"163","29222","3230","20301","75976","83974","175945","513"
"164","12171","1345","8456","31644","34975","73282","554"
"165","24646","2724","17122","64078","70824","148392","512"
"166","14686","1623","10203","38185","42204","88428","482"
"167","2243","248","1558","5832","6446","13507","527"
"168","17617","1947","12239","45804","50625","106072","517"
"169","6974","771","4845","18131","20040","41988","518"
"170","14067","1555","9773","36575","40425","84699","487"
"171","19918","2202","13838","51788","57239","119929","546"
"172","45341","5011","31500","117888","130297","273003","523"
"173","10020","1107","6961","26052","28794","60331","465"
"175","10868","1201","7551","28258","31232","65439","477"
"176","22121","2445","15368","57515","63569","133192","510"
"177","12149","1343","8440","31586","34911","73147","486"
"178","18364","2030","12758","47745","52771","110568","484"
"179","58244","6437","40464","151433","167374","350688","587"
"18","40192","4442","27923","104499","115499","241998","532"
"180","7048","779","4897","18325","20254","42437","546"
"181","8638","955","6001","22458","24822","52008","561"
"182","3954","437","2747","10281","11364","23809","578"
"183","24573","2716","17072","63889","70614","147954","507"
"184","14006","1548","9730","36415","40248","84330","491"
"185","12837","1419","8919","33377","36891","77295","556"
"186","1699","188","1180","4417","4882","10230","512"
"188","34613","3826","24047","89993","99466","208405","580"
"189","1925","213","1337","5004","5531","11588","561"
"19","11723","1296","8144","30480","33688","70584","506"
"192","3857","426","2679","10027","11083","23221","550"
"193","21395","2365","14864","55626","61481","128818","566"
"194","10324","1141","7172","26843","29668","62162","491"
"195","23578","2606","16380","61302","67755","141963","579"
"196","18935","2093","13155","49230","54412","114007","550"
"197","15003","1658","10423","39007","43113","90333","531"
"198","2495","276","1733","6486","7169","15020","561"
"2","4683","518","3253","12175","13457","28195","544"
"20","21674","2396","15058","56353","62285","130501","516"
"202","15488","1712","10760","40268","44507","93253","547"
"203","9300","1028","6461","24179","26724","55993","552"
"204","6213","687","4317","16155","17855","37411","530"
"205","2161","239","1502","5620","6211","13014","538"
"206","17965","1986","12481","46708","51624","108165","536"
"207","20048","2216","13928","52125","57611","120710","538"
"208","13186","1457","9161","34284","37892","79394","546"
"209","35255","3897","24493","91662","101311","212271","558"
"21","11027","1219","7661","28670","31688","66395","533"
"211","64596","7140","44877","167949","185628","388934","570"
"212","26778","2960","18604","69622","76951","161231","564"
"213","24063","2660","16717","62564","69149","144884","574"
"215","29006","3206","20152","75416","83354","174647","556"
"216","9795","1083","6805","25467","28148","58977","539"
"217","5911","653","4107","15369","16987","35592","543"
"218","45333","5010","31494","117866","130273","272952","551"
"219","7124","787","4949","18522","20472","42893","587"
"22","8791","972","6108","22858","25264","52934","529"
"220","61918","6844","43017","160987","177933","372813","571"
"221","1394","154","968","3623","4005","8391","528"
"222","24895","2752","17295","64727","71540","149893","512"
"223","61643","6813","42825","160271","177141","371153","515"
"224","15940","1762","11074","41445","45808","95979","487"
"225","23929","2645","16625","62217","68766","144081","534"
"226","46399","5128","32235","120637","133335","279369","545"
"227","47149","5211","32756","122588","135491","283887","511"
"229","6259","692","4349","16275","17988","37689","501"
"23","16661","1841","11575","43318","47877","100315","529"
"230","9077","1003","6306","23599","26083","54651","492"
"231","42751","4725","29701","111153","122853","257406","490"
"232","10625","1174","7382","27625","30533","63973","520"
"233","75792","8377","52656","197060","217803","456350","534"
