farm_site,SUM of volume_m3,SUM of capacity_kg
138,"3,534","53,014"
139,"20,224","303,360"
140,"41,233","618,501"
141,"115,257","1,728,858"
142,"29,060","435,896"
143,"28,274","424,115"
144,"41,626","624,392"
145,"39,663","594,939"
146,"59,298","889,463"
147,"171,020","2,565,307"
148,"74,416","1,116,247"
149,"156,589","2,348,831"
150,"74,416","1,116,247"
151,"149,618","2,244,275"
152,"60,083","901,244"
153,"130,376","1,955,641"
154,"160,025","2,400,373"
155,"250,247","3,753,712"
156,"28,471","427,060"
157,"23,955","359,320"
158,"224,624","3,369,358"
159,785,"11,781"
160,"227,765","3,416,482"
161,"97,782","1,466,731"
162,"90,124","1,351,867"
163,"60,083","901,244"
164,"93,070","1,396,045"
165,"179,071","2,686,062"
166,"143,728","2,155,918"
167,"22,973","344,593"
168,"151,385","2,270,782"
169,"60,868","913,025"
170,"27,685","415,279"
171,"158,061","2,370,921"
172,"194,386","2,915,791"
173,"94,248","1,413,717"
174,"19,635","294,524"
175,"82,860","1,242,893"
176,"149,422","2,241,330"
177,"80,012","1,200,187"
178,"114,963","1,724,440"
179,"358,142","5,372,123"
180,"49,480","742,201"
181,"49,775","746,619"
182,"25,329","379,936"
183,"150,600","2,259,001"
184,"109,759","1,646,391"
185,"82,860","1,242,893"
186,"38,877","583,158"
187,"167,486","2,512,292"
188,"176,126","2,641,883"
189,"18,261","273,908"
190,"143,728","2,155,918"
191,"21,991","329,867"
192,"27,685","415,279"
193,"132,340","1,985,094"
194,"78,540","1,178,097"
195,"156,294","2,344,414"
196,"142,550","2,138,246"
197,"88,357","1,325,359"
198,"12,959","194,386"
202,"123,897","1,858,448"
203,"49,480","742,201"
204,"31,809","477,129"
205,"14,726","220,893"
206,"129,002","1,935,025"
207,"133,125","1,996,875"
208,"99,942","1,499,129"
209,"279,994","4,199,917"
210,"14,530","217,948"
211,"379,347","5,690,210"
212,"98,666","1,479,985"
213,"84,823","1,272,345"
214,"35,736","536,034"
215,"194,975","2,924,626"
216,"103,084","1,546,253"
217,"98,567","1,478,512"
218,"55,174","827,613"
219,"44,768","671,515"
220,"388,576","5,828,636"
221,"90,321","1,354,812"
222,"161,399","2,420,990"
223,"450,819","6,762,278"
224,"103,673","1,555,088"
225,"151,385","2,270,782"
226,"290,597","4,358,960"
227,"243,473","3,652,101"
228,"17,671","265,072"
229,"40,644","609,665"
230,"55,960","839,394"
231,"238,957","3,584,361"
232,"73,238","1,098,576"
233,"359,712","5,395,685"
234,"133,420","2,001,293"
235,"123,700","1,855,503"
237,"46,535","698,023"
238,"149,520","2,242,803"
240,"92,382","1,385,737"
241,"11,388","170,824"
242,"32,398","485,965"
243,"310,723","4,660,847"
244,"9,425","141,372"
245,"91,892","1,378,374"
246,"102,593","1,538,890"
247,"274,693","4,120,395"
248,"128,609","1,929,134"
249,"35,343","530,144"
250,"66,562","998,437"
251,"113,490","1,702,351"
