"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"173","42690","13341","80043","37586","30069","75172","388"
"174","9175","2867","17203","7428","5942","14855","395"
"175","39070","12209","73256","29154","23324","58309","412"
"176","73060","22831","136988","39398","31518","78795","430"
"177","36347","11358","68150","37540","30032","75079","402"
"178","55162","17238","103429","35167","28134","70335","422"
"179","168786","52746","316474","146921","117537","293842","453"
"18","55586","17370","104223","36018","28814","72036","434"
"180","23280","7275","43649","21516","17213","43032","457"
"181","23886","7464","44786","19046","15236","38091","455"
"182","12135","3792","22753","8318","6655","16636","468"
"183","71161","22238","133427","46896","37517","93793","410"
"184","52282","16338","98029","34605","27684","69209","416"
"185","40723","12726","76356","23347","18678","46695","461"
"186","18048","5640","33841","12936","10349","25872","404"
"187","79678","24899","149396","62846","50277","125692","447"
"188","81258","25393","152360","80521","64417","161041","428"
"189","8541","2669","16014","7356","5885","14712","439"
"19","54349","16984","101904","61085","48868","122171","406"
"190","68672","21460","128761","46185","36948","92370","444"
"191","11240","3512","21074","5300","4240","10601","489"
"192","13685","4277","25660","7905","6324","15811","462"
"193","61951","19360","116159","51898","41518","103795","443"
"194","37598","11749","70495","25829","20664","51659","445"
"195","74843","23389","140331","55074","44059","110148","449"
"196","71736","22418","134505","37713","30170","75425","464"
"197","42960","13425","80550","28399","22719","56797","459"
"198","6505","2033","12197","3620","2896","7239","467"
"2","16415","5130","30778","14496","11597","28992","419"
"20","61436","19199","115193","32842","26273","65683","467"
"202","57938","18106","108634","47801","38241","95602","439"
"203","22752","7110","42660","25773","20618","51545","425"
"204","15754","4923","29539","8118","6494","16235","443"
"205","6902","2157","12941","5099","4079","10198","438"
"206","65116","20349","122092","31033","24827","62066","469"
"207","61189","19122","114730","69645","55716","139290","416"
"208","47498","14843","89059","41724","33379","83448","431"
"209","131539","41106","246635","125010","100008","250020","457"
"21","52153","16298","97788","28517","22814","57034","454"
"210","7094","2217","13300","4553","3642","9106","473"
"211","184693","57716","346299","116573","93258","233146","472"
"212","49066","15333","91998","32046","25637","64093","485"
"213","40168","12552","75315","29349","23479","58698","458"
"214","17393","5435","32612","10144","8116","20289","468"
"215","100924","31539","189232","40217","32174","80434","496"
"216","48931","15291","91745","34896","27917","69792","454"
"217","45784","14308","85845","44400","35520","88799","447"
"218","27253","8517","51100","16433","13146","32866","470"
"219","22007","6877","41262","14479","11583","28957","472"
"22","30883","9651","57906","22801","18241","45603","432"
"220","181676","56774","340643","186719","149375","373437","449"
"221","44501","13906","83439","24408","19526","48816","467"
"222","79837","24949","149694","40277","32221","80553","446"
"223","207282","64776","388654","234592","187674","469184","415"
"224","47337","14793","88758","51722","41377","103444","414"
"225","72947","22796","136776","43041","34433","86082","435"
"226","131762","41176","247054","159285","127428","318570","403"
"227","113718","35537","213221","89809","71847","179618","421"
"228","8255","2580","15479","6786","5429","13572","423"
"229","18816","5880","35281","18984","15187","37968","416"
"23","34916","10911","65468","33644","26915","67288","412"
"230","25820","8069","48413","25201","20161","50401","411"
"231","112516","35161","210968","91778","73422","183556","424"
"232","33060","10331","61988","36852","29481","73703","411"
"233","166449","52015","312091","134507","107606","269014","413"
"234","59263","18520","111118","69561","55649","139122","407"
"235","59498","18593","111560","38340","30672","76680","439"
"237","22076","6899","41392","16047","12838","32095","432"
"238","70061","21894","131364","58576","46861","117151","424"
"24","95277","29774","178644","54316","43453","108633","431"
"240","45194","14123","84738","30129","24103","60258","450"
"241","5453","1704","10225","3560","2848","7121","433"
"242","15589","4871","29229","10896","8717","21792","442"
"243","151891","47466","284796","92950","74360","185899","456"
"244","4594","1436","8614","3019","2415","6038","459"
"245","42785","13370","80222","36045","28836","72090","437"
"246","45587","14246","85476","53661","42929","107322","435"
"247","128332","40104","240622","105534","84427","211067","441"
"248","61596","19249","115493","44246","35397","88492","450"
"249","16526","5165","30987","14165","11332","28331","423"
"25","22061","6894","41365","17390","13912","34780","434"
"250","31432","9822","58934","23771","19017","47541","432"
"251","51685","16151","96908","46534","37227","93068","410"
"26","46962","14676","88054","32865","26292","65731","455"
"27","96330","30103","180619","74457","59566","148915","436"
"28","32580","10181","61087","22476","17980","44951","438"
"29","53053","16579","99474","34540","27632","69079","442"
"3","16053","5017","30100","11686","9349","23372","437"
"30","12954","4048","24288","8836","7069","17672","439"
"31","33118","10349","62097","22922","18338","45844","441"
"32","30572","9554","57322","14235","11388","28470","475"
"33","38500","12031","72187","31521","25217","63042","440"
"34","53045","16576","99459","29159","23327","58318","461"
"35","151595","47373","284240","100176","80141","200353","444"
"36","7037","2199","13194","4490","3592","8980","442"
"37","39266","12271","73624","32445","25956","64890","426"
"38","29566","9240","55437","24228","19383","48456","431"
"39","38505","12033","72196","27343","21874","54686","438"
"4","18458","5768","34609","15108","12087","30217","434"
"40","44661","13957","83740","30921","24737","61842","433"
"41","35075","10961","65766","33848","27079","67697","434"
"42","35284","11026","66157","21643","17314","43286","448"
"43","52133","16292","97750","32892","26314","65785","447"
"44","19707","6158","36950","12761","10209","25522","446"
"45","15438","4824","28946","11815","9452","23631","426"
"46","20923","6538","39230","16095","12876","32190","434"
"47","33899","10594","63561","26854","21483","53707","414"
"48","3448","1077","6464","2200","1760","4399","444"
"49","14503","4532","27194","11502","9202","23005","421"
"5","49575","15492","92953","27561","22049","55122","442"
"50","31198","9750","58497","23430","18744","46860","440"
"51","25026","7821","46923","19308","15447","38616","440"
"52","9614","3004","18027","6820","5456","13640","449"
"53","53982","16869","101216","58327","46661","116653","435"
"54","57336","17917","107504","42531","34025","85061","441"
"55","98922","30913","185479","71059","56847","142118","451"
"56","72008","22503","135015","52322","41858","104644","450"
"57","44441","13888","83326","26162","20930","52324","458"
"58","19910","6222","37332","15021","12017","30042","440"
