"0",NA
"1",NA
"10",-18
"100",-2
"101",7
"102",NA
"103",NA
"104",0
"105",NA
"106",0
"107",7
"108",NA
"109",NA
"11",-2
"110",-15
"111",NA
"112",NA
"113",-3
"114",NA
"115",-38
"116",0
"117",-10
"118",-9
"119",-8
"12",-1
"120",-5
"121",2
"122",-1
"123",NA
"124",NA
"125",NA
"126",-19
"127",-10
"128",0
"129",0
"13",-5
"130",NA
"131",3
"132",22
"133",0
"134",-9
"135",-10
"136",NA
"137",0
"138",41
"139",NA
"14",0
"140",-10
"141",2
"142",0
"143",-5
"144",-17
"145",0
"146",0
"147",0
"148",-4
"149",3
"15",-1
"150",8
"151",-16
"152",0
"153",8
"154",-13
"155",30
"156",-5
"157",-11
"158",-6
"159",5
"16",0
"160",-12
"161",8
"162",-4
"163",2
"164",-3
"165",-16
"166",NA
"167",4
"168",16
"169",3
"17",0
"170",NA
"171",-13
"172",NA
"173",NA
"174",-46
"175",1
"176",2
"177",8
"178",NA
"179",0
"18",NA
"180",0
"181",0
"182",-14
"183",6
"184",0
"185",-12
"186",6
"187",-1
"188",0
"189",-15
"19",-8
"190",-18
"191",-15
"192",NA
"193",NA
"194",3
"195",-17
"196",NA
"197",16
"198",16
"199",NA
"2",NA
"20",-4
"200",NA
"201",2
"202",0
"203",-3
"204",-9
"205",-2
"206",-14
"207",-13
"208",-26
"209",-12
"21",NA
"210",0
"211",-14
"212",NA
"213",9
"214",NA
"215",-15
"216",9
"217",NA
"218",22
"219",NA
"22",0
"220",-14
"221",NA
"222",-2
"223",-27
"224",NA
"225",0
"226",-2
"227",-2
"228",NA
"229",NA
"23",0
"230",6
"231",0
"232",0
"233",-35
"234",0
"235",0
"236",NA
"237",-13
"238",0
"239",NA
"24",-5
"240",NA
"241",7
"242",-14
"243",-3
"244",NA
"245",0
"246",1
"247",-7
"248",NA
"249",5
"25",-11
"250",-3
"251",NA
"26",-1
"27",-2
"28",-5
"29",NA
"3",0
"30",-12
"301",NA
"302",12
"303",19
"304",6
"305",9
"306",9
"307",3
"308",6
"309",7
"31",NA
"310",NA
"311",12
"312",19
"313",19
"314",-3
"315",4
"316",-18
"317",-1
"318",-14
"319",12
"32",-9
"320",NA
"321",NA
"322",-2
"323",-4
"324",18
"325",NA
"326",16
"327",6
"328",2
"329",-5
"33",-12
"330",NA
"331",-16
"332",15
"333",0
"334",0
"34",-2
"35",NA
"36",NA
"37",-1
"38",0
"39",-1
"4",0
"40",NA
"41",-1
"42",-1
"43",NA
"44",0
"45",NA
"46",-9
"47",1
"48",NA
"49",0
"5",1
"50",-16
"51",-12
"52",-13
"53",4
"54",-64
"55",NA
"56",-12
"57",NA
"58",NA
"59",NA
"6",0
"60",6
"61",0
"62",-108
"63",-6
"64",-3
"65",2
"66",-1
"67",-1
"68",-1
"69",2
"7",0
"70",NA
"71",0
"72",1
"73",3
"74",2
"75",1
"76",NA
"77",1
"78",-1
"79",0
"8",-1
"80",2
"81",2
"82",-33
"83",-37
"84",0
"85",NA
"86",0
"87",0
"88",2
"89",NA
"9",-8
"90",NA
"91",NA
"92",NA
"93",NA
"94",-5
"95",NA
"96",NA
"97",NA
"98",15
"99",NA
