farm_id,POINT_X,POINT_Y
0,20.921909,38.676531
0,20.933397,38.67671
0,20.933538,38.667704
0,20.922049,38.667525
0,20.921909,38.676531
1,21.095549,38.462312
1,21.107004,38.462133
1,21.106863,38.453126
1,21.095408,38.453305
1,21.095549,38.462312
2,20.769624,38.759015
2,20.781126,38.759194
2,20.781266,38.750188
2,20.769765,38.750009
2,20.769624,38.759015
3,20.838215,38.943204
3,20.849746,38.943025
3,20.849606,38.934019
3,20.838075,38.934198
3,20.838215,38.943204
4,20.845823,38.946498
4,20.857355,38.946319
4,20.857215,38.937313
4,20.845683,38.937493
4,20.845823,38.946498
5,20.850422,38.945998
5,20.861954,38.946177
5,20.862094,38.937171
5,20.850562,38.936992
5,20.850422,38.945998
6,20.851648,38.953516
6,20.863181,38.953337
6,20.863041,38.944332
6,20.851508,38.944511
6,20.851648,38.953516
7,20.852703,38.959699
7,20.864237,38.95952
7,20.864098,38.950514
7,20.852563,38.950693
7,20.852703,38.959699
8,20.922655,38.946843
8,20.934188,38.947022
8,20.934327,38.938017
8,20.922795,38.937838
8,20.922655,38.946843
9,21.022262,38.9306
9,21.033791,38.930779
9,21.033931,38.921774
9,21.022402,38.921595
9,21.022262,38.9306
10,21.028704,38.923452
10,21.040232,38.923272
10,21.040092,38.914267
10,21.028564,38.914446
10,21.028704,38.923452
11,21.13454,39.01021
11,21.146083,39.01039
11,21.146223,39.001384
11,21.13468,39.001205
11,21.13454,39.01021
12,21.129078,39.019212
12,21.140622,39.019033
12,21.140483,39.010028
12,21.128939,39.010207
12,21.129078,39.019212
13,21.117871,39.028509
13,21.129417,39.02833
13,21.129277,39.019324
13,21.117731,39.019503
13,21.117871,39.028509
14,21.115526,39.03592
14,21.127073,39.035741
14,21.126933,39.026735
14,21.115386,39.026915
14,21.115526,39.03592
15,21.008583,38.559142
15,21.020053,38.559321
15,21.020194,38.550315
15,21.008724,38.550136
15,21.008583,38.559142
16,21.067929,38.461728
16,21.079383,38.461907
16,21.079524,38.452901
16,21.06807,38.452722
16,21.067929,38.461728
17,20.781237,38.970763
17,20.792773,38.970584
17,20.792633,38.961579
17,20.781097,38.961758
17,20.781237,38.970763
18,20.085911,39.658671
18,20.097561,39.65885
18,20.097699,39.649845
18,20.086049,39.649666
18,20.085911,39.658671
19,20.081185,39.663848
19,20.092836,39.664027
19,20.092974,39.655022
19,20.081324,39.654843
19,20.081185,39.663848
20,20.044397,39.680712
20,20.05605,39.680533
20,20.055912,39.671529
20,20.044259,39.671708
20,20.044397,39.680712
21,20.043508,39.683807
21,20.055162,39.683986
21,20.055301,39.674981
21,20.043647,39.674802
21,20.043508,39.683807
22,20.039281,39.684345
22,20.050935,39.684166
22,20.050796,39.675162
22,20.039143,39.675341
22,20.039281,39.684345
23,20.012071,39.683768
23,20.023725,39.683589
23,20.023586,39.674585
23,20.011933,39.674764
23,20.012071,39.683768
24,20.100589,39.659663
24,20.112239,39.659843
24,20.112378,39.650838
24,20.100728,39.650659
24,20.100589,39.659663
25,20.093502,39.65404
25,20.105151,39.65422
25,20.105289,39.645215
25,20.093641,39.645036
25,20.093502,39.65404
26,19.899341,39.798475
26,19.911014,39.798296
