"day","faeces_c1","faeces_c2","faeces_l1","faeces_l2","faeces_p1","faeces_p2","feed_c1","feed_c2","feed_l1","feed_l2","feed_p1","feed_p2"
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0
31,0.227692263437877,0.0363390122499515,0.0503319740231097,0.00803283428683142,0.370698983281316,0.0591624620490443,0.127704826675893,0.243419220813074,0.11554246223057,0.220236437878494,0.267572017797108,0.510021224560725
32,0.447048385829069,0.081368708515931,0.0988212221306364,0.017986767145627,0.727826143946274,0.132473967548744,0.32074202389351,0.545053549867481,0.290195164475081,0.493143687975342,0.67203090720545,1.1420169616271
33,0.631678961953636,0.141746135526659,0.139634296852909,0.0313333562743142,1.02841767840873,0.230772655734631,0.736883711785631,0.949495644676185,0.66670431066319,0.859067488040356,1.5439468246937,1.9894194459882
34,0.770690239254783,0.203192158810925,0.170363105519478,0.0449161614213624,1.25473779303235,0.33081109364305,1.46810136888994,1.36109580064734,1.32828219090042,1.23146762915712,3.07602191576939,2.85181977278491
35,0.831267548944473,0.244775673944185,0.183753879240357,0.0541083068718724,1.35336190424644,0.398511974421409,2.71520724235465,1.63964566278401,2.45661607641611,1.48348893299506,5.68900565064783,3.43544805535698
