"V1","Pexc","Nexc","Cexc","Pwst","Nwst","Cwst"
1,6.6974085955,139.6480941182,758.0896537846,6.6974085955,139.6480941182,758.0896537846
2,6.8948892172,143.7657751664,780.4427794746,6.8948892172,143.7657751664,780.4427794746
3,7.1518296943,149.1232574561,809.5262547615,7.1518296943,149.1232574561,809.5262547615
4,7.2812967447,151.822783188,824.1808230204,7.2812967447,151.822783188,824.1808230204
5,7.4396045346,155.1236690186,842.0999175296,7.4396045346,155.1236690186,842.0999175296
6,7.7733370905,162.0823478443,879.8756025836,7.7733370905,162.0823478443,879.8756025836
7,8.1300139922,169.5194406884,920.2483923086,8.1300139922,169.5194406884,920.2483923086
8,8.3467868831,174.0393860733,944.7852386834,8.3467868831,174.0393860733,944.7852386834
9,8.4107404691,175.3728863771,952.0242403328,8.4107404691,175.3728863771,952.0242403328
10,8.807444545,183.6445883842,996.9277655142,8.807444545,183.6445883842,996.9277655142
11,9.4349657989,196.7290741042,1067.9578308514,9.4349657989,196.7290741042,1067.9578308514
12,9.8560702227,205.5095493248,1115.623267763,9.8560702227,205.5095493248,1115.623267763
13,10.1708516141,212.0730762094,1151.2538422795,10.1708516141,212.0730762094,1151.2538422795
14,10.1942650689,212.5612716489,1153.9040460939,10.1942650689,212.5612716489,1153.9040460939
15,10.3627590512,216.0745504295,1172.9761309031,10.3627590512,216.0745504295,1172.9761309031
16,10.5224242812,219.4037403311,1191.0488760831,10.5224242812,219.4037403311,1191.0488760831
17,10.7572583228,224.3002799231,1217.6300910112,10.7572583228,224.3002799231,1217.6300910112
18,10.9504482694,228.3284958294,1239.4975487882,10.9504482694,228.3284958294,1239.4975487882
19,10.8045626034,225.2866244955,1222.9845329754,10.8045626034,225.2866244955,1222.9845329754
20,10.7482836845,224.1131491658,1216.6142383288,10.7482836845,224.1131491658,1216.6142383288
21,11.1428231506,232.3397167565,1261.2727481067,11.1428231506,232.3397167565,1261.2727481067
22,11.7940819826,245.9191562328,1334.989705264,11.7940819826,245.9191562328,1334.989705264
23,12.2220793527,254.8433567157,1383.435365028,12.2220793527,254.8433567157,1383.435365028
24,12.7722513583,266.3150283222,1445.7101537493,12.7722513583,266.3150283222,1445.7101537493
25,13.7013928043,285.6886159186,1550.8810578436,13.7013928043,285.6886159186,1550.8810578436
26,14.4443087184,301.1792030641,1634.9728166337,14.4443087184,301.1792030641,1634.9728166337
27,14.5567364818,303.523441535,1647.6986826186,14.5567364818,303.523441535,1647.6986826186
28,14.7448134734,307.4450468921,1668.9873974142,14.7448134734,307.4450468921,1668.9873974142
29,15.4433516108,322.010310183,1748.055969565,15.4433516108,322.010310183,1748.055969565
30,16.5774044533,345.6565183885,1876.4210998235,16.5774044533,345.6565183885,1876.4210998235
31,17.2451151746,359.5789972586,1952.0002708324,17.2451151746,359.5789972586,1952.0002708324
32,17.5161071703,365.2294686576,1982.6742584271,17.5161071703,365.2294686576,1982.6742584271
33,18.0132182658,375.5947638398,2038.9430037018,18.0132182658,375.5947638398,2038.9430037018
34,18.4150205747,383.9727694291,2084.4236054724,18.4150205747,383.9727694291,2084.4236054724
35,18.2181636205,379.868092513,2062.1410736419,18.2181636205,379.868092513,2062.1410736419
36,17.8864035429,372.9505419575,2024.5886563409,17.8864035429,372.9505419575,2024.5886563409
37,18.3366558418,382.3387813832,2075.5533846519,18.3366558418,382.3387813832,2075.5533846519
38,19.538321289,407.394784324,2211.5716863303,19.538321289,407.394784324,2211.5716863303
39,19.5889810659,408.4510945647,2217.3059419225,19.5889810659,408.4510945647,2217.3059419225
40,19.5063274455,406.7276786507,2207.9502555323,19.5063274455,406.7276786507,2207.9502555323
41,19.316675319,402.7732300556,2186.4832488735,19.316675319,402.7732300556,2186.4832488735
42,19.4801384943,406.1816111568,2204.9858891367,19.4801384943,406.1816111568,2204.9858891367
43,20.168054808,420.5253981248,2282.852161249,20.168054808,420.5253981248,2282.852161249
44,20.9958610067,437.7860380126,2376.5527777827,20.9958610067,437.7860380126,2376.5527777827
45,22.3037980048,465.0579158445,2524.6001145845,22.3037980048,465.0579158445,2524.6001145845
46,22.9555653417,478.6479581887,2598.3746301671,22.9555653417,478.6479581887,2598.3746301671
47,23.080881836,481.2609404106,2612.5593908002,23.080881836,481.2609404106,2612.5593908002
48,23.5672504178,491.402242755,2667.6121749557,23.5672504178,491.402242755,2667.6121749557
49,24.406833898,508.9084514895,2762.6458795143,24.406833898,508.9084514895,2762.6458795143
50,24.8406338925,517.9536428642,2811.7483469768,24.8406338925,517.9536428642,2811.7483469768
51,24.7999712754,517.1057840397,2807.1456847871,24.7999712754,517.1057840397,2807.1456847871
52,25.0344522644,521.9949621086,2833.686937161,25.0344522644,521.9949621086,2833.686937161
53,25.4619719265,530.9092018709,2882.0785244419,25.4619719265,530.9092018709,2882.0785244419
54,25.8198047025,538.3703959246,2922.5821493051,25.8198047025,538.3703959246,2922.5821493051
55,26.1260923485,544.7568191821,2957.2513041312,26.1260923485,544.7568191821,2957.2513041312
56,26.7101735146,556.9355328576,3023.3643212269,26.7101735146,556.9355328576,3023.3643212269
57,27.1898453968,566.93720189,3077.6590959745,27.1898453968,566.93720189,3077.6590959745
58,27.1771072432,566.6715978364,3076.2172453977,27.1771072432,566.6715978364,3076.2172453977
59,26.6934096259,556.5859879444,3021.4667916982,26.6934096259,556.5859879444,3021.4667916982
60,26.9046530612,560.9906382977,3045.3777507587,26.9046530612,560.9906382977,3045.3777507587
61,27.877145934,581.2681492626,3155.4556674253,27.877145934,581.2681492626,3155.4556674253
62,28.5290982693,594.8620490201,3229.2511232518,28.5290982693,594.8620490201,3229.2511232518
63,29.2161000305,609.1867665928,3307.0138757896,29.2161000305,609.1867665928,3307.0138757896
64,29.8310339451,622.008792897,3376.6191614408,29.8310339451,622.008792897,3376.6191614408
65,30.6361685843,638.7967066511,3467.7535503918,30.6361685843,638.7967066511,3467.7535503918
66,31.237191729,651.3286786056,3535.7842552873,31.237191729,651.3286786056,3535.7842552873
67,32.1570480877,670.5086622552,3639.9041665282,32.1570480877,670.5086622552,3639.9041665282
68,33.0100578136,688.2948224955,3736.4576078325,33.0100578136,688.2948224955,3736.4576078325
69,33.5753045814,700.0808189313,3800.4387313411,33.5753045814,700.0808189313,3800.4387313411
70,33.7142885151,702.9787818041,3816.1705297938,33.7142885151,702.9787818041,3816.1705297938
71,33.833992988,705.4747474091,3829.7200573637,33.833992988,705.4747474091,3829.7200573637
72,34.2384307043,713.9077040481,3875.4989648324,34.2384307043,713.9077040481,3875.4989648324
73,34.6891491004,723.3056620924,3926.516451359,34.6891491004,723.3056620924,3926.516451359
74,35.2938904555,735.9151626901,3994.9680260319,35.2938904555,735.9151626901,3994.9680260319
75,35.9153543973,748.8733470082,4065.3124551874,35.9153543973,748.8733470082,4065.3124551874
76,36.550704632,762.1210753049,4137.2286945125,36.550704632,762.1210753049,4137.2286945125
77,37.0220493389,771.9491138744,4190.5809038894,37.0220493389,771.9491138744,4190.5809038894
78,37.5337913985,782.6194802241,4248.5057497878,37.5337913985,782.6194802241,4248.5057497878
79,38.0828989147,794.0689560929,4310.6600473614,38.0828989147,794.0689560929,4310.6600473614
80,38.5254405513,803.2964200062,4360.7519943196,38.5254405513,803.2964200062,4360.7519943196
81,38.9357832366,811.85250153,4407.1992940199,38.9357832366,811.85250153,4407.1992940199
82,39.2950284295,819.3431459775,4447.8627924491,39.2950284295,819.3431459775,4447.8627924491
83,39.6923921844,827.6286029948,4492.8409876862,39.6923921844,827.6286029948,4492.8409876862
84,40.1046156748,836.2239013045,4539.5011785104,40.1046156748,836.2239013045,4539.5011785104
85,40.4467208985,843.3571591597,4578.2245782957,40.4467208985,843.3571591597,4578.2245782957
86,40.879463963,852.3803124192,4627.2074102755,40.879463963,852.3803124192,4627.2074102755
87,41.2829797213,860.7940452531,4672.8819599453,41.2829797213,860.7940452531,4672.8819599453
88,41.6301198368,868.0322859587,4712.1752666329,41.6301198368,868.0322859587,4712.1752666329
89,41.871270511,873.0605340589,4739.4714706056,41.871270511,873.0605340589,4739.4714706056
90,42.3344433122,882.7181797007,4791.898689804,42.3344433122,882.7181797007,4791.898689804
91,43.0023840215,896.645454066,4867.503893501,43.0023840215,896.645454066,4867.503893501
