"day","Pexc","Nexc","Cexc","Pwst","Nwst","Cwst"
1,0.181607024141835,3.8681757248964,30.1977812348999,0.181607024141835,3.8681757248964,30.1977812348999
2,0.188931812568704,4.02419154486101,31.4157537200048,0.188931812568704,4.02419154486101,31.4157537200048
3,0.200020906408686,4.26038595312032,33.2596583346827,0.200020906408686,4.26038595312032,33.2596583346827
4,0.206645549132422,4.40148887736653,34.3612099551448,0.206645549132422,4.40148887736653,34.3612099551448
5,0.204831094797924,4.36284153845549,34.0595008372691,0.204831094797924,4.36284153845549,34.0595008372691
6,0.20778534297969,4.42576614809559,34.5507359132697,0.20778534297969,4.42576614809559,34.5507359132697
7,0.220296277418343,4.69224533919544,36.6310654765554,0.220296277418343,4.69224533919544,36.6310654765554
8,0.215641034203261,4.59309004009201,35.8569873985264,0.215641034203261,4.59309004009201,35.8569873985264
9,0.220423565358742,4.69495653455505,36.6522310311158,0.220423565358742,4.69495653455505,36.6522310311158
10,0.230299971895948,4.90532106311309,38.2944888975546,0.230299971895948,4.90532106311309,38.2944888975546
11,0.238799106084738,5.08635009933605,39.7077326645947,0.238799106084738,5.08635009933605,39.7077326645947
12,0.245449143538776,5.22799392380218,40.8135069439205,0.245449143538776,5.22799392380218,40.8135069439205
13,0.241434167442617,5.14247612434155,40.1458930650626,0.241434167442617,5.14247612434155,40.1458930650626
14,0.235938944554003,5.02542950744402,39.2321424025454,0.235938944554003,5.02542950744402,39.2321424025454
15,0.238323575107674,5.0762214306317,39.628660941,0.238323575107674,5.0762214306317,39.628660941
16,0.244184474937849,5.20105685787501,40.6032166981224,0.244184474937849,5.20105685787501,40.6032166981224
17,0.248937922949988,5.30230389001487,41.3936243591716,0.248937922949988,5.30230389001487,41.3936243591716
18,0.254129382621664,5.41288044052909,42.2568649975548,0.254129382621664,5.41288044052909,42.2568649975548
19,0.251579625041948,5.35857136068577,41.8328889869455,0.251579625041948,5.35857136068577,41.8328889869455
20,0.256861284055704,5.47106913042089,42.7111280540102,0.256861284055704,5.47106913042089,42.7111280540102
21,0.272836042708931,5.81132674945016,45.3674254597412,0.272836042708931,5.81132674945016,45.3674254597412
22,0.292289938203477,6.22568895081471,48.6022369054268,0.292289938203477,6.22568895081471,48.6022369054268
23,0.30476152955699,6.49133014587559,50.6760244647138,0.30476152955699,6.49133014587559,50.6760244647138
24,0.3356872919616,7.15003970830969,55.8183883794902,0.3356872919616,7.15003970830969,55.8183883794902
25,0.360662742614566,7.68200939610492,59.9713290414785,0.360662742614566,7.68200939610492,59.9713290414785
26,0.374000266784251,7.96609470319689,62.1891046974287,0.374000266784251,7.96609470319689,62.1891046974287
27,0.318714424642152,6.78852267086459,52.9961245564709,0.318714424642152,6.78852267086459,52.9961245564709
28,0.301440641083959,6.42059620682687,50.1238241074424,0.301440641083959,6.42059620682687,50.1238241074424
29,0.320651119880986,6.82977370476474,53.3181600031578,0.320651119880986,6.82977370476474,53.3181600031578
30,0.359443461703588,7.6560390745055,59.7685859020674,0.359443461703588,7.6560390745055,59.7685859020674
31,0.348273863737331,7.418129952245,57.9112949880146,0.348273863737331,7.418129952245,57.9112949880146
32,0.342447717110868,7.29403475792823,56.9425180252305,0.342447717110868,7.29403475792823,56.9425180252305
33,0.354382089354624,7.54823334536347,58.9269763020829,0.354382089354624,7.54823334536347,58.9269763020829
34,0.359828025973446,7.66423017933945,59.8325315988091,0.359828025973446,7.66423017933945,59.8325315988091
35,0.376049229264306,8.00973699602132,62.5298080431478,0.376049229264306,8.00973699602132,62.5298080431478
36,0.390783747811028,8.32357786880582,64.9798771953629,0.390783747811028,8.32357786880582,64.9798771953629
37,0.41043573456831,8.74215935528584,68.2476274364774,0.41043573456831,8.74215935528584,68.2476274364774
38,0.430596956302659,9.17158739566909,71.6000537329772,0.430596956302659,9.17158739566909,71.6000537329772
39,0.414567733770928,8.83016971218909,68.9347000239671,0.414567733770928,8.83016971218909,68.9347000239671
40,0.416603378243779,8.873528335412,69.273188839329,0.416603378243779,8.873528335412,69.273188839329
41,0.424216117065617,9.0356774133442,70.5390419781412,0.424216117065617,9.0356774133442,70.5390419781412
42,0.4285968425665,9.12898556659448,71.267473000845,0.4285968425665,9.12898556659448,71.267473000845
43,0.453764977405891,9.66505937038423,75.4524533646927,0.453764977405891,9.66505937038423,75.4524533646927
44,0.457497690771975,9.74456505745173,76.0731323399374,0.457497690771975,9.74456505745173,76.0731323399374
45,0.470142641621783,10.0138987583417,78.1757462740236,0.470142641621783,10.0138987583417,78.1757462740236
46,0.478479611011117,10.1914737324564,79.5620251306418,0.478479611011117,10.1914737324564,79.5620251306418
47,0.476416250610412,10.1475247681945,79.218927685575,0.476416250610412,10.1475247681945,79.218927685575
48,0.475247954795563,10.1226404140135,79.0246623943442,0.475247954795563,10.1226404140135,79.0246623943442
49,0.479603884928751,10.2154204332895,79.7489704207441,0.479603884928751,10.2154204332895,79.7489704207441
50,0.467869865585621,9.96548930318572,77.797827006527,0.467869865585621,9.96548930318572,77.797827006527
51,0.459031676280585,9.77723849359656,76.3282048462208,0.459031676280585,9.77723849359656,76.3282048462208
52,0.480119833806978,10.2264099912952,79.8347628697241,0.480119833806978,10.2264099912952,79.8347628697241
53,0.51109886297333,10.8862541199482,84.985984030115,0.51109886297333,10.8862541199482,84.985984030115
54,0.513530312189896,10.9380432667629,85.3902876184407,0.513530312189896,10.9380432667629,85.3902876184407
55,0.503811663037433,10.7310389236875,83.7742617934943,0.503811663037433,10.7310389236875,83.7742617934943
56,0.502797316058863,10.7094336340372,83.6055952548522,0.502797316058863,10.7094336340372,83.6055952548522
57,0.52143640102512,11.1064406129327,86.7049192644242,0.52143640102512,11.1064406129327,86.7049192644242
58,0.532430113125506,11.3406034184418,88.5329637166456,0.532430113125506,11.3406034184418,88.5329637166456
59,0.524578944026024,11.1733758463466,87.2274641742976,0.524578944026024,11.1733758463466,87.2274641742976
60,0.534276211632714,11.3799247688416,88.8399346563554,0.534276211632714,11.3799247688416,88.8399346563554
61,0.553347891228609,11.7861458849821,92.011190894601,0.553347891228609,11.7861458849821,92.011190894601
62,0.557976969054828,11.8847438690669,92.7809181679595,0.557976969054828,11.8847438690669,92.7809181679595
