"Day","Pexc (g)","Nexc (g)","Cexc (g)","Pwst (g)","Nwst (g)","Cwst (g)"
1,8.10240610772586,172.578845819752,1347.27546070207,8.10240610772586,172.578845819752,1347.27546070207
2,8.40986252531965,179.127576281141,1398.39959360187,8.40986252531965,179.127576281141,1398.39959360187
3,8.57217119756117,182.584702837074,1425.38842732147,8.57217119756117,182.584702837074,1425.38842732147
4,8.88290165700265,189.203169418294,1477.05697087905,8.88290165700265,189.203169418294,1477.05697087905
5,9.14964891381428,194.884806834893,1521.41194747905,9.14964891381428,194.884806834893,1521.41194747905
6,10.2615613946926,218.568212733244,1706.30176662885,10.2615613946926,218.568212733244,1706.30176662885
7,10.6859131077257,227.60677830046,1776.86335562786,10.6859131077257,227.60677830046,1776.86335562786
8,10.8319728786063,230.717808079038,1801.15030724283,10.8319728786063,230.717808079038,1801.15030724283
9,10.8681186094671,231.487701420637,1807.16065226262,10.8681186094671,231.487701420637,1807.16065226262
10,11.1865385223825,238.269951079115,1860.10780514117,11.1865385223825,238.269951079115,1860.10780514117
11,12.1751383874572,259.32683485213,2024.49309032189,12.1751383874572,259.32683485213,2024.49309032189
12,12.1766045061332,259.358062744879,2024.73687786949,12.1766045061332,259.358062744879,2024.73687786949
13,12.0782108805772,257.262307717457,2008.37589627481,12.0782108805772,257.262307717457,2008.37589627481
14,11.9086683155851,253.651101392493,1980.18420428588,11.9086683155851,253.651101392493,1980.18420428588
15,11.9911661067051,255.408279863292,1993.90201206548,11.9911661067051,255.408279863292,1993.90201206548
16,12.7032671244824,270.575820236009,2112.31081730637,12.7032671244824,270.575820236009,2112.31081730637
17,13.6788670137958,291.355808382868,2274.53445468765,13.6788670137958,291.355808382868,2274.53445468765
18,14.3586316242236,305.834592874413,2387.56633268866,14.3586316242236,305.834592874413,2387.56633268866
19,14.2958036761061,304.496376222817,2377.11924430286,14.2958036761061,304.496376222817,2377.11924430286
20,14.1319041624817,301.005365217489,2349.86588403047,14.1319041624817,301.005365217489,2349.86588403047
21,14.4804321118949,308.428907119233,2407.81942861588,14.4804321118949,308.428907119233,2407.81942861588
22,15.3296370110922,326.516719482552,2549.02599202247,15.3296370110922,326.516719482552,2549.02599202247
23,15.4866763087751,329.861609923999,2575.13862934538,15.4866763087751,329.861609923999,2575.13862934538
24,16.5600027740761,352.72314514041,2753.61233071209,16.5600027740761,352.72314514041,2753.61233071209
25,18.2071648002185,387.807207525129,3027.50393132021,18.2071648002185,387.807207525129,3027.50393132021
26,18.9002489039358,402.569693271369,3142.75058678601,18.9002489039358,402.569693271369,3142.75058678601
27,18.1607762761329,386.819145727247,3019.79040532217,18.1607762761329,386.819145727247,3019.79040532217
28,17.7152574203541,377.329726300598,2945.7091245655,17.7152574203541,377.329726300598,2945.7091245655
29,19.4687698075306,414.679019817374,3237.28475998415,19.4687698075306,414.679019817374,3237.28475998415
30,20.7233975426423,441.402218282157,3445.90540147735,20.7233975426423,441.402218282157,3445.90540147735
31,20.3759660789238,434.002031200342,3388.13418153105,20.3759660789238,434.002031200342,3388.13418153105
32,19.904538478424,423.960763199192,3309.74477112548,19.904538478424,423.960763199192,3309.74477112548
