"date","V1"
"2/4/2018",0.059179425675686
"3/4/2018",0.0627609034719305
"4/4/2018",0.0640755990727188
"5/4/2018",0.065919065697181
"6/4/2018",0.0671074117734618
"7/4/2018",0.0738048731483976
"8/4/2018",0.0817253943872445
"9/4/2018",0.0817390517396806
"10/4/2018",0.0855833380296716
"11/4/2018",0.0892708522688619
"12/4/2018",0.0977183143282626
"13/04/2018",0.0942688414152717
"14/04/2018",0.0979355456640116
"15/04/2018",0.102320587315822
"16/04/2018",0.105830890228085
"17/04/2018",0.110516840817858
"18/04/2018",0.118618250534004
"19/04/2018",0.123827728646381
"20/04/2018",0.126746721743185
"21/04/2018",0.128873076092045
"22/04/2018",0.132733619429088
"23/04/2018",0.146039807480804
"24/04/2018",0.147633943136116
"25/04/2018",0.15417818810353
"26/04/2018",0.166368575536771
"27/04/2018",0.17290679104586
"28/04/2018",0.176727177301442
"29/04/2018",0.178592252937488
"30/04/2018",0.18775044682208
"1/5/2018",0.193752469581321
"2/5/2018",0.197948877345354
"3/5/2018",0.197445014574139
"4/5/2018",0.202657138246573
"5/5/2018",0.20663306421276
"6/5/2018",0.211004727945515
"7/5/2018",0.215539403269274
"8/5/2018",0.222258516612538
"9/5/2018",0.22830125945236
"10/5/2018",0.232556958123013
"11/5/2018",0.237639426120261
"12/5/2018",0.247877097982182
"13/05/2018",0.254334185217164
"14/05/2018",0.256742132280137
"15/05/2018",0.257510166493141
"16/05/2018",0.263940035554561
"17/05/2018",0.271704377664721
"18/05/2018",0.272783596877803
"19/05/2018",0.278340566752648
"20/05/2018",0.287287042052347
"21/05/2018",0.293335310811846
"22/05/2018",0.297205833241289
"23/05/2018",0.303402895555503
"24/05/2018",0.309147278855273
"25/05/2018",0.314538756866184
"26/05/2018",0.319645522164645
"27/05/2018",0.321221644088828
"28/05/2018",0.315951036561909
"29/05/2018",0.317303940782707
"30/05/2018",0.315808369761087
"31/05/2018",0.313461698610639
"1/6/2018",0.321400921356732
"2/6/2018",0.330298778330636
"3/6/2018",0.32873592738076
"4/6/2018",0.341253465287963
"5/6/2018",0.335090147986958
"6/6/2018",0.347870283504221
"7/6/2018",0.352060153362374
"8/6/2018",0.360150545259094
"9/6/2018",0.36268411641354
"10/6/2018",0.369381706865505
"11/6/2018",0.367454210362542
"12/6/2018",0.347975096756277
"13/06/2018",0.365648240907668
"14/06/2018",0.378232340079977
"15/06/2018",0.381519272743953
"16/06/2018",0.365759702439288
"17/06/2018",0.390793128076392
"18/06/2018",0.400358246552867
"19/06/2018",0.400999727461855
"20/06/2018",0.402128250439619
"21/06/2018",0.39894940551831
"22/06/2018",0.39948056879979
"23/06/2018",0.411152910662237
"24/06/2018",0.42596935725721
"25/06/2018",0.430758061369906
"26/06/2018",0.463836365774014
"27/06/2018",0.469453749646954
"28/06/2018",0.471502822185263
"29/06/2018",0.480530894080356
"30/06/2018",0.486626941343041
"1/7/2018",0.48350504928697
"2/7/2018",0.482548447308201
"3/7/2018",0.490160728801037
"4/7/2018",0.477004805658371
"5/7/2018",0.485962705795646
"6/7/2018",0.477768385080471
"7/7/2018",0.481237724284749
"8/7/2018",0.522970275121396
"9/7/2018",0.530529220541573
"10/7/2018",0.536973006484722
"11/7/2018",0.538083406452494
"12/7/2018",0.538524764416579
"13/07/2018",0.548650026174236
"14/07/2018",0.55586898617347
"15/07/2018",0.562609522079423
"16/07/2018",0.561206679750596
"17/07/2018",0.556999138725945
"18/07/2018",0.569107035738789
"19/07/2018",0.58427618706661
"20/07/2018",0.588552215192687
"21/07/2018",0.591524858260012
"22/07/2018",0.593179043566138
"23/07/2018",0.594378399626935
"24/07/2018",0.608276151980188
"25/07/2018",0.616076319384478
"26/07/2018",0.603834311470291
"27/07/2018",0.561101075135787
"28/07/2018",0.561706101166117
"29/07/2018",0.58549122933738
"30/07/2018",0.576625624931437
"31/07/2018",0.53276172485125
"1/8/2018",0.488537310691688
"2/8/2018",0.496831680159351
"3/8/2018",0.498996402927696
"4/8/2018",0.490293511051588
"5/8/2018",0.477279913259297
"6/8/2018",0.48046958749395
"7/8/2018",0.47029180579151
"8/8/2018",0.41734917381803
"9/8/2018",0.404532096389262
"10/8/2018",0.440781694043833
"11/8/2018",0.508807880475792
"12/8/2018",0.455753927969768
"13/08/2018",0.408746139418056
"14/08/2018",0.436701114264815
"15/08/2018",0.44464694766395
"16/08/2018",0.510711398344656
"17/08/2018",0.513787950619563
"18/08/2018",0.462288085779109
"19/08/2018",0.517549356679641
"20/08/2018",0.475883920456116
"21/08/2018",0.482015476870752
"22/08/2018",0.495895878180389
"23/08/2018",0.46743643725075
"24/08/2018",0.446635649670751
"25/08/2018",0.445792218901177
"26/08/2018",0.436330878258057
"27/08/2018",0.483138947988209
"28/08/2018",0.481635061134128
"29/08/2018",0.465183639312713
"30/08/2018",0.492054865620305
"31/08/2018",0.4793679928372
"1/9/2018",0.473329822597776
"2/9/2018",0.461308896712518
"3/9/2018",0.479792875743799
"4/9/2018",0.465698145996049
"5/9/2018",0.546871334848614
"6/9/2018",0.593070991032319
"7/9/2018",0.590536706815002
"8/9/2018",0.555913596957808
"9/9/2018",0.57070613507501
"10/9/2018",0.598650404033669
"11/9/2018",0.620482888645912
"12/9/2018",0.67422507097283
"13/09/2018",0.666700646204939
"14/09/2018",0.68883810434221
"15/09/2018",0.700980861537591
"16/09/2018",0.709589810975252
"17/09/2018",0.700713205913794
"18/09/2018",0.697838162781322
"19/09/2018",0.709112824019237
"20/09/2018",0.701565521546478
"21/09/2018",0.711510537601972
