date,0,1,2
1/1/2018,0.00E+00,0.00E+00,0.00E+00
2/1/2018,0.00E+00,0.00E+00,0.00E+00
3/1/2018,0.00E+00,0.00E+00,0.00E+00
4/1/2018,0.00E+00,0.00E+00,0.00E+00
5/1/2018,0.00E+00,0.00E+00,0.00E+00
6/1/2018,0.00E+00,0.00E+00,0.00E+00
7/1/2018,0.00E+00,0.00E+00,0.00E+00
8/1/2018,0.00E+00,0.00E+00,0.00E+00
9/1/2018,0.00E+00,0.00E+00,0.00E+00
10/1/2018,0.00E+00,0.00E+00,0.00E+00
11/1/2018,0.00E+00,0.00E+00,0.00E+00
12/1/2018,0.00E+00,0.00E+00,0.00E+00
13/01/2018,0.00E+00,0.00E+00,0.00E+00
14/01/2018,0.00E+00,0.00E+00,0.00E+00
15/01/2018,0.00E+00,0.00E+00,0.00E+00
16/01/2018,0.00E+00,0.00E+00,0.00E+00
17/01/2018,0.00E+00,0.00E+00,0.00E+00
18/01/2018,0.00E+00,0.00E+00,0.00E+00
19/01/2018,0.00E+00,0.00E+00,0.00E+00
20/01/2018,0.00E+00,0.00E+00,0.00E+00
21/01/2018,0.00E+00,0.00E+00,0.00E+00
22/01/2018,0.00E+00,0.00E+00,0.00E+00
23/01/2018,0.00E+00,0.00E+00,0.00E+00
24/01/2018,0.00E+00,0.00E+00,0.00E+00
25/01/2018,0.00E+00,0.00E+00,0.00E+00
26/01/2018,0.00E+00,0.00E+00,0.00E+00
27/01/2018,0.00E+00,0.00E+00,0.00E+00
28/01/2018,0.00E+00,0.00E+00,0.00E+00
29/01/2018,0.00E+00,0.00E+00,0.00E+00
30/01/2018,0.00E+00,0.00E+00,0.00E+00
31/01/2018,0.00E+00,0.00E+00,0.00E+00
1/2/2018,0.00E+00,0.00E+00,0.00E+00
2/2/2018,0.00E+00,0.00E+00,0.00E+00
3/2/2018,0.00E+00,0.00E+00,0.00E+00
4/2/2018,0.00E+00,0.00E+00,0.00E+00
5/2/2018,0.00E+00,0.00E+00,0.00E+00
6/2/2018,0.00E+00,0.00E+00,0.00E+00
7/2/2018,0.00E+00,0.00E+00,0.00E+00
8/2/2018,0.00E+00,0.00E+00,0.00E+00
9/2/2018,0.00E+00,0.00E+00,0.00E+00
10/2/2018,0.00E+00,0.00E+00,0.00E+00
11/2/2018,0.00E+00,0.00E+00,0.00E+00
12/2/2018,0.00E+00,0.00E+00,0.00E+00
13/02/2018,0.00E+00,0.00E+00,0.00E+00
14/02/2018,0.00E+00,0.00E+00,0.00E+00
