"Day","Pexc (g)","Nexc (g)","Cexc (g)","Pwst (g)","Nwst (g)","Cwst (g)"
1,1.89901869231286,43.3321015619007,238.678782027183,1.89901869231286,43.3321015619007,238.678782027183
2,1.98492643932455,45.2923577897795,249.476125153108,1.98492643932455,45.2923577897795,249.476125153108
3,2.08865176592006,47.6591782980621,262.512876564458,2.08865176592006,47.6591782980621,262.512876564458
4,2.1651620321009,49.4050013582019,272.12909425549,2.1651620321009,49.4050013582019,272.12909425549
5,2.3551382976071,53.7399091000731,296.006322978218,2.3551382976071,53.7399091000731,296.006322978218
6,2.54196733403141,58.0030028830997,319.487991190108,2.54196733403141,58.0030028830997,319.487991190108
7,2.61010932635433,59.5578773790274,328.052439659403,2.61010932635433,59.5578773790274,328.052439659403
8,2.70041105657606,61.6183961938357,339.40204199429,2.70041105657606,61.6183961938357,339.40204199429
9,2.80910965376194,64.0986975578828,353.063860537419,2.80910965376194,64.0986975578828,353.063860537419
10,3.0465324451851,69.5162474496789,382.904421302704,3.0465324451851,69.5162474496789,382.904421302704
11,3.30335545598549,75.3764745409046,415.183304950624,3.30335545598549,75.3764745409046,415.183304950624
12,3.34365333863475,76.295997845628,420.248157438877,3.34365333863475,76.295997845628,420.248157438877
13,3.32808981023304,75.9408668529242,418.292050309441,3.32808981023304,75.9408668529242,418.292050309441
14,3.34216223896805,76.2619737033392,420.060748092265,3.34216223896805,76.2619737033392,420.060748092265
15,3.48034295893951,79.4150026945429,437.428036827196,3.48034295893951,79.4150026945429,437.428036827196
16,3.70395739030495,84.5174712957512,465.533089367254,3.70395739030495,84.5174712957512,465.533089367254
17,3.94469969271124,90.0107663013994,495.790863950173,3.94469969271124,90.0107663013994,495.790863950173
18,4.08996898819826,93.3255435025669,514.049082604441,4.08996898819826,93.3255435025669,514.049082604441
19,4.12402855907866,94.1027200467044,518.329870848922,4.12402855907866,94.1027200467044,518.329870848922
20,4.19930268493943,95.8203366662698,527.790723841752,4.19930268493943,95.8203366662698,527.790723841752
21,4.43452995934972,101.187788912072,557.355340337149,4.43452995934972,101.187788912072,557.355340337149
22,4.605159308938,105.081235741074,578.800945639866,4.605159308938,105.081235741074,578.800945639866
23,4.83163746591314,110.249049275151,607.265926464647,4.83163746591314,110.249049275151,607.265926464647
24,5.12229891926709,116.881407170229,643.797805771363,5.12229891926709,116.881407170229,643.797805771363
25,5.38581018483622,122.894247890844,676.917304895345,5.38581018483622,122.894247890844,676.917304895345
26,5.51016801866629,125.731864133041,692.547259689498,5.51016801866629,125.731864133041,692.547259689498
27,5.40031261026034,123.225166472064,678.740046951903,5.40031261026034,123.225166472064,678.740046951903
28,5.57633578100665,127.24169034458,700.863576421288,5.57633578100665,127.24169034458,700.863576421288
29,5.90584747578776,134.760539043588,742.278360958389,5.90584747578776,134.760539043588,742.278360958389
30,6.10555499373743,139.31749600536,767.37866530971,6.10555499373743,139.31749600536,767.37866530971
31,6.09719131230678,139.126652231862,766.327473288687,6.09719131230678,139.126652231862,766.327473288687
32,6.21645550015556,141.848040874049,781.317231530899,6.21645550015556,141.848040874049,781.317231530899
33,6.39244321729607,145.863755760716,803.436305002304,6.39244321729607,145.863755760716,803.436305002304
34,6.5172982525675,148.712717222126,819.128750721335,6.5172982525675,148.712717222126,819.128750721335
35,6.67874166022395,152.396557810629,839.419817924486,6.67874166022395,152.396557810629,839.419817924486
36,6.91987503595399,157.898776387726,869.726744685303,6.91987503595399,157.898776387726,869.726744685303
37,7.1413080670573,162.951469461137,897.557627223881,7.1413080670573,162.951469461137,897.557627223881
38,7.23632105450791,165.119490470397,909.499365455989,7.23632105450791,165.119490470397,909.499365455989
39,7.42832290325341,169.500618283193,933.631180266999,7.42832290325341,169.500618283193,933.631180266999
40,7.64878028338825,174.531048802252,961.339437796263,7.64878028338825,174.531048802252,961.339437796263
41,7.81260850802216,178.269306512552,981.930241496922,7.81260850802216,178.269306512552,981.930241496922
42,7.96202604943717,181.678739029426,1000.70983378993,7.96202604943717,181.678739029426,1000.70983378993
43,8.11058873558664,185.068665326938,1019.38198332083,8.11058873558664,185.068665326938,1019.38198332083
44,8.27217634590611,188.755796354059,1039.69117468258,8.27217634590611,188.755796354059,1039.69117468258
45,8.42386295480257,192.217004802868,1058.75595546004,8.42386295480257,192.217004802868,1058.75595546004
46,8.5767622660871,195.705884881904,1077.9731551316,8.5767622660871,195.705884881904,1077.9731551316
47,8.73290932878191,199.268872653785,1097.59854949553,8.73290932878191,199.268872653785,1097.59854949553
48,8.87277037561389,202.460243602586,1115.17703065847,8.87277037561389,202.460243602586,1115.17703065847
