"day","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","weight"
1,0.228215838697849,0.0504477117121561,0.371551400546673,1.4522826098954,1.6051544635686,3.36318078081041,2.16247947604865
2,0.224105294336807,0.0495390650639258,0.364859145867644,1.42612460032514,1.57624297930673,3.30260433759505,2.30410919821772
3,0.24550526300054,0.0542695844527509,0.399699796604387,1.56230621909434,1.7267595053148,3.61797229685006,2.44538153033813
4,0.259065609608344,0.0572671347555287,0.421776992485163,1.64859933387128,1.82213610585773,3.81780898370191,2.5908716440631
5,0.268663719992286,0.0593888223140843,0.437403389741827,1.70967821813273,1.88964434635723,3.95925482093895,2.74621945213497
6,0.275280657170758,0.0608515136903781,0.448176227814848,1.75178600017755,1.93618452651203,4.05676757935854,2.90760435587324
7,0.286626360916215,0.0633595113604264,0.466647829702188,1.82398593310318,2.0159844523772,4.22396742402842,3.07281578553666
8,0.301506663218402,0.0666488413430151,0.490874006081889,1.91867876593528,2.12064495182321,4.44325608953434,3.24231681069715
9,0.318271171473936,0.070354680010028,0.518167801978618,2.02536200028868,2.23855800031907,4.69031200066853,3.41858851781249
10,0.324872206834129,0.0718138562475443,0.528914750775564,2.06736858894446,2.28498633514914,4.78759041650295,3.60318682252088
11,0.333682698989263,0.0737614387239423,0.543258850284273,2.1234353572044,2.34695486848907,4.91742924826282,3.79356890521624
12,0.336774901922734,0.0744449783197624,0.548293173656662,2.14311301223558,2.3687038556288,4.96299855465082,3.98725216948714
13,0.343978044582044,0.0760372519602413,0.560020395389713,2.18895119279482,2.41936710782586,5.06915013068275,4.1832268583635
14,0.372378111257506,0.0823151614358697,0.6062576969245,2.3696788898205,2.6191187729595,5.48767742905801,4.38096619694422
15,0.379630221653727,0.0839182595234556,0.618064641569577,2.41582868325099,2.67012643938268,5.59455063489704,4.58787598771863
16,0.372978141470118,0.0824477996933945,0.607234588218016,2.37349726390075,2.62333908115346,5.49651997955964,4.80393129184556
17,0.368126307766893,0.0813752890853132,0.599335462469608,2.34262195851658,2.58921374362359,5.42501927235419,5.018925164281
18,0.390195012368433,0.086253634313022,0.63526486224194,2.4830591696173,2.7444338190507,5.75024228753479,5.22929664250263
19,0.412644231186091,0.091216093209557,0.671813765860864,2.62591783482057,2.9023302384859,6.08107288063712,5.4433282539797
20,0.421512367616884,0.0931764181047849,0.686251714295558,2.68235143028926,2.96470421242497,6.21176120698566,5.66890159453745
21,0.414922856425419,0.0917197893150927,0.675523527654015,2.64041817725268,2.91835693275296,6.1146526210062,5.90214767215461
22,0.421967775325523,0.093277087177221,0.686993150003659,2.68524947934424,2.96790731927522,6.21847247848141,6.13481991201101
23,0.456178474971852,0.100839452362199,0.742690569778735,2.90295393163907,3.20852802970634,6.72263015747995,6.36629814552654
24,0.464745550927608,0.102733227047155,0.756638370633017,2.95747168772115,3.26878449695495,6.84888180314371,6.60810897699276
25,0.44259468510798,0.0978367198659745,0.720575206631939,2.81651163250532,3.11298654119009,6.52244799106495,6.86062074738058
26,0.455165795174049,0.100615596827948,0.741041856002662,2.89650960565304,3.20140535361652,6.70770645519651,7.10819977536272
27,0.486114019463866,0.107456783249907,0.791427736951697,3.0934528511337,3.41907946704251,7.16378554999382,7.35169866331875
