"w_faeces","w_feed"
13.7265624345964,10.1380187034685
14.2428582057732,8.32438971858259
14.3853738496515,8.12135005494016
14.3800803416675,7.89593684511234
14.5805179965278,8.61225247631222
14.8705712035019,8.83699538831256
15.1677132221378,9.03278259230784
15.7801682305422,10.5226503690465
16.2154291629759,9.66748312441145
16.8903297008209,11.4329747328593
18.6182760022544,17.6898026340924
19.2931837488373,10.4698762067155
18.9953888236112,10.3010647472249
18.95229650546,10.8762777363084
19.3482487321639,12.2064960976583
20.0021456699899,13.0967176461151
21.2948639993392,16.5149652552943
21.8225930066789,12.6701626546737
22.298181961574,14.3943940367364
23.1799941701025,15.8564169864463
24.6950281401376,19.1830794007703
26.3448722181327,19.3156016142383
27.1536374325943,17.0799192440659
29.1133738533149,25.2749773316906
31.9412202362996,26.7067317476484
32.346293731266,18.0583941608461
31.8970179084574,18.4968631002871
32.565360180286,22.1736657479624
34.1926226276943,25.5158897392756
35.2246075231198,22.9423456589771
34.693666525123,19.4157592238556
34.8732638070454,22.8150181823842
35.2204288018986,22.3864473457147
35.2648669523373,21.8860376917453
35.2877860181515,22.1300279936659
37.5370549096705,33.7361773603834
41.0328931393014,35.387637523087
40.7628843055213,21.8981414918343
41.2156907852632,29.1295730779148
42.5947594749664,30.3760402906367
43.3447303369056,28.6978870486693
44.9967920768057,34.3306603069307
46.0553994380941,30.721679073431
46.9783352197593,32.762965756124
48.518663043601,35.5146861957295
49.4119840250816,33.1817721825942
49.3412107906159,31.4009340280631
51.781578599282,45.0511174520886
53.9926110713355,37.9256486016034
53.8401651886717,33.8618497600704
53.9034852383334,36.1348549420169
56.7949594419511,50.5137998560873
59.4461799634898,42.7434924738267
59.4217894312747,37.9637796764688
60.8462330189555,46.3289187430961
63.0068093350195,47.1024068141908
65.0048967930353,48.2327065393594
66.1819317012261,46.1112804776597
67.3488106302989,48.3309503864437
69.2086756191547,51.896173612619
69.9845898888137,47.4122846284449
71.8010575643713,55.3243147852867
73.8874750657011,54.4292959786602
76.53083234863,60.2500474638554
77.4123401035603,52.0332747380332
77.7812455475693,54.3445791160158
79.5197012260416,60.2301706390708
81.4128883543851,59.8567595597329
82.5682404807332,58.7126741627136
82.9059650274908,57.0066876834224
84.2962757884709,63.1711843432579
85.7943382558615,62.1597078561997
86.7815394436013,61.993427028576
87.7334313580766,63.0984259175811
88.5883907147402,63.2689872890439
89.4910326058398,64.4575324140461
90.7389124276541,66.6216926647528
91.9262509449084,66.7178369422688
93.0945859334952,67.9955601735238
94.3542307828705,69.188010562489
95.4842440242572,69.459291023315
96.5442391396334,70.3463213893428
97.2272707210127,69.4228148708212
97.5258665989444,68.9631376954166
97.9382861155602,70.1774899763316
99.0958004783243,73.7078827321261
100.262753473967,73.3610211425929
101.414809236471,74.8578744261997
102.587409076398,75.583153631382
104.070180421118,78.1100928846167
105.827140112571,79.9367569690842
107.156907505357,78.9485869939942
108.099248678973,79.1575638445311
108.484290562424,77.5869487045708
106.141455163406,68.2695536027997
106.212713163041,79.7430098077407
109.360833129393,90.3705340863991
112.293234195468,86.4543932110841
113.686647177522,83.9846785601092
114.111546689997,82.2326525898582
114.81117766385,85.0116192767592
110.782699510315,67.0937734372938
110.349120494833,84.064152785233
