"faeces_c1","faeces_l1","faeces_p1","feed_c1","feed_l1","feed_p1"
7.20720280868033,1.59317114718197,11.7338319411497,7.04494910372385,6.37400157003587,14.7608457411357
7.36699505451402,1.62849364362942,11.9939849308579,6.26244517685104,5.66602182667476,13.1213137038784
7.42940427621896,1.64228936632209,12.0955915233881,6.56689063917642,5.94147248306438,13.7591994344649
7.54432397208722,1.66769266751402,12.2826888528017,6.88808668648241,6.23207843062694,14.4321816288203
7.93836651619293,1.75479680884265,12.9242177667141,10.6924529565351,9.67412410353172,22.4032347660735
8.7487602944945,1.93393648615142,14.2435957075279,10.6526339047519,9.63809734239458,22.3198043718611
9.0680029066816,2.00450590568751,14.7633450831588,7.07864925272441,6.40449218103637,14.8314555771369
9.11137663897944,2.01409378335335,14.8339605631104,9.02321901835632,8.16386482613191,18.9057922289371
9.40335674437594,2.07863675401995,15.3093246645278,9.34035549804495,8.45079783156448,19.5702686625704
9.89457557047189,2.18722196820958,16.1090633849086,12.577202439257,11.3793736355182,26.3522336822527
10.2121414689122,2.25742074575954,16.6260829528957,7.60096969275502,6.87706781725455,15.9258412610105
10.1533263158443,2.24441950139716,16.5303277563219,9.96633773350785,9.01716271126901,20.8818504892545
10.4108882537265,2.3013542455606,16.9496566657162,10.2728559459075,9.29448871296396,21.5240791247586
10.6539052429066,2.35507379053724,17.3453053779251,10.3520238034277,9.36611677452983,21.6899546357533
10.9476216595359,2.4200005773711,17.8234963158761,11.4593394895542,10.3679738238824,24.0100446447802
11.4894463380619,2.53977234841369,18.7056249153008,14.0735756677452,12.7332351279599,29.4874918752756
12.1825460782175,2.69298386992177,19.8340399308524,12.8758430694232,11.6495723009067,26.9779569073629
12.5483597494717,2.77384794462006,20.429610258789,12.3848017244058,11.2052967982719,25.9491083749454
12.7715646371502,2.82318797242267,20.7930034794305,12.3660583717281,11.1883385268016,25.9098365883827
12.9791080036712,2.86906597975889,21.1308986445734,12.8157330342056,11.5951870309479,26.8520120716689
13.5322755863612,2.99134512961668,22.0314942879704,18.1400561288136,16.4124317355932,38.0077366508475
14.2589897785563,3.15198721420719,23.2146359903514,12.9235520728446,11.6927375897166,27.0779186288174
14.3677585161416,3.17603082988393,23.391719128034,14.5594915119557,13.1728732727218,30.5056012631453
14.9971392022782,3.31515708681939,24.4163950521301,20.3167053872554,18.3817810646596,42.5683350971065
16.0645831483324,3.55111838015769,26.1542687046535,17.3163972806762,15.6672165872784,36.2819752547501
