"faeces_c1","faeces_l1","faeces_p1","feed_c1","feed_l1","feed_p1"
8.30784691742205,2.59620216169439,15.5772129701664,5.29716691451238,4.23773353160991,10.5943338290248
8.40543990475421,2.62669997023569,15.7601998214142,4.6089406153887,3.68715249231096,9.21788123077739
8.44789317642289,2.63996661763216,15.8397997057929,4.82810204036325,3.8624816322906,9.65620408072651
8.56016159923963,2.67505049976239,16.0503029985743,5.07432158814111,4.05945727051289,10.1486431762822
9.15035048269524,2.85948452584227,17.1569071550536,9.2079564998994,7.36636519991952,18.4159129997988
10.2656999105955,3.20803122206111,19.2481873323667,9.01573188500364,7.21258550800291,18.0314637700073
10.4416486193918,3.26301519355994,19.5780911613596,5.27757573712403,4.22206058969922,10.5551514742481
10.5587876617043,3.29962114428259,19.7977268656955,6.96526262613659,5.57221010090927,13.9305252522732
10.9095574630911,3.40923670721596,20.4554202432957,7.24607379563589,5.79685903650871,14.4921475912718
11.6511353444523,3.64097979514135,21.8458787708481,11.2029493363089,8.96235946904709,22.4058986726177
11.7577925044731,3.67431015764783,22.045860945887,5.68572416488913,4.5485793319113,11.3714483297783
11.7557384073741,3.67366825230441,22.0420095138264,7.74807093004972,6.19845674403978,15.4961418600994
12.0532157594872,3.76662992483976,22.5997795490386,8.01866800396628,6.41493440317303,16.0373360079326
12.3165446396127,3.84892019987896,23.0935211992738,8.04727248924358,6.43781799139487,16.0945449784872
12.7076959272529,3.97115497726653,23.8269298635992,9.19145010200487,7.3531600816039,18.3829002040097
13.5129935710143,4.22281049094198,25.3368629456519,12.4979058931256,9.99832471450046,24.9958117862511
14.4862163206541,4.52694260020441,27.1616556012264,10.7514319435335,8.60114555482681,21.502863887067
14.9221998267425,4.66318744585705,27.9791246751423,10.0376228250534,8.03009826004272,20.0752456501068
15.1354365270061,4.7298239146894,28.3789434881364,9.95022090786769,7.96017672629416,19.9004418157354
15.3569433201602,4.79904478755005,28.7942687253003,10.3803404253075,8.30427234024604,20.7606808506151
16.2603756367186,5.08136738647456,30.4882043188473,18.7470669288925,14.997653543114,37.4941338577851
17.2541592414266,5.39192476294583,32.351548577675,10.3228687054761,8.2582949643809,20.6457374109523
17.3698347425595,5.42807335704985,32.568440142299,12.2647837328416,9.81182698627327,24.5295674656832
18.455450767945,5.76732836498281,34.6039701898968,23.6130128464896,18.8904102771917,47.2260256929792
20.6939330899036,6.4668540905949,38.8011245435694,17.0896254317676,13.6717003454141,34.1792508635353
21.2053605518836,6.62667517246363,39.7600510347817,14.0332799801717,11.2266239841373,28.0665599603434
21.1537409304179,6.61054404075559,39.6632642445335,13.8716884319289,11.0973507455431,27.7433768638578
21.8964383161647,6.84263697380147,41.0558218428088,20.7147475983612,16.571798078689,41.4294951967224
23.187204434527,7.24600138578969,43.4760083147381,18.176266331661,14.5410130653288,36.3525326633221
23.8292902735629,7.4466532104884,44.6799192629304,17.7484196568512,14.198735725481,35.4968393137024
23.4065843585954,7.31455761206107,43.8873456723664,13.7291009914423,10.9832807931539,27.4582019828847
23.3450035146424,7.29531359832577,43.7718815899546,17.7053385474023,14.1642708379218,35.4106770948046
23.6200277161381,7.38125866129318,44.287551967759,16.6322253457332,13.3057802765866,33.2644506914665
23.9037332413231,7.46991663791347,44.8194998274808,18.209859608102,14.5678876864816,36.419719216204
24.295968437067,7.59249013658345,45.5549408195007,18.1111109519155,14.4888887615324,36.2222219038309
