"w_faeces","w_feed"
85.7168042545449,57.1498663738325
88.9164437102982,65.6171122949343
91.5026789795108,61.0280626401978
91.7682377904894,56.1485174641369
92.5484480631779,60.9588811143753
96.8514596793106,81.1888396803197
102.388846444642,78.6460734193137
105.702576757827,73.1133642584734
103.100901019651,56.2580562086847
108.436228012693,126.127787337123
119.834124219038,102.819704346096
125.706390310261,94.8107087334879
129.092319369985,92.0285288484245
131.241118222704,91.4252939132425
135.522272851448,109.932855603502
136.264234242205,84.7215758993343
136.646809863607,97.0733420395818
139.51223998692,105.471225340878
140.785352424074,95.7826681463744
142.440449183886,105.966144309627
149.366451984841,151.521096502509
158.522462323238,127.812179117333
164.743458800734,139.176329082036
167.471672991956,117.137518139715
173.116888799509,166.283724324498
182.48135667295,154.22078567022
189.794493500858,163.133639213654
197.245661849873,167.832085040522
208.090269694604,223.645004738083
220.730397910916,184.264820706165
222.362160146587,158.454790336475
217.691930605038,144.599371773904
222.53227726064,226.240566837512
231.725040189423,184.324332924216
232.681335130489,173.8977876239
232.387761070335,175.796489474621
240.188218691583,261.350061653819
254.616936698934,231.924518668204
254.946168207747,177.469349898143
253.388603562816,200.984276385934
255.743948792458,210.60966460487
260.51322813063,228.073746580924
264.789137271918,216.747166879241
272.434865649146,275.442649277809
290.670447445324,376.094850568782
308.804514286932,249.41585712657
310.352922237065,256.39809800144
315.508481975916,286.80363952697
320.924777502302,269.273429511333
322.554668314702,264.87062826446
322.688645052411,261.700920972442
323.510525568969,271.836893374628
330.367404537857,325.815633900174
340.310882763423,307.254106220278
347.712949696527,322.148793119154
356.999560675028,341.035198209433
363.040224981994,308.261959685914
364.530738484672,311.858018230055
364.123282557991,297.861376104903
370.791078253051,387.727294003444
384.311236519641,362.75614941096
389.809827658559,338.850060384841
393.133741391311,354.116199795134
401.050408069703,392.508924200819
407.797306516875,355.863517182836
412.559236074687,388.28900643817
420.493298054569,395.295749822273
427.617085565137,396.48227814432
431.490851675803,380.17644609277
434.969050379954,401.478053003254
440.571195061273,407.929941430832
446.420650258979,415.753033960234
451.908476981553,416.84033212674
455.17103234419,407.153465692549
459.256290177501,432.333334742284
466.754441345144,448.712351782877
472.914823190441,434.166379705064
478.231171985449,454.281228188058
484.596563073397,455.042120931504
490.08863567315,459.512215216269
495.344967773777,464.649758100345
500.312136997185,468.154529751737
505.222609754295,475.063058355618
510.515913640118,482.540827403735
515.530744739173,483.786612949492
520.084349491325,489.24853133716
525.456713301113,501.755910340143
531.023305287681,502.451978016724
535.003800382917,499.055525474075
539.992447548674,521.546794708337
544.580085413969,505.810277890381
548.512860164265,525.552064511274
555.057249970738,539.888277920031
560.969427313606,532.416963089044
565.887721556558,543.445554013548
571.572039870887,550.44369215824
577.019370028844,553.270073602399
581.708608498588,555.223321038867
586.74936243661,567.155866911324
592.082864072784,568.796218731535
597.084977232728,575.671142077779
599.714517696857,558.434553193321
601.566683287009,574.338220583939
606.367488052226,591.39326832594
609.989022893777,573.980165282872
612.43876049011,588.392211764796
614.115683990932,573.688435689887
620.77568357658,644.781482298471
633.887977931809,645.175858256934
641.02273308438,612.133148053823
644.080257413775,622.010578745631
649.498020141993,642.355363224219
656.494090914717,648.443832810782
662.614131203657,648.498767821892
665.248235592886,629.276765828763
664.327162106763,622.406764288878
666.887919733416,661.305607279773
671.099113538738,643.477987721392
669.838872847884,621.499277717059
669.742347177432,651.399680765055
668.805266529519,617.385444579725
670.241475737207,672.069598381441
674.148580122147,643.751981752813
679.695471092526,699.121186935635
687.145013793452,670.279339019257
684.275266141722,622.849939728284
689.302097780992,746.629620736818
696.490979814077,645.601487092815
704.235673196423,780.759115357881
705.468937663773,602.608440468953
701.025845798784,715.137396437028
714.500736975599,771.637190849124
724.70381826617,701.404044399907
731.028316594036,760.211981370536
741.123594349981,747.750805934053
752.470687493049,798.344718890044
764.433628087754,771.283956129933
770.306007460046,764.864426408968
776.934102497955,792.46836770009
783.613999310099,778.166029427813
786.249038494658,768.206990081082
787.616764147412,772.699303024068
790.221230598429,784.306845700098
795.407968216867,804.278996013693
801.393871800388,802.719148185144
805.385223816639,797.911705783134
806.025498644468,780.685269110822
808.351667928617,816.876014120149
806.330001863533,749.47886761605
803.115999878037,798.203472394133
803.418165180964,778.005277905346
799.227661690116,759.508819399954
804.217781556196,862.128555033333
817.448036284102,842.845824564785
828.401538982764,869.560566553302
833.960617917263,811.592292499647
840.392267114974,895.192816634861
855.701613182855,908.526913992058
862.955705930601,845.51482314215
867.383969335271,899.601569948454
874.631385266035,880.357207444258
880.104045386468,899.18123719746
886.139397646086,897.14803552923
892.122420573051,912.352851488415
900.068822143872,929.204981944686
903.708079796726,886.945102098706
888.515400522847,781.701016997331
876.451375189488,865.557423438958
887.70924951635,996.104583713703
900.313303101811,884.877022004468
891.590261550218,828.518690295842
887.836938430501,909.20733602518
887.521139647693,855.724638549974
895.326540654908,998.943052406339
914.633264749744,969.881081926103
924.215378361202,943.76730757987
928.558608513292,940.101186377608
933.150865979625,956.556587800406
945.542130802706,1032.01412086599
