"","V1","V2"
"1",7597.78080168655,1459.10075623073
"2",7855.07415782853,1479.59903847327
"3",7944.23944490939,1467.71333930265
"4",8075.43255462004,1464.75241922008
"5",8245.2970772214,1471.22962805895
"6",8940.46448625744,1569.94891238739
"7",9570.54335384378,1648.4999543618
"8",9489.59683861686,1602.27421137415
"9",9794.42375179538,1624.4288122579
"10",10110.6032271331,1649.27746989787
"11",10906.417037689,1746.38280066132
"12",10661.2807305287,1674.21919642244
"13",10952.2093650065,1691.30453494693
"14",11252.6954287041,1709.27358108534
"15",11521.5919274534,1722.62962504178
"16",11948.3111804562,1760.7180546802
"17",12768.2134960116,1854.11422765456
"18",13282.2524967151,1898.20747510001
"19",13610.9327295441,1913.88232495178
"20",13878.627133492,1921.19892465522
"21",14200.7185508576,1939.9843404265
"22",15575.2210972242,2097.97512149393
"23",15563.8949022038,2063.49722359125
"24",15986.0396213037,2093.99620009736
"25",17850.3651530216,2310.6040575225
"26",18795.1373704005,2397.65709076106
"27",19003.1328526773,2387.05286779978
"28",19161.6674548181,2376.89783164904
"29",20546.1249129292,2520.05579630231
"30",21350.1988618593,2586.9491349837
"31",21942.5078537895,2622.22861663495
"32",21438.6667135612,2529.34244093291
"33",22024.1845060387,2571.20485886551
"34",22310.9803748639,2578.829661934
"35",22877.9757716876,2620.36398203397
"36",23348.9880110051,2652.76243978675
"37",24322.3652460924,2743.70548023483
"38",25277.6885150996,2829.91795399963
"39",25697.2381926094,2854.73455216552
"40",26248.1004126451,2899.5908910997
"41",28193.7125429288,3101.19162412097
"42",30240.3883026186,3302.65245896895
"43",29240.674285347,3162.15984700379
"44",28629.6597235197,3076.14111783889
"45",29656.9519755379,3175.34317654587
"46",31285.914716221,3333.60379375866
"47",30892.9059342379,3273.72275669845
"48",31587.7644423359,3337.98746760947
"49",33418.5579863429,3523.61457450828
"50",34660.3933443467,3642.91571861443
"51",35177.532659657,3686.10131240928
"52",36317.8761291815,3797.80931711267
"53",37785.1416284093,3944.6052507135
"54",39267.2611570064,4091.42018097136
"55",40143.8625078731,4179.51463340691
"56",43912.1867273189,4571.05197815211
"57",46691.2400696079,4854.81001317031
"58",48225.9741930886,5007.7501098944
"59",49953.2485770013,5181.43384022459
"60",52789.5766278733,5469.71691851439
"61",52554.5811915877,5439.42998173953
"62",52643.4422091716,5444.66223696929
"63",54373.774470051,5620.26915487478
"64",54245.9222834245,5604.38055670235
"65",55568.9120517425,5739.92313396712
"66",56204.5835675362,5805.46248548179
"67",57715.5217501185,5961.86556691815
"68",58041.0580474724,5995.97719777552
"69",58989.1338813078,6096.26372529352
"70",60320.9540633743,6238.44767123928
"71",63013.9594133755,6522.47538995892
"72",66777.6649087845,6916.47427652644
"73",65486.4481421065,6786.36285846789
"74",65495.2063720276,6792.12873217013
"75",66661.4278918584,6920.56831950476
"76",70009.8973509959,7275.83456718544
"77",69947.5389468768,7275.56361668162
"78",69961.4500312496,7284.0871147142
"79",71050.3039904486,7406.28728867239
"80",72662.4540534396,7584.76651917821
"81",75777.3865956869,7920.71696649642
"82",77214.3004195599,8081.18390894771
"83",77630.1151948392,8133.90315948503
"84",76779.3879037909,8054.05339466903
"85",77757.9351678343,8154.64187009349
"86",71585.5084276862,7488.01395098291
"87",67164.5186874752,7013.5635500686
"88",65834.4818870537,6882.48315913208
"89",68593.7473953951,7191.51903296512
"90",73180.7458136078,7697.56739757697
"91",79315.9089413005,8365.34793102343
"92",81962.0604223686,8659.73685020607
"93",83135.4812523577,8801.165421113
"94",88333.7936300655,9368.29029037458
"95",87804.1988592651,9326.19465785577
"96",90192.4209778586,9597.1258127584
"97",93029.0226490148,9902.9944903248
"98",85299.9684054673,9074.04843659131
"99",83426.9798504477,8880.89322331567
"100",83887.2086093633,8946.92347038108
"101",87615.5024400404,9366.82662505049
"102",90985.29238411,9742.27526877435
"103",90071.2314683051,9652.24256860629
"104",89503.8455064015,9599.95347739017
"105",89234.2402401795,9589.78214673811
"106",94615.4502330196,10194.3408534456
"107",99044.9484209165,10689.3894677506
"108",97954.1106245701,10573.7699577435
"109",93712.0631005715,10109.2597956721
"110",90208.1308422528,9748.28440487076
"111",98857.586231507,10712.5165904639
"112",101606.282112794,11033.4748919942
"113",105894.306893449,11515.2475376216
"114",103331.566349432,11247.7258380798
"115",104476.702460021,11396.9671074468
"116",112582.153427184,12310.6061467197
"117",122193.818605799,13384.9321489636
"118",124591.440540374,13668.4178324591
"119",121784.430359335,13380.9389983954
"120",125176.377966299,13773.9643765066
"121",131965.866315263,14536.8854013269
"122",138015.785711362,15221.8369172274
"123",139211.496123184,15377.8837173887
"124",140305.838022184,15521.5223365744
"125",142697.133876981,15805.5011753282
"126",146188.535726458,16212.0607213112
"127",148281.978297724,16465.4729739637
"128",150809.856718054,16755.9591546894
"129",157460.816370479,17500.8412041047
"130",160656.484542234,17882.3030956443
"131",159815.070488205,17831.7406359805
"132",153830.171675938,17194.9440124792
"133",158480.680929012,17719.6655357774
"134",165501.534439051,18521.2135200334
"135",164752.510421793,18466.7927245253
"136",166763.724244219,18731.0684854416
"137",159427.175216498,17943.4614337774
"138",161354.968322156,18175.4504422717
"139",168204.043802573,18969.4022169596
"140",165866.136835943,18732.6647583853
"141",170043.733713143,19224.6055341919
"142",171928.540870651,19462.583000532
"143",173578.562141914,19671.9206726408
"144",176566.979094124,20028.6187039604
"145",180124.97743333,20450.4278213539
"146",182816.953498285,20780.1666448103
"147",184026.2770698,20955.0289952448
"148",180197.346208812,20551.0614406115
"149",183661.391109402,20964.509001969
"150",186877.285510736,21359.9599726523
"151",185638.464709122,21242.528450031
"152",190593.837585601,21826.650566329
"153",192676.462254633,22093.2002594897
"154",193007.542183369,22162.9484981803
"155",193329.001964981,22225.0090103399
"156",196615.778475978,22639.7993308008
"157",189816.352594312,21902.0830969738
"158",182995.249642339,21145.3492349074
"159",186835.827854106,21608.7598406309
"160",192176.031820355,22250.8996638973
"161",191265.41302101,22175.6660477822
"162",190510.605409001,22113.9668291939
"163",193935.647434419,22540.2239290064
"164",187761.940983372,21851.1118456479
"165",188924.222894811,22011.5126121045
"166",185339.009731189,21617.8729165818
"167",188302.732654624,21987.6682964595
"168",190145.704226719,22227.0178294162
"169",191605.239178262,22421.1046230411
"170",197465.142613026,23131.3971515487
"171",194234.759569228,22777.2809592984
"172",199282.808760468,23393.6947527085
"173",198868.68500423,23369.5597793817
"174",202022.201500018,23763.8251233708
"175",206088.516928591,24265.4372337807
"176",209814.812927506,24730.4416113126
"177",205027.436124942,24191.3035876229
"178",199528.035225742,23546.6940232828
"179",181261.486144565,21393.8203098152
"180",183662.874265042,21695.0391284621
"181",182063.008114432,21518.8940039867
"182",180894.647096841,21405.5622722835
"183",190536.589407421,22569.7638831974
"184",186624.983537151,22118.7772582486
"185",186824.218786854,22163.2004386674
"186",190364.58746535,22609.7524564057
"187",196027.165597403,23304.0895028403
"188",194390.09385387,23124.7244296742
"189",194190.472622872,23120.0301799359
"190",196237.990333826,23387.3401498348
"191",200261.266461454,23889.1296281537
"192",198764.137295232,23731.0392464256
"193",198570.111655801,23731.0144831797
"194",199730.522010052,23892.973090707
"195",202479.122704536,24245.4410510247
"196",206133.757241576,24703.5731697173
"197",205605.353411725,24652.6387684306
"198",202571.065410359,24307.4762870207
"199",208120.887889284,24996.6812118354
"200",208521.935580803,25055.472342488
"201",203483.161891139,24466.2002876372
"202",209145.074979232,25172.4842408823
"203",211828.576271248,25517.9368388863
"204",214513.96708913,25857.0101923522
"205",211039.477987957,25451.588149376
"206",212203.610448074,25608.3557861988
"207",211452.178807256,25532.4960914655
"208",211571.286528518,25562.611033797
"209",211728.156007773,25596.6329440022
"210",211487.236733159,25583.9525582129
"211",212860.31977209,25767.1096550209
"212",213115.593739829,25814.8295076251
"213",214372.279911506,25974.246346761
"214",208052.27638423,25208.7066282605
"215",205135.660392293,24860.7674802976
"216",202979.270674958,24621.2431494501
"217",212768.145913056,25836.4319672822
"218",214490.610187628,26062.428944615
"219",214864.680004632,26122.7943316196
"220",215224.066687031,26179.6888855462
"221",214467.108114464,26101.1458330627
"222",215208.949479925,26207.91599226
"223",217398.374479203,26491.0341104932
"224",219766.262308762,26793.9032143692
"225",221726.248282987,27045.336728804
"226",220941.733617708,26960.3081924205
"227",219527.410825536,26802.142353118
"228",221652.247582852,27078.5494294556
"229",222074.733642357,27144.9813266807
"230",222631.731853447,27227.0491565249
"231",222510.814380484,27226.27160152
"232",223175.723022781,27320.3837953123
"233",222231.606823785,27217.5211144294
"234",222990.140659642,27320.4452562059
"235",220309.741202116,26999.331801414
"236",219408.231250311,26900.3654500258
"237",219786.086892795,26962.6099875886
"238",222087.114580261,27257.9727592309
"239",220406.101595408,27059.9158831017
"240",219496.108143139,26959.2245716068
"241",219838.217352518,27015.1208763651
"242",220975.355382121,27168.6159548929
"243",221230.197892085,27210.6557322597
"244",220290.086000701,27104.7773009226
"245",219998.668486602,27080.233807878
"246",220228.479913633,27125.7691319342
"247",224464.156671603,27666.2043837645
"248",225578.684067772,27805.0941831761
"249",217994.066183961,26870.8714085302
"250",218681.942695551,26968.279922197
"251",219239.703018348,27049.8401027212
"252",220059.632899162,27161.8103488387
"253",219226.488836731,27067.337872528
"254",215565.130533449,26627.3428936157
"255",217033.957072036,26821.5682555066
"256",216804.566450749,26793.0364877518
"257",210261.665971277,25982.4147717831
"258",208912.461838733,25821.0602018141
"259",207430.457246977,25646.4647536262
"260",208434.291176982,25781.7289990177
"261",208817.239591081,25838.071785942
"262",208245.981314879,25775.9948642073
"263",208415.674051685,25803.1463973885
"264",206155.715117324,25527.1126156347
"265",204744.054700739,25356.1094643737
"266",202614.711359143,25104.0079035772
"267",207428.4576189,25716.7526900832
"268",208993.919532723,25920.1392609713
"269",207765.757170089,25774.3560000981
"270",207341.088033609,25731.7573654169
"271",208829.033043135,25925.3185773984
"272",207487.710635499,25759.1148196047
"273",202909.33776962,25194.0882524412
"274",203879.731738055,25328.7007838736
"275",207977.497488166,25843.3117667472
"276",202074.991382639,25109.8010298085
"277",201938.02141138,25098.551198539
"278",200347.678011135,24909.8193370723
"279",202866.672924019,25233.6838909209
"280",202592.401477687,25200.4720561035
"281",197617.204121661,24581.9062282967
"282",196957.525912277,24505.4265110093
"283",196054.641211465,24397.3817069521
"284",194438.163860185,24197.1110561792
"285",190980.803499914,23773.0279764564
"286",193879.243429922,24144.60807296
"287",194363.245179542,24214.5965687377
"288",196131.857731791,24436.9359337712
"289",190338.051682099,23722.4532081488
"290",197441.405131586,24618.7478350208
"291",194509.183127152,24255.9785179147
"292",193922.347998971,24187.4626645491
"293",192517.694216643,24017.1106704501
"294",192154.816712689,23980.2870929193
"295",193996.660511698,24221.3873483268
"296",196332.347317502,24521.1229090978
"297",195027.113991296,24360.7101336606
"298",192675.837266127,24071.1796643563
"299",192757.902693932,24086.6550383853
"300",191337.426697299,23915.9309009705
"301",192914.939074388,24122.6444347757
"302",194039.46013354,24269.3621728635
"303",192375.510559574,24066.6182646768
"304",192905.497504654,24137.7333274731
"305",190780.315659678,23877.6338950317
"306",192335.640129702,24081.1187102407
"307",192975.466765351,24167.2827945169
"308",191874.04902304,24031.6689346882
"309",189290.622115668,23715.5666585636
"310",193244.575421108,24221.5587323481
"311",193654.353015091,24282.4873747936
"312",196291.53419275,24619.5079059215
"313",193549.554966088,24284.6364506977
"314",199279.33044154,25014.7702308629
"315",198393.516695203,24901.7461291294
"316",192118.546481516,24117.1194419314
"317",195660.333776199,24573.5542697258
"318",197848.230565443,24857.484794562
"319",198149.051175751,24900.8595924338
"320",196908.781574764,24754.8466905991
"321",201759.517783671,25371.0267640268
"322",197032.984770282,24778.5584548527
"323",197670.469637386,24861.4668504297
"324",193711.681130835,24365.9171878739
"325",194089.748330904,24422.06950952
"326",196116.129672147,24687.9503246842
"327",199005.465280948,25059.8230847272
"328",197856.838206517,24919.2512698709
"329",196826.132242479,24794.8560414823
"330",196976.773662077,24820.957858246
"331",197604.142789703,24909.3963016932
"332",200152.788627661,25240.5537282268
"333",201163.595400923,25375.6152833754
"334",201211.743215253,25389.0327117394
"335",201980.63122667,25489.6872669188
"336",198644.570375026,25069.2883699196
"337",196765.664725922,24837.5014173385
"338",197854.764002025,24987.103043519
"339",203795.950071815,25747.1142455424
"340",201651.854509516,25485.4747020464
"341",207103.291714627,26186.6416436952
"342",207790.050545091,26280.1635630793
"343",207099.467560497,26195.4446719395
"344",204182.011861334,25829.0892250212
"345",203605.430962606,25761.8625740815
