"","x"
"1",2725987
"2",2725985.9096052
"3",2725984.81921084
"4",2725983.72881691
"5",2725982.63842342
"6",2725981.54803036
"7",2725980.45763774
"8",2725979.36724556
"9",2725978.27685381
"10",2725977.1864625
"11",2725976.09607163
"12",2725975.00568119
"13",2725973.91529119
"14",2725972.82490162
"15",2725971.73451249
"16",2725970.6441238
"17",2725969.55373554
"18",2725968.46334772
"19",2725967.37296033
"20",2725966.28257338
"21",2725965.19218687
"22",2725964.10180079
"23",2725963.01141515
"24",2725961.92102995
"25",2725960.83064518
"26",2725959.74026085
"27",2725958.64987695
"28",2725957.55949349
"29",2725956.46911047
"30",2725955.37872788
"31",2725954.28834573
"32",2725953.19796401
"33",2725952.10758273
"34",2725951.01720189
"35",2725949.92682148
"36",2725948.83644151
"37",2725947.74606198
"38",2725946.65568288
"39",2725945.56530422
"40",2725944.47492599
"41",2725943.3845482
"42",2725942.29417085
"43",2725941.20379393
"44",2725940.11341745
"45",2725939.0230414
"46",2725937.93266579
"47",2725936.84229062
"48",2725935.75191588
"49",2725934.66154158
"50",2725933.57116772
"51",2725932.48079429
"52",2725931.3904213
"53",2725930.30004874
"54",2725929.20967662
"55",2725928.11930494
"56",2725927.02893369
"57",2725925.93856288
"58",2725924.8481925
"59",2725923.75782256
"60",2725922.66745306
"61",2725921.57708399
"62",2725920.48671536
"63",2725919.39634717
"64",2725918.30597941
"65",2725917.21561209
"66",2725916.1252452
"67",2725915.03487875
"68",2725913.94451274
"69",2725912.85414716
"70",2725911.76378202
"71",2725910.67341731
"72",2725909.58305304
"73",2725908.49268921
"74",2725907.40232581
"75",2725906.31196285
"76",2725905.22160033
"77",2725904.13123824
"78",2725903.04087659
"79",2725901.95051537
"80",2725900.86015459
"81",2725899.76979424
"82",2725898.67943434
"83",2725897.58907486
"84",2725896.49871583
"85",2725895.40835723
"86",2725894.31799907
"87",2725893.22764134
"88",2725892.13728405
"89",2725891.04692719
"90",2725889.95657077
"91",2725888.86621479
"92",2725887.77585925
"93",2725886.68550414
"94",2725885.59514946
"95",2725884.50479522
"96",2725883.41444142
"97",2725882.32408806
"98",2725881.23373513
"99",2725880.14338263
"100",2725879.05303057
"101",2725877.96267895
"102",2725876.87232777
"103",2725875.78197702
"104",2725874.69162671
"105",2725873.60127683
"106",2725872.51092739
"107",2725871.42057839
"108",2725870.33022982
"109",2725869.23988169
"110",2725868.14953399
"111",2725867.05918673
"112",2725865.96883991
"113",2725864.87849352
"114",2725863.78814757
"115",2725862.69780205
"116",2725861.60745697
"117",2725860.51711233
"118",2725859.42676812
"119",2725858.33642435
"120",2725857.24608102
"121",2725856.15573812
"122",2725855.06539566
"123",2725853.97505363
"124",2725852.88471204
"125",2725851.79437089
"126",2725850.70403017
"127",2725849.61368989
"128",2725848.52335004
"129",2725847.43301063
"130",2725846.34267166
"131",2725845.25233312
"132",2725844.16199502
"133",2725843.07165736
"134",2725841.98132013
"135",2725840.89098334
"136",2725839.80064698
"137",2725838.71031106
"138",2725837.61997557
"139",2725836.52964053
"140",2725835.43930591
"141",2725834.34897174
"142",2725833.258638
"143",2725832.1683047
"144",2725831.07797183
"145",2725829.9876394
"146",2725828.8973074
"147",2725827.80697584
"148",2725826.71664472
"149",2725825.62631403
"150",2725824.53598378
"151",2725823.44565397
"152",2725822.35532459
"153",2725821.26499565
"154",2725820.17466714
"155",2725819.08433907
"156",2725817.99401144
"157",2725816.90368424
"158",2725815.81335748
"159",2725814.72303115
"160",2725813.63270527
"161",2725812.54237981
"162",2725811.4520548
"163",2725810.36173021
"164",2725809.27140607
"165",2725808.18108236
"166",2725807.09075909
"167",2725806.00043625
"168",2725804.91011385
"169",2725803.81979189
"170",2725802.72947036
"171",2725801.63914927
"172",2725800.54882861
"173",2725799.45850839
"174",2725798.36818861
"175",2725797.27786926
"176",2725796.18755035
"177",2725795.09723188
"178",2725794.00691384
"179",2725792.91659623
"180",2725791.82627907
"181",2725790.73596234
"182",2725789.64564604
"183",2725788.55533019
"184",2725787.46501476
"185",2725786.37469978
"186",2725785.28438523
"187",2725784.19407111
"188",2725783.10375744
"189",2725782.01344419
"190",2725780.92313139
"191",2725779.83281902
"192",2725778.74250709
"193",2725777.65219559
"194",2725776.56188453
"195",2725775.4715739
"196",2725774.38126372
"197",2725773.29095396
"198",2725772.20064465
"199",2725772.20064465
"200",2725771.11033577
"201",2725770.02002732
"202",2725768.92971931
"203",2725767.83941174
"204",2725766.74910461
"205",2725765.65879791
"206",2725764.56849164
"207",2725763.47818582
"208",2725762.38788042
"209",2725761.29757547
"210",2725760.20727095
"211",2725759.11696687
"212",2725758.02666322
"213",2725756.93636001
"214",2725755.84605724
"215",2725754.7557549
"216",2725753.66545299
"217",2725752.57515153
"218",2725751.4848505
"219",2725750.3945499
"220",2725749.30424975
"221",2725748.21395003
"222",2725747.12365074
"223",2725746.03335189
"224",2725744.94305348
"225",2725743.8527555
"226",2725742.76245796
"227",2725741.67216085
"228",2725740.58186418
"229",2725739.49156795
"230",2725738.40127216
"231",2725737.31097679
"232",2725736.22068187
"233",2725735.13038738
"234",2725734.04009333
"235",2725732.94979971
"236",2725731.85950653
"237",2725730.76921379
"238",2725729.67892148
"239",2725728.58862961
"240",2725727.49833818
"241",2725726.40804718
"242",2725725.31775661
"243",2725724.22746649
"244",2725723.13717679
"245",2725722.04688754
"246",2725720.95659872
"247",2725719.86631034
"248",2725718.77602239
"249",2725717.68573488
"250",2725716.59544781
"251",2725715.50516117
"252",2725714.41487497
"253",2725713.3245892
"254",2725712.23430387
"255",2725711.14401898
"256",2725710.05373452
"257",2725708.9634505
"258",2725707.87316691
"259",2725706.78288376
"260",2725705.69260105
"261",2725704.60231877
"262",2725703.51203693
"263",2725702.42175553
"264",2725701.33147456
"265",2725700.24119403
"266",2725699.15091393
"267",2725698.06063427
"268",2725696.97035505
"269",2725695.88007626
"270",2725694.78979791
"271",2725693.69951999
"272",2725692.60924251
"273",2725691.51896547
"274",2725690.42868886
"275",2725689.33841269
"276",2725688.24813695
"277",2725687.15786165
"278",2725686.06758679
"279",2725684.97731236
"280",2725683.88703837
"281",2725682.79676482
"282",2725681.7064917
"283",2725680.61621901
"284",2725679.52594677
"285",2725678.43567496
"286",2725677.34540358
"287",2725676.25513265
"288",2725675.16486214
