"Day","Pexc (g)","Nexc (g)","Cexc (g)","Pwst (g)","Nwst (g)","Cwst (g)"
1,1.98196378068195,45.2247553876999,249.103762437965,1.98196378068195,45.2247553876999,249.103762437965
2,2.08124117952491,47.4900823941577,261.581474602981,2.08124117952491,47.4900823941577,261.581474602981
3,2.1838986446329,49.8325362742347,274.484011495934,2.1838986446329,49.8325362742347,274.484011495934
4,2.2659553919933,51.7049197978163,284.797340478093,2.2659553919933,51.7049197978163,284.797340478093
5,2.44658785018563,55.8266191025414,307.500189739367,2.44658785018563,55.8266191025414,307.500189739367
6,2.65066024766772,60.4831745590358,333.149095394461,2.65066024766772,60.4831745590358,333.149095394461
7,2.7297604869085,62.2880960241203,343.090834691958,2.7297604869085,62.2880960241203,343.090834691958
8,2.81936515648467,64.3327092015537,354.35282673288,2.81936515648467,64.3327092015537,354.35282673288
9,2.93249844956582,66.9142021408644,368.572021472056,2.93249844956582,66.9142021408644,368.572021472056
10,3.16371119090926,72.1900501516583,397.632070073161,3.16371119090926,72.1900501516583,397.632070073161
11,3.45097485651143,78.7448768014986,433.736897321114,3.45097485651143,78.7448768014986,433.736897321114
12,3.50616616510954,80.0042405977523,440.673634894056,3.50616616510954,80.0042405977523,440.673634894056
13,3.48166545076259,79.4451795170379,437.59425464214,3.48166545076259,79.4451795170379,437.59425464214
14,3.4913830358858,79.6669168739159,438.815612489139,3.4913830358858,79.6669168739159,438.815612489139
15,3.61776992946048,82.5508325144726,454.700590317272,3.61776992946048,82.5508325144726,454.700590317272
16,3.83535644181401,87.5157551294892,482.04802189565,3.83535644181401,87.5157551294892,482.04802189565
17,4.08652062829005,93.2468582940593,513.615674367747,4.08652062829005,93.2468582940593,513.615674367747
18,4.25594298024783,97.1127636648743,534.909577780679,4.25594298024783,97.1127636648743,534.909577780679
19,4.29807281107326,98.0740886457726,540.204679271322,4.29807281107326,98.0740886457726,540.204679271322
20,4.37152798047226,99.7502000361075,549.436916129614,4.37152798047226,99.7502000361075,549.436916129614
21,4.60022714159278,104.9686927855,578.181044582822,4.60022714159278,104.9686927855,578.181044582822
22,4.79946126642136,109.514847789985,603.221850365739,4.79946126642136,109.514847789985,603.221850365739
23,5.02197575474168,114.592217721056,631.188656206399,5.02197575474168,114.592217721056,631.188656206399
24,5.32847419289735,121.585946379171,669.711012099132,5.32847419289735,121.585946379171,669.711012099132
25,5.5977435723038,127.73017662987,703.554221633669,5.5977435723038,127.73017662987,703.554221633669
26,5.74059576529141,130.989800013218,721.508645974099,5.74059576529141,130.989800013218,721.508645974099
27,5.64068173304323,128.70994620748,708.950918332475,5.64068173304323,128.70994620748,708.950918332475
28,5.79086066730951,132.136752303927,727.826206533645,5.79086066730951,132.136752303927,727.826206533645
29,6.13707598898205,140.036746938908,771.340391849698,6.13707598898205,140.036746938908,771.340391849698
30,6.3506939700923,144.911114995625,798.189037287939,6.3506939700923,144.911114995625,798.189037287939
31,6.35583395668976,145.028400002966,798.835058175298,6.35583395668976,145.028400002966,798.835058175298
32,6.45960114637905,147.396175749782,811.877071163205,6.45960114637905,147.396175749782,811.877071163205
33,6.6468401910094,151.668625163323,835.410271389831,6.6468401910094,151.668625163323,835.410271389831
34,6.77776521921933,154.656092660274,851.865626145694,6.77776521921933,154.656092660274,851.865626145694
35,6.93879779438612,158.330558809632,872.105057733752,6.93879779438612,158.330558809632,872.105057733752
36,7.18133890942497,163.864899399508,902.588916667484,7.18133890942497,163.864899399508,902.588916667484
37,7.41584916246363,169.215990541008,932.063414098568,7.41584916246363,169.215990541008,932.063414098568
38,7.51970854080758,171.585869862772,945.117013847522,7.51970854080758,171.585869862772,945.117013847522
39,7.70099099203433,175.722400808859,967.901557694747,7.70099099203433,175.722400808859,967.901557694747
40,7.94160750176457,181.212825457813,998.143521984261,7.94160750176457,181.212825457813,998.143521984261
41,8.11767561290681,185.230374787217,1020.27269980192,8.11767561290681,185.230374787217,1020.27269980192
42,8.27401226502974,188.797688639925,1039.9219227748,8.27401226502974,188.797688639925,1039.9219227748
43,8.42645930527603,192.276248728619,1059.0822786138,8.42645930527603,192.276248728619,1059.0822786138
44,8.59372263331793,196.092889158559,1080.10482440361,8.59372263331793,196.092889158559,1080.10482440361
45,8.75234015729554,199.712248297212,1100.04071949743,8.75234015729554,199.712248297212,1100.04071949743
46,8.91007117827762,203.311379073716,1119.8651941739,8.91007117827762,203.311379073716,1119.8651941739
47,9.07247398477129,207.017111372932,1140.27684373196,9.07247398477129,207.017111372932,1140.27684373196
48,9.21997512663268,210.38281518907,1158.81557272374,9.21997512663268,210.38281518907,1158.81557272374
49,9.37159595628677,213.842522676977,1177.87208601572,9.37159595628677,213.842522676977,1177.87208601572
50,9.53422292357475,217.55336991179,1198.31190929613,9.53422292357475,217.55336991179,1198.31190929613
51,9.69983314744751,221.332289555706,1219.12668415075,9.69983314744751,221.332289555706,1219.12668415075
52,9.8319165279362,224.346188513701,1235.72762678954,9.8319165279362,224.346188513701,1235.72762678954
