"Day","Pexc (g)","Nexc (g)","Cexc (g)","Pwst (g)","Nwst (g)","Cwst (g)"
1,0.25,5.81,32.03,0.25,5.81,32.03
2,0.26,5.89,32.44,0.26,5.89,32.44
3,0.26,6,33.03,0.26,6,33.03
4,0.26,6.02,33.14,0.26,6.02,33.14
5,0.27,6.07,33.44,0.27,6.07,33.44
6,0.27,6.22,34.27,0.27,6.22,34.27
7,0.28,6.37,35.09,0.28,6.37,35.09
8,0.28,6.44,35.46,0.28,6.44,35.46
9,0.28,6.42,35.38,0.28,6.42,35.38
10,0.29,6.63,36.5,0.29,6.63,36.5
11,0.3,6.87,37.83,0.3,6.87,37.83
12,0.31,7.03,38.71,0.31,7.03,38.71
13,0.31,7.12,39.2,0.31,7.12,39.2
14,0.31,7.08,39.02,0.31,7.08,39.02
15,0.31,7.14,39.34,0.31,7.14,39.34
16,0.31,7.16,39.46,0.31,7.16,39.46
17,0.32,7.25,39.95,0.32,7.25,39.95
18,0.32,7.28,40.12,0.32,7.28,40.12
19,0.31,7.18,39.54,0.31,7.18,39.54
20,0.31,7.14,39.33,0.31,7.14,39.33
21,0.32,7.32,40.32,0.32,7.32,40.32
22,0.33,7.55,41.57,0.33,7.55,41.57
23,0.34,7.68,42.32,0.34,7.68,42.32
24,0.35,7.88,43.43,0.35,7.88,43.43
25,0.36,8.18,45.08,0.36,8.18,45.08
26,0.37,8.35,45.98,0.37,8.35,45.98
27,0.37,8.37,46.09,0.37,8.37,46.09
28,0.37,8.42,46.38,0.37,8.42,46.38
29,0.38,8.62,47.5,0.38,8.62,47.5
30,0.39,8.83,48.66,0.39,8.83,48.66
31,0.39,8.94,49.24,0.39,8.94,49.24
32,0.39,9,49.57,0.39,9,49.57
33,0.4,9.09,50.07,0.4,9.09,50.07
34,0.4,9.15,50.42,0.4,9.15,50.42
35,0.4,9.17,50.49,0.4,9.17,50.49
36,0.4,9.12,50.22,0.4,9.12,50.22
37,0.41,9.26,51.02,0.41,9.26,51.02
38,0.41,9.43,51.92,0.41,9.43,51.92
39,0.41,9.45,52.06,0.41,9.45,52.06
40,0.42,9.48,52.2,0.42,9.48,52.2
41,0.41,9.44,52.01,0.41,9.44,52.01
42,0.42,9.52,52.46,0.42,9.52,52.46
43,0.42,9.65,53.16,0.42,9.65,53.16
44,0.43,9.8,53.98,0.43,9.8,53.98
45,0.43,9.92,54.66,0.43,9.92,54.66
46,0.44,10,55.08,0.44,10,55.08
47,0.44,10.07,55.47,0.44,10.07,55.47
48,0.44,10.14,55.83,0.44,10.14,55.83
49,0.45,10.17,56.01,0.45,10.17,56.01
50,0.45,10.25,56.44,0.45,10.25,56.44
51,0.45,10.34,56.95,0.45,10.34,56.95
52,0.46,10.41,57.34,0.46,10.41,57.34
53,0.46,10.48,57.7,0.46,10.48,57.7
54,0.46,10.55,58.08,0.46,10.55,58.08
55,0.47,10.61,58.46,0.47,10.61,58.46
56,0.47,10.67,58.76,0.47,10.67,58.76
57,0.47,10.74,59.14,0.47,10.74,59.14
58,0.47,10.81,59.57,0.47,10.81,59.57
59,0.48,10.85,59.74,0.48,10.85,59.74
60,0.48,10.93,60.19,0.48,10.93,60.19
61,0.48,11.02,60.7,0.48,11.02,60.7
62,0.49,11.08,61.03,0.49,11.08,61.03
63,0.49,11.15,61.39,0.49,11.15,61.39
64,0.49,11.17,61.54,0.49,11.17,61.54
65,0.49,11.21,61.75,0.49,11.21,61.75
66,0.49,11.21,61.76,0.49,11.21,61.76
67,0.49,11.1,61.13,0.49,11.1,61.13
68,0.48,10.98,60.5,0.48,10.98,60.5
69,0.48,10.96,60.39,0.48,10.96,60.39
70,0.49,11.19,61.63,0.49,11.19,61.63
71,0.5,11.37,62.61,0.5,11.37,62.61
72,0.5,11.44,63.01,0.5,11.44,63.01
73,0.5,11.45,63.07,0.5,11.45,63.07
74,0.5,11.43,62.97,0.5,11.43,62.97
75,0.5,11.32,62.36,0.5,11.32,62.36
76,0.49,11.24,61.9,0.49,11.24,61.9
77,0.49,11.24,61.94,0.49,11.24,61.94
78,0.49,11.07,60.96,0.49,11.07,60.96
79,0.47,10.77,59.33,0.47,10.77,59.33
80,0.47,10.69,58.88,0.47,10.69,58.88
81,0.47,10.7,58.94,0.47,10.7,58.94
82,0.46,10.43,57.43,0.46,10.43,57.43
83,0.46,10.56,58.17,0.46,10.56,58.17
84,0.49,11.12,61.24,0.49,11.12,61.24
85,0.5,11.44,63.04,0.5,11.44,63.04
86,0.5,11.45,63.07,0.5,11.45,63.07
87,0.51,11.54,63.55,0.51,11.54,63.55
88,0.51,11.69,64.39,0.51,11.69,64.39
89,0.52,11.93,65.73,0.52,11.93,65.73
90,0.51,11.66,64.22,0.51,11.66,64.22
91,0.51,11.57,63.7,0.51,11.57,63.7
92,0.52,11.75,64.75,0.52,11.75,64.75
93,0.52,11.91,65.61,0.52,11.91,65.61
94,0.51,11.6,63.91,0.51,11.6,63.91
95,0.51,11.55,63.63,0.51,11.55,63.63
96,0.51,11.53,63.51,0.51,11.53,63.51
97,0.49,11.22,61.82,0.49,11.22,61.82
98,0.48,10.95,60.31,0.48,10.95,60.31
99,0.47,10.83,59.67,0.47,10.83,59.67
100,0.49,11.2,61.7,0.49,11.2,61.7
101,0.51,11.65,64.17,0.51,11.65,64.17
102,0.53,12.11,66.7,0.53,12.11,66.7
103,0.56,12.86,70.85,0.56,12.86,70.85
104,0.57,13.05,71.9,0.57,13.05,71.9
105,0.57,13.12,72.24,0.57,13.12,72.24
106,0.57,13.04,71.85,0.57,13.04,71.85
107,0.57,13.07,71.99,0.57,13.07,71.99
108,0.57,13.03,71.75,0.57,13.03,71.75
109,0.56,12.84,70.72,0.56,12.84,70.72
110,0.57,12.99,71.56,0.57,12.99,71.56
111,0.57,13.12,72.26,0.57,13.12,72.26
112,0.57,12.92,71.15,0.57,12.92,71.15
113,0.56,12.87,70.89,0.56,12.87,70.89
114,0.55,12.58,69.3,0.55,12.58,69.3
115,0.54,12.24,67.43,0.54,12.24,67.43
116,0.52,11.84,65.24,0.52,11.84,65.24
117,0.53,12.08,66.56,0.53,12.08,66.56
118,0.54,12.28,67.66,0.54,12.28,67.66
119,0.52,11.85,65.3,0.52,11.85,65.3
120,0.49,11.12,61.26,0.49,11.12,61.26
121,0.46,10.6,58.41,0.46,10.6,58.41
122,0.48,10.96,60.35,0.48,10.96,60.35
123,0.52,11.9,65.53,0.52,11.9,65.53
124,0.52,11.91,65.62,0.52,11.91,65.62
125,0.5,11.38,62.71,0.5,11.38,62.71
126,0.45,10.3,56.73,0.45,10.3,56.73
127,0.46,10.41,57.36,0.46,10.41,57.36
128,0.48,10.97,60.45,0.48,10.97,60.45
129,0.48,11.02,60.67,0.48,11.02,60.67
130,0.5,11.38,62.68,0.5,11.38,62.68
131,0.52,11.88,65.44,0.52,11.88,65.44
132,0.53,12.2,67.18,0.53,12.2,67.18
133,0.55,12.44,68.54,0.55,12.44,68.54
134,0.55,12.53,69.04,0.55,12.53,69.04
135,0.55,12.66,69.75,0.55,12.66,69.75
136,0.57,13.06,71.94,0.57,13.06,71.94
137,0.57,13,71.6,0.57,13,71.6
138,0.57,13.1,72.13,0.57,13.1,72.13
139,0.58,13.17,72.52,0.58,13.17,72.52
140,0.57,13.11,72.21,0.57,13.11,72.21
141,0.57,12.99,71.53,0.57,12.99,71.53
142,0.55,12.59,69.35,0.55,12.59,69.35
143,0.54,12.24,67.43,0.54,12.24,67.43
144,0.55,12.59,69.33,0.55,12.59,69.33
145,0.57,13.09,72.09,0.57,13.09,72.09
146,0.58,13.24,72.94,0.58,13.24,72.94
147,0.58,13.19,72.66,0.58,13.19,72.66
148,0.57,12.89,71.02,0.57,12.89,71.02
149,0.54,12.34,67.94,0.54,12.34,67.94
150,0.53,12.13,66.84,0.53,12.13,66.84
151,0.52,11.81,65.04,0.52,11.81,65.04
152,0.5,11.45,63.06,0.5,11.45,63.06
153,0.5,11.31,62.32,0.5,11.31,62.32
154,0.51,11.67,64.3,0.51,11.67,64.3
155,0.53,11.99,66.03,0.53,11.99,66.03
156,0.53,12.02,66.2,0.53,12.02,66.2
157,0.54,12.33,67.9,0.54,12.33,67.9
158,0.57,12.98,71.52,0.57,12.98,71.52
159,0.57,12.93,71.23,0.57,12.93,71.23
160,0.57,13.12,72.24,0.57,13.12,72.24
161,0.6,13.8,76,0.6,13.8,76
162,0.62,14.04,77.34,0.62,14.04,77.34
163,0.63,14.29,78.74,0.63,14.29,78.74
164,0.65,14.78,81.38,0.65,14.78,81.38
165,0.66,15.14,83.38,0.66,15.14,83.38
166,0.66,14.99,82.57,0.66,14.99,82.57
167,0.65,14.94,82.3,0.65,14.94,82.3
168,0.64,14.59,80.39,0.64,14.59,80.39
169,0.64,14.61,80.5,0.64,14.61,80.5
170,0.66,15.09,83.11,0.66,15.09,83.11
171,0.67,15.22,83.86,0.67,15.22,83.86
172,0.67,15.23,83.91,0.67,15.23,83.91
173,0.66,15.16,83.51,0.66,15.16,83.51
174,0.66,15.08,83.04,0.66,15.08,83.04
175,0.66,14.99,82.58,0.66,14.99,82.58
176,0.66,15.15,83.43,0.66,15.15,83.43
177,0.69,15.65,86.18,0.69,15.65,86.18
178,0.69,15.85,87.31,0.69,15.85,87.31
179,0.7,15.86,87.38,0.7,15.86,87.38
180,0.69,15.78,86.92,0.69,15.78,86.92
181,0.69,15.67,86.3,0.69,15.67,86.3
182,0.69,15.77,86.86,0.69,15.77,86.86
183,0.7,15.92,87.69,0.7,15.92,87.69
184,0.69,15.65,86.18,0.69,15.65,86.18
185,0.7,16.01,88.18,0.7,16.01,88.18
186,0.73,16.66,91.74,0.73,16.66,91.74
187,0.73,16.62,91.57,0.73,16.62,91.57
188,0.73,16.74,92.19,0.73,16.74,92.19
189,0.75,17.02,93.75,0.75,17.02,93.75
190,0.76,17.32,95.43,0.76,17.32,95.43
191,0.77,17.48,96.3,0.77,17.48,96.3
192,0.77,17.49,96.36,0.77,17.49,96.36
193,0.77,17.52,96.49,0.77,17.52,96.49
