radius,center,image_name
15,"(356, 646)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
16,"(672, 772)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
15,"(1114, 926)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
16,"(688, 716)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
14,"(1238, 884)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
14,"(964, 826)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
11,"(686, 746)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
20,"(1016, 838)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
14,"(1042, 914)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
16,"(1068, 1028)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
14,"(1070, 906)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
12,"(1162, 930)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
17,"(908, 990)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
15,"(1000, 898)","image_(18, 35.30506, 23.51354, 38.24928, 24.12753, 38.25831, 24.11612).jpeg"
23,"(1014, 1160)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
23,"(936, 1182)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
22,"(1102, 1216)","image_(18, 35.3783, 23.53329, 39.79014, 19.91167, 39.79871, 19.89949).jpeg"
