radius,center,image_name
18,"(1326, 1254)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
17,"(1432, 1268)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
15,"(1376, 1182)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
19,"(1600, 1174)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
17,"(1296, 976)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
17,"(1416, 1140)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
17,"(1170, 1036)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
17,"(1108, 960)","image_(18, 36.49444, 22.93532, 38.36255, 21.04195, 38.37126, 21.03015).jpeg"
19,"(828, 1232)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
18,"(948, 1384)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
22,"(928, 1112)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
19,"(662, 1136)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
17,"(738, 1130)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
20,"(976, 1352)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
17,"(980, 1408)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
18,"(868, 1262)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
18,"(1050, 1486)","image_(18, 36.49577, 23.13912, 38.46822, 21.06008, 38.47693, 21.04827).jpeg"
22,"(982, 808)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
22,"(958, 906)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
22,"(1064, 1154)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
16,"(854, 1074)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
15,"(898, 1048)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
22,"(978, 968)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
21,"(1122, 1130)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
18,"(1096, 1066)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
17,"(1008, 874)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
16,"(866, 984)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
20,"(1038, 940)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
21,"(1180, 1262)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
20,"(1034, 1082)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
15,"(836, 912)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
15,"(824, 1002)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
20,"(934, 848)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
17,"(1110, 1272)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
15,"(928, 1114)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
21,"(1156, 1200)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
17,"(1006, 1028)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
16,"(808, 968)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
16,"(882, 1016)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
21,"(1090, 1204)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
11,"(838, 1038)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
11,"(826, 876)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
11,"(916, 1080)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
17,"(1070, 996)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
11,"(940, 1152)","image_(18, 36.49761, 23.06887, 38.45725, 26.15949, 38.46647, 26.1483).jpeg"
19,"(1108, 1144)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
22,"(1134, 1084)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
21,"(408, 92)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
18,"(1188, 1100)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
21,"(410, 156)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
21,"(1242, 1118)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
22,"(1348, 1048)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
24,"(424, 280)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
17,"(872, 1082)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
18,"(1260, 1176)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
17,"(1174, 1196)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
20,"(1032, 1054)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
16,"(932, 1044)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
19,"(1220, 1166)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
21,"(1066, 912)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
17,"(1120, 928)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
14,"(1288, 1024)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
18,"(1022, 1110)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
16,"(940, 932)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
18,"(1242, 1012)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
19,"(1084, 1070)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
20,"(1016, 898)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
19,"(900, 1032)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
21,"(1338, 982)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
17,"(1376, 1014)","image_(18, 36.50062, 23.06559, 38.41709, 21.08683, 38.4258, 21.07503).jpeg"
19,"(1850, 1114)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
21,"(1604, 1546)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
21,"(1446, 952)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
22,"(1498, 896)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
19,"(1496, 1310)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
18,"(1564, 1300)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
22,"(1518, 1424)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
14,"(1910, 1238)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
19,"(1504, 958)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
19,"(1828, 1212)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
19,"(1868, 1288)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
19,"(1618, 1738)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
16,"(1882, 1210)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
14,"(1816, 1290)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
20,"(1874, 1250)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
17,"(1506, 1012)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
15,"(1894, 1112)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
18,"(1478, 1058)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
20,"(1608, 1610)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
20,"(1512, 1360)","image_(18, 36.50134, 23.06712, 38.4232, 21.08042, 38.43191, 21.06862).jpeg"
29,"(832, 1296)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
29,"(1374, 968)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
29,"(1106, 712)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
29,"(1300, 1020)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
25,"(1154, 1322)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
27,"(1140, 1106)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
25,"(1416, 1242)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
20,"(778, 1186)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
26,"(1448, 1130)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
25,"(1178, 796)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
26,"(1102, 834)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
21,"(952, 922)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
27,"(922, 1250)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
25,"(1064, 954)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
22,"(1492, 1198)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
26,"(1270, 1334)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
21,"(1296, 812)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
20,"(970, 1350)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
21,"(1126, 1254)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
21,"(1030, 872)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
24,"(1222, 1266)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
24,"(810, 1022)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
20,"(906, 1376)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
27,"(1104, 1018)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
26,"(1046, 1476)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
21,"(1260, 940)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
19,"(810, 1212)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
16,"(1226, 1066)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
22,"(1228, 916)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
26,"(1208, 864)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
18,"(870, 1358)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
20,"(1088, 1226)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
24,"(928, 1458)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
23,"(1374, 1180)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
18,"(888, 1044)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
15,"(968, 1310)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
24,"(760, 1138)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
19,"(872, 908)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
18,"(782, 992)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
18,"(874, 1194)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
24,"(872, 1150)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
22,"(958, 1518)","image_(18, 36.50755, 23.05902, 38.33681, 22.39133, 38.34566, 22.37969).jpeg"
15,"(1220, 962)","image_(18, 36.51033, 22.98136, 38.39282, 21.10338, 38.40153, 21.09159).jpeg"
22,"(1170, 924)","image_(18, 36.51033, 22.98136, 38.39282, 21.10338, 38.40153, 21.09159).jpeg"
10,"(1020, 1110)","image_(18, 36.51033, 22.98136, 38.39282, 21.10338, 38.40153, 21.09159).jpeg"
19,"(1648, 1974)","image_(18, 36.51033, 22.98136, 38.39282, 21.10338, 38.40153, 21.09159).jpeg"
12,"(1090, 1024)","image_(18, 36.51033, 22.98136, 38.39282, 21.10338, 38.40153, 21.09159).jpeg"
22,"(1452, 490)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1106, 840)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1162, 1218)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1042, 918)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1104, 1294)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1428, 290)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1088, 1170)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1446, 420)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
18,"(1120, 1352)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
18,"(1068, 1044)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
23,"(1190, 1410)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1702, 1348)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
18,"(1146, 1094)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1168, 1276)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
20,"(1098, 764)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
17,"(1712, 1430)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1384, 548)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1386, 486)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
18,"(1412, 228)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1356, 294)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1666, 1154)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
20,"(1180, 1346)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1466, 554)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
18,"(1078, 1102)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1778, 1406)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1378, 420)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1134, 1032)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1110, 914)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
19,"(1042, 860)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
19,"(1096, 1230)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1156, 1154)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(1054, 982)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
17,"(1126, 972)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
15,"(1688, 944)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
15,"(1678, 1228)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
15,"(1756, 1278)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
21,"(1362, 362)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
10,"(1722, 1148)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
10,"(1620, 1024)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
17,"(1858, 778)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
15,"(1698, 1024)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
14,"(1768, 1320)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
16,"(1688, 994)","image_(18, 36.52019, 22.9877, 38.40524, 21.08648, 38.41395, 21.07468).jpeg"
22,"(876, 892)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
22,"(1078, 1140)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
22,"(842, 946)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
22,"(746, 966)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
15,"(1060, 1050)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
17,"(1164, 894)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
20,"(922, 836)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
11,"(926, 746)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
20,"(1112, 1086)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
24,"(980, 780)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
21,"(1090, 1006)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
21,"(692, 1020)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
21,"(798, 988)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
21,"(1214, 934)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
22,"(1016, 1102)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
16,"(1124, 948)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
15,"(874, 804)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
17,"(826, 860)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
15,"(1210, 1008)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
16,"(984, 1072)","image_(18, 36.52257, 22.994, 38.40003, 21.09637, 38.40875, 21.08457).jpeg"
22,"(856, 1904)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
21,"(820, 1658)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(800, 1528)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
18,"(768, 66)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(1078, 1236)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(1142, 1108)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(762, 1730)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
21,"(732, 1548)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
18,"(1398, 2034)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(792, 1454)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(800, 466)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(1358, 1842)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
17,"(798, 1980)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(734, 480)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(860, 1964)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
19,"(1076, 1174)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
23,"(852, 1840)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
19,"(840, 1782)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
15,"(1466, 2036)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
18,"(1052, 980)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
16,"(828, 124)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
19,"(734, 1606)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(814, 2038)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
23,"(770, 1790)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
20,"(1158, 1238)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
17,"(782, 1856)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
20,"(828, 1718)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(1146, 1176)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
22,"(750, 1668)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
15,"(1414, 1836)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
21,"(1072, 1108)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
21,"(790, 1914)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
14,"(1106, 916)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
18,"(876, 2032)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
21,"(1056, 1048)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
18,"(1124, 978)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
15,"(1314, 1712)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
19,"(802, 1602)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
14,"(1462, 2006)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
15,"(1390, 1710)","image_(18, 36.52456, 22.9953, 38.40812, 21.08812, 38.41684, 21.07632).jpeg"
