"day","faeces_c_1","faeces_c_2","faeces_l_1","faeces_l_2","faeces_p_1","faeces_p_2"
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0.234418927587124,3.10316769155909e-17,0.0518189208350485,0,0.381650464562896,0
32,0.470184051046123,0,0.103935421810196,1.55158384577955e-17,0.765492630475092,0
33,0.680666854354322,0.0455830869954939,0.150463199383587,0.010076261335846,1.10817340498388,0.0742124644417866
34,0.817659289087303,0.116786199599127,0.18074573758772,0.0258158967534912,1.33120670223336,0.190136128470157
35,0.883130615966164,0.187928376263092,0.195218346687257,0.0415420621213151,1.43779861687123,0.305960584512543
36,0.980884787135117,0.261143325530554,0.216827163471973,0.0577264193278066,1.59694926747612,0.425159659811147
37,1.05484597164822,0.343319510043506,0.233176477943291,0.0758916811675119,1.71736326612201,0.558948254948023
38,1.12404150057475,0.403185971448427,0.248472331705998,0.0891253200043891,1.830018443041,0.656415055270421
39,1.16640292261649,0.410245936417685,0.25783643552575,0.0906859438396988,1.89898581085631,0.667909173676511
40,1.2141892686075,0.419103994274404,0.268399733060605,0.0926440408396051,1.97678533555747,0.682330713485345
41,1.3331251290723,0.451718222647098,0.294690818005456,0.0998535018483059,2.17042126277034,0.735428965993871
42,1.38951134297652,0.462332591555009,0.307155138973758,0.102199836027949,2.2622219759337,0.752709903443944
43,1.41451859976767,0.462605471395335,0.312683058896013,0.102260156834758,2.30293554488492,0.753154170973458
44,1.42509850837571,0.45861843701877,0.315021775535683,0.101378812393623,2.32016037854852,0.746662999216523
45,1.45471239938325,0.46113029216244,0.321568004074192,0.101934064583276,2.36837387127659,0.750752475660955
46,1.48681712559295,0.46461457889334,0.328664838288969,0.102704275334317,2.42064261850923,0.756425138970209
47,1.68334849472973,0.518565411110866,0.372108614624467,0.114630248771876,2.74060947913893,0.844260879843655
48,1.75401043485058,0.532647127545229,0.387728622440654,0.11774304924684,2.85565207638831,0.867186902389425
49,1.79929228350609,0.538971966832175,0.397738294248715,0.119141171615534,2.92937410367307,0.877484184596945
50,1.82152339638297,0.538635465472742,0.402652540253079,0.119066787104501,2.96556791551473,0.876936336769657
51,1.83378986378827,0.535750145108882,0.405364075153198,0.118428979445121,2.98553858525529,0.872238832738672
52,1.9414866959435,0.560677209410149,0.429170743313826,0.123939172606454,3.16087658567643,0.912821842688803
53,2.0234887060889,0.577783854896012,0.447297503451231,0.127720641608592,3.29438161272017,0.940672662006138
54,2.08534787679202,0.588993894150137,0.460971635922447,0.13019865028582,3.39509268361929,0.958923392581274
55,2.21504413801374,0.61902906465362,0.489641335771459,0.136838003765537,3.60624729838027,1.00782275789221
56,2.3686625488704,0.655049466907059,0.523599089750298,0.144800408474192,3.85634885149426,1.06646650050833
57,2.40811127572598,0.659237452178448,0.532319334634163,0.145726173639446,3.92057414714685,1.07328483442386
58,2.3634537278386,0.640943588709171,0.522447666153797,0.141682266977817,3.8478685253232,1.04350114091598
59,2.57586930781561,0.69223314151647,0.569402689096082,0.153019957598378,4.19369599588225,1.12700413215313
60,2.68451081996153,0.714973360215755,0.593418181254654,0.158046742784535,4.37057200162157,1.16402680400039
61,2.74874773360419,0.725789667171611,0.607617920059874,0.160437715901093,4.47515420488542,1.1816365107636
62,2.71892242801408,0.712124287046733,0.601024957771534,0.157416947662962,4.42659651438082,1.15938831294626
63,2.8149795421358,0.731670897057791,0.62225863563002,0.161737777244354,4.58298423702109,1.19121156573619
64,2.86950564336547,0.740393453368523,0.634311773796577,0.163665921270937,4.67175655621606,1.20541249951928
65,2.92477229769472,0.749395741168153,0.646528613174622,0.165655900679276,4.76173454782578,1.22006885579657
66,2.99218723834622,0.761561620880585,0.661430863213376,0.168345200405182,4.87149080207946,1.23987576171436
67,3.14723547503647,0.795835517442664,0.695704683955431,0.175921535434694,5.1239202119892,1.29567607050314
68,3.21045297725446,0.806722893147593,0.709679079182566,0.178328218485257,5.22684274191604,1.31340148217713
69,3.22263054562883,0.804956707025234,0.712370962717953,0.177937798395052,5.24666867779571,1.31052600722705
70,3.31432053400947,0.82315413791928,0.732639275938935,0.181960388382157,5.39594641326453,1.34015270173525
