"day","faeces_c_1","faeces_c_2","faeces_l_1","faeces_l_2","faeces_p_1","faeces_p_2"
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0.227692263437877,0.0363390122499515,0.0503319740231097,0.00803283428683142,0.370698983281316,0.0591624620490443
32,0.447048385829069,0.081368708515931,0.0988212221306364,0.017986767145627,0.727826143946274,0.132473967548744
33,0.631678961953636,0.141746135526659,0.139634296852909,0.0313333562743142,1.02841767840873,0.230772655734631
34,0.770690239254783,0.203192158810925,0.170363105519478,0.0449161614213624,1.25473779303235,0.33081109364305
35,0.831267548944473,0.244775673944185,0.183753879240357,0.0541083068718724,1.35336190424644,0.398511974421409
36,0.899613510825694,0.268718266116749,0.198861933971996,0.0594008798784393,1.46463392639692,0.437492194660251
37,0.934125228299495,0.275394778908625,0.206490839939888,0.060876740600854,1.52082142431918,0.448362026012639
38,0.974010789917566,0.281484260276103,0.215307648297567,0.0622228364820859,1.58575791762018,0.458276129010918
39,1.01144020126887,0.286837041485484,0.223581518175224,0.0634060828546861,1.64669562592546,0.466990832453561
40,1.0536006727858,0.293507653469604,0.232901201352651,0.0648806391880179,1.7153358321846,0.47785105687683
41,1.15759111419598,0.316928616984001,0.255888562085427,0.0700579048069898,1.88463956837521,0.515982029054655
42,1.20736042071809,0.325041941591947,0.266890198263999,0.0718513765624303,1.96566749197612,0.529191090872502
43,1.22987093185247,0.325948660517891,0.271866205988442,0.0720518091671127,2.00231618378789,0.530667292913338
44,1.23980711021764,0.323880966105049,0.274062624363898,0.0715947398758531,2.01849297944204,0.52730094130787
45,1.26627831243824,0.326430683664143,0.279914153275821,0.0721583616520736,2.06158995428541,0.531452060421622
46,1.29491111144524,0.329711818847208,0.28624350884579,0.0728836652188564,2.10820616038804,0.536793978754752
47,1.46685516459038,0.368993368578725,0.324252194277873,0.0815669551595076,2.38814314515767,0.600747098317643
48,1.52924637868176,0.380135083677663,0.338043936340179,0.0840298606024308,2.48972042002925,0.618886592373458
49,1.56952891818644,0.385830535904992,0.346948497704372,0.085288855305314,2.55530322118775,0.628159188280408
50,1.58969070218235,0.386796418675091,0.351405313113994,0.0855023662334412,2.58812802039513,0.629731713211376
51,1.60112392616399,0.385935160969472,0.353932657362567,0.0853119829511466,2.60674211136874,0.628329525227492
52,1.69589878685856,0.405194868033947,0.374882889726629,0.0895693918811883,2.76104223544691,0.659685679886846
53,1.76828635719095,0.418958592590075,0.390884352642211,0.0926118994146481,2.87889427977755,0.68209398933963
54,1.82309991052703,0.428553110721244,0.403001032853343,0.0947327928962751,2.96813459117383,0.697714538156693
55,1.93727088406847,0.452000087032411,0.428238827004609,0.0999158087124277,3.15401294809744,0.735887860993118
56,2.07246040060549,0.48007287801099,0.458122825397003,0.106121373034008,3.37411096800332,0.781592334726664
57,2.10780134704228,0.484968042226405,0.465935034609345,0.107203461965837,3.43164850886883,0.789562005589656
58,2.0694695819547,0.473251512246157,0.457461697063671,0.104613492180729,3.36924170535783,0.770486672569181
59,2.25626259123298,0.513029758057768,0.498752783325186,0.113406578096981,3.67335383274422,0.835248448206332
60,2.3522535246581,0.5319330557671,0.519971831766528,0.117585201801149,3.82963380856617,0.866024343424331
61,2.40936054776134,0.542077894651347,0.532595489505138,0.119827745133456,3.92260804968863,0.882540853046403
62,2.38398435498191,0.533892930312317,0.526986015311791,0.118018437226933,3.88129382705826,0.869215156719
63,2.46896228586834,0.550593458335394,0.545770610560369,0.121710132895192,4.01964386190494,0.896404788307447
64,2.51752857289927,0.559227818266263,0.556506316114576,0.123618780879911,4.0987131853518,0.910462132194898
65,2.56674259851891,0.56810522524107,0.567385205988391,0.125581155053289,4.1788370726764,0.924915173725812
66,2.62662055947508,0.579424063937275,0.580621386831334,0.128083214133503,4.27632259507522,0.943343037427704
67,2.76346274156805,0.607709226427547,0.61087071129399,0.134335723736616,4.49911127048272,0.98939326688555
68,2.81970537139803,0.618271306442732,0.623303292624827,0.13667049931892,4.59067821869713,1.00658907434887
69,2.8311050471588,0.619119965385297,0.625823220950893,0.136858097611487,4.60923769081292,1.00797075066238
