"","V1","V2"
"1",1167.22499307535,459.221595332778
"2",1253.00802840043,477.45438681976
"3",1319.19375919681,486.697290259858
"4",1382.9228731827,494.214835320101
"5",1429.43281684868,495.835257258988
"6",1538.32074827108,518.46743853132
"7",1618.61285196385,529.852391281761
"8",1710.61488649728,544.078895466335
"9",1785.51294754614,551.969193864921
"10",1860.09828867224,560.208754100031
"11",2047.75209325244,600.696579811454
"12",2132.48130886812,608.475069345751
"13",2231.09811617685,619.516682460153
"14",2280.03994936637,616.880417563174
"15",2386.94554266327,629.931902323326
"16",2437.86310414204,628.929609102674
"17",2677.85352601213,676.26595951672
"18",2902.15246260395,715.720049619374
"19",2963.75190733628,713.303943185194
"20",3053.9483429955,718.31355806802
"21",3143.78234714343,723.872750889079
"22",3332.29017661108,751.941459982536
"23",3511.76536013861,776.057650128551
"24",3587.48169938901,777.244591349915
"25",3847.09548106082,818.341331681342
"26",4127.50088848767,861.547256647052
"27",4338.41794255897,887.310413891293
"28",4310.14612933013,865.605189626514
"29",4824.40125646654,952.819672745995
"30",5135.61856755599,995.89889948094
"31",5264.99962378939,1001.35274269806
"32",5111.50885048507,954.964767647592
"33",5389.96370499141,991.28978772878
"34",5551.56068116802,1005.0104906327
"35",5714.14524660818,1018.88157134443
"36",5899.7144056794,1037.47677594703
"37",6310.6123799776,1094.43862384837
"38",6427.15517390464,1098.58629524123
"39",6534.68394172129,1102.23400947214
"40",6854.99047130906,1142.5050346354
"41",7325.40410516348,1206.15585933787
"42",7548.85275617341,1227.47883845913
"43",7729.0466744929,1242.13180017233
"44",8164.61196665889,1297.63884694406
"45",8570.75331844299,1347.06284719885
"46",8796.89457838852,1367.08063306959
"47",8805.66924309847,1353.95057501497
"48",9193.85815658909,1400.06276837845
"49",9820.18035082038,1481.14039089824
"50",10088.5933340846,1506.83280398844
"51",10013.2789912429,1481.68034857951
"52",10376.6544874191,1522.4224564161
"53",10983.6956239366,1598.07020122885
"54",11460.301530778,1653.76921958862
"55",11593.9542649762,1659.72815232675
"56",12287.8902503735,1745.00687706456
"57",12937.4578732935,1823.09493477642
"58",13370.9384992267,1870.69185682415
"59",13764.3715624058,1912.42835192695
"60",14212.6323223105,1961.65184701887
"61",14589.4847561441,2001.41704897088
"62",14861.0923436289,2027.22772650213
"63",15051.5808798502,2041.16486514075
"64",15644.5715979622,2107.12994860901
"65",16495.2456062014,2209.66594770299
"66",16440.2027063196,2191.51614099014
"67",17132.6168372881,2270.53524163418
"68",17676.1655227968,2332.25975543261
"69",17769.4099188308,2336.97875601204
"70",17628.8484086921,2309.51649270742
"71",18162.9267135432,2367.70923384242
"72",18861.9465031909,2447.35301216134
"73",19326.2884673336,2497.96042919584
"74",19650.8908309063,2531.71087066265
"75",19810.2500503929,2543.21584839027
"76",20409.9835656043,2610.66133061024
"77",20740.2977277162,2644.48321641152
"78",21134.7627791849,2685.85634130598
"79",21632.6339078546,2736.68159340739
"80",22731.1092949434,2864.4724522476
"81",22965.6370620713,2889.13015020713
"82",22909.3689643465,2876.68748346303
"83",23258.0010944932,2912.81649799452
"84",23759.6610231726,2967.34205357339
"85",24293.9732283961,3029.96961354094
