"date","dir","speed"
"01/04/2018",29.4594672418354,0.10896412886852
"02/04/2018",33.6186712941634,0.21359704735566
"03/04/2018",43.3193363695992,0.0405595896228186
"04/04/2018",55.7734196148101,0.0139059847407528
"05/04/2018",14.2345187243255,0.0179479959194449
"06/04/2018",51.627059092262,0.0401794380031983
"07/04/2018",29.1545996127527,0.0325174177998012
"08/04/2018",44.6545324854948,0.0213997427346547
"09/04/2018",85.5151820819499,0.0148298107115636
"10/04/2018",44.7255868777456,0.0335979932457719
"11/04/2018",49.7141804077621,0.0366717791531185
"12/04/2018",53.982440661675,0.0379906676174664
"13/04/2018",55.6513622616902,0.0411237365620425
"14/04/2018",61.8933126691165,0.045468357548231
"15/04/2018",47.7858156160235,0.0296550374901695
"16/04/2018",72.3236085834975,0.029176187218528
"17/04/2018",53.1261487345537,0.0323597092951849
"18/04/2018",51.7401511985121,0.0462788541487006
"19/04/2018",356.650629983624,0.0195690653919626
"20/04/2018",248.31743468928,0.0292096249636313
"21/04/2018",244.34722307522,0.0936378867274448
"22/04/2018",263.031217363406,0.0440436401126328
"23/04/2018",320.266809261263,0.0154618609488803
"24/04/2018",55.9947445167612,0.0214086113704321
"25/04/2018",53.2133742072673,0.0229812540684067
"26/04/2018",63.4878815085599,0.0253502342218635
"27/04/2018",67.4852169440676,0.0403642318132427
"28/04/2018",66.9762796523073,0.0505327413494659
"29/04/2018",80.6209373089474,0.0492140080321415
"30/04/2018",75.2068014110446,0.0496732778256712
"01/05/2018",89.8466393628426,0.0131265469730686
"02/05/2018",81.9234525192254,0.0377503747146998
"03/05/2018",59.5115757038576,0.0565205319838614
"04/05/2018",57.8739731614611,0.0617325868357958
"05/05/2018",54.2922937083371,0.0527058328455736
"06/05/2018",48.6975993290876,0.0441758552159086
"07/05/2018",32.5044915879509,0.0491273665552113
"08/05/2018",7.90539056780877,0.0429708570939866
"09/05/2018",63.295454865198,0.0151771295302284
"10/05/2018",40.1675699841729,0.0303745557214028
"11/05/2018",43.3167641834977,0.0629283037278704
"12/05/2018",344.569585958003,0.0430517504760647
"13/05/2018",316.598692516785,0.030204244564173
"14/05/2018",48.6689069645203,0.0180763551784314
"15/05/2018",73.2460857554617,0.0578218122983642
"16/05/2018",54.0145798872011,0.0561690289419201
"17/05/2018",36.0072908322151,0.0572608134377391
"18/05/2018",28.7764438309352,0.0705822635236939
"19/05/2018",31.6707341813723,0.0754496214220894
"20/05/2018",35.2250332578871,0.0784539207817915
"21/05/2018",41.0008114509401,0.0699705406003979
"22/05/2018",48.2170872044792,0.0534805690675771
"23/05/2018",56.549584970537,0.0493111709709383
"24/05/2018",56.7359993538756,0.0567152258000724
"25/05/2018",56.0735384513373,0.0628286082094343
"26/05/2018",342.59779813957,0.0287015730259362
"27/05/2018",301.115269555894,0.0298777343302574
"28/05/2018",328.852406136763,0.0278984109322884
"29/05/2018",317.109734354254,0.0247670113498927
"30/05/2018",246.058251697608,0.0156715169827015
"31/05/2018",72.1764495784238,0.0112599586896703
"01/06/2018",153.515168427584,0.00850122710566706
"02/06/2018",121.101752520984,0.00354357021488315
"03/06/2018",74.4195618669928,0.0292845408807474
"04/06/2018",100.889734934932,0.0324199291639511
"05/06/2018",105.538609357338,0.051513729070221
"06/06/2018",86.7494252836102,0.0273639600441102
"07/06/2018",17.7964524151612,0.0462268593602294
"08/06/2018",16.3176291318945,0.0584379643152308
"09/06/2018",1.60621741825549,0.0217008101500582
"10/06/2018",10.7554951323876,0.0571098595107021
"11/06/2018",42.7262244387646,0.0413496281564152
"12/06/2018",51.0302357364842,0.0184681975384546
"13/06/2018",58.5502155008136,0.0244821622913986
"14/06/2018",76.476294579125,0.0483723650938785
"15/06/2018",40.0715188379115,0.0760843541148115
"16/06/2018",20.7074500921493,0.117280808804679
"17/06/2018",15.5815211604916,0.0936246451367886
"18/06/2018",29.8465797318072,0.10757653211257
"19/06/2018",44.365785529782,0.0808708428899027
"20/06/2018",59.4096196045071,0.0453568609974629
"21/06/2018",58.1975762236087,0.0501537182885105
"22/06/2018",55.1219497547486,0.067881275305356
"23/06/2018",42.9107324316546,0.0700055243526581
"24/06/2018",45.0473379263956,0.0646171862599792
"25/06/2018",54.6170099275893,0.042463237584626
"26/06/2018",83.2001723721356,0.0335486867031355
"27/06/2018",30.6366737982071,0.107239126122413
"28/06/2018",30.2922788763581,0.212318191894504
"29/06/2018",14.7235732362509,0.224632982787207
"30/06/2018",17.1381914884609,0.167339445806642
"01/07/2018",17.1705958680015,0.132969302486184
"02/07/2018",30.2438137969631,0.0979235943596679
"03/07/2018",62.7373078641828,0.0274105763877261
"04/07/2018",100.764381358696,0.0171691597307836
"05/07/2018",165.780885345884,0.0272117754375003
"06/07/2018",177.397617512854,0.0304162595518896
"07/07/2018",143.696970002819,0.0351106855237801
"08/07/2018",147.416299873513,0.0350126976302401
"09/07/2018",139.17132888769,0.02756144165872
"10/07/2018",142.734390178978,0.0583034048363394
"11/07/2018",180.808131217863,0.0677886009104757
"12/07/2018",201.298571418973,0.096364518136919
"13/07/2018",182.466996187851,0.0619405442598874
"14/07/2018",166.762318021523,0.0447031309592209
"15/07/2018",182.781880163373,0.052756313271623
"16/07/2018",195.00569824253,0.0525972455011088
"17/07/2018",164.838746613815,0.0561382750212925
"18/07/2018",147.362169501195,0.033206432445482
"19/07/2018",162.71966769,0.0683867971878332
"20/07/2018",151.516583693452,0.0584224598086658
"21/07/2018",160.459281358445,0.0771408031402234
"22/07/2018",161.080757072101,0.0684662345516749
"23/07/2018",155.810429958032,0.0383030953385663
