"site_ID","faeces_c","faeces_l","faeces_p","feed_c","feed_l","feed_p","harvest day"
"0","33591","7425","54689","27025","24451","56624","526"
"10","26141","5779","42560","25562","23127","53558","541"
"100","221","49","359","174","157","365","417"
"101","220","49","359","167","151","350","417"
"102","220","49","359","169","153","354","418"
"103","221","49","360","164","148","343","422"
"104","221","49","360","170","153","355","424"
"105","221","49","360","168","152","352","424"
"106","221","49","360","164","148","344","425"
"107","220","49","359","174","157","364","423"
"108","220","49","359","164","148","343","423"
"109","221","49","359","170","153","355","423"
"11","1309","289","2131","1232","1115","2582","539"
"111","221","49","359","165","149","345","408"
"112","221","49","359","166","150","348","406"
"113","221","49","359","169","153","353","425"
"114","221","49","360","170","154","357","424"
"115","221","49","360","169","153","354","424"
"117","219","48","357","163","147","341","374"
"118","220","49","359","167","151","350","406"
"12","11959","2643","19469","9910","8967","20765","548"
"120","221","49","360","169","153","355","426"
"121","221","49","359","164","148","343","400"
"122","221","49","359","164","148","344","400"
"123","221","49","360","169","153","353","439"
"124","221","49","360","170","154","357","436"
"125","221","49","360","170","154","357","441"
"129","221","49","360","168","152","351","436"
"131","219","48","356","163","147","341","374"
"132","217","48","354","166","150","347","374"
"133","218","48","354","158","143","332","381"
"134","217","48","354","163","148","342","379"
"135","220","49","359","174","158","365","435"
"137","221","49","359","168","152","352","440"
"14","3507","775","5709","3027","2739","6342","542"
"141","220","49","359","168","152","353","423"
"145","221","49","360","164","148","343","437"
"146","221","49","359","168","152","353","436"
"147","220","49","358","166","150","347","422"
"148","220","49","358","162","147","340","422"
"149","220","49","359","173","157","363","422"
"15","24434","5401","39781","24000","21714","50285","507"
"150","220","49","358","162","147","340","422"
"151","219","48","357","167","151","351","417"
"152","220","49","359","164","148","344","423"
"153","219","49","357","165","149","345","416"
"154","220","49","358","167","151","350","418"
"155","221","49","361","171","155","359","442"
"157","228","50","370","175","159","367","468"
"158","218","48","354","161","145","337","380"
"16","10837","2396","17644","9251","8370","19384","521"
"161","217","48","353","162","146","339","380"
"162","218","48","354","163","147","341","379"
"163","217","48","354","160","145","335","380"
"164","218","48","355","160","145","336","381"
"165","218","48","354","162","147","340","381"
"166","219","48","356","166","150","347","370"
"167","218","48","354","164","149","344","391"
"168","219","48","357","163","148","342","374"
"169","218","48","355","162","146","339","369"
"17","653","144","1063","558","504","1168","543"
"170","219","48","356","167","151","351","373"
"171","217","48","354","159","144","333","389"
"172","221","49","359","167","152","351","386"
"173","220","49","359","172","156","360","385"
"174","220","49","359","165","149","345","385"
"175","219","48","356","165","149","345","372"
"176","219","48","356","159","144","334","372"
"177","219","48","356","165","149","345","374"
"178","219","48","357","164","148","343","375"
"179","221","49","359","164","148","343","436"
"18","25950","5736","42249","22822","20648","47817","505"
"180","220","49","359","174","157","365","435"
"181","221","49","360","164","148","343","436"
"182","220","49","359","169","153","354","435"
"183","219","48","357","162","146","339","376"
"184","219","48","356","163","147","341","375"
"185","221","49","359","168","152","351","415"
"186","219","48","357","166","150","348","372"
"187","221","49","360","169","153","354","424"
"188","221","49","360","166","151","349","425"
"189","220","49","358","167","151","351","418"
"19","25125","5554","40906","18943","17139","39690","514"
"192","221","49","360","170","154","356","427"
"193","221","49","359","166","150","348","425"
"194","221","49","360","167","151","349","425"
"195","221","49","360","168","152","353","424"
"196","221","49","360","171","155","358","428"
"197","221","49","360","170","154","356","427"
"198","221","49","359","168","152","352","428"
"2","12805","2831","20847","10249","9273","21473","523"
"202","221","49","359","166","150","348","420"
"203","221","49","359","171","155","359","423"
"204","221","49","360","164","148","344","424"
"205","221","49","360","169","153","355","424"
"206","221","49","360","174","158","365","424"
"207","221","49","360","167","151","351","423"
"208","221","49","360","170","153","355","425"
"209","220","49","359","163","147","341","423"
"210","221","49","360","169","153","354","435"
"211","221","49","360","168","152","351","436"
"212","220","49","359","164","148","343","435"
"213","220","49","358","172","156","361","421"
"215","220","49","358","162","147","340","422"
"216","220","49","358","168","152","352","422"
"217","220","49","359","164","148","344","423"
"218","220","49","359","167","151","350","434"
"219","220","49","359","169","153","354","434"
"22","17321","3829","28200","15953","14433","33425","499"
"220","221","49","359","170","154","357","438"
"222","221","49","359","168","152","352","403"
"223","221","49","360","166","150","347","404"
"224","221","49","360","167","151","350","404"
"225","221","49","360","167","151","351","402"
"226","221","49","359","164","148","343","400"
"227","221","49","360","164","149","344","400"
"229","221","49","359","166","150","348","400"
"23","19732","4362","32125","16848","15243","35300","510"
"230","221","49","359","168","152","352","401"
"231","221","49","359","167","152","351","400"
"232","221","49","360","165","150","347","401"
"233","221","49","360","166","150","348","402"
"234","221","49","360","170","154","356","400"
"235","221","49","359","162","147","340","400"
"238","220","49","357","13053","11810","27349","373"
"24","48146","10643","78384","44337","40115","92898","499"
"240","219","48","356","12877","11650","26980","368"
"241","219","48","357","13308","12040","27883","380"
"242","220","49","358","13842","12524","29002","395"
"243","220","49","357","13807","12492","28928","394"
"244","219","48","357","13488","12204","28261","385"
"245","219","48","357","13523","12235","28334","386"
"246","219","48","357","13523","12235","28334","386"
"247","219","48","356","13417","12139","28112","383"
"248","219","48","356","13453","12172","28187","384"
"249","219","48","356","13021","11781","27282","372"
"25","11011","2434","17927","9846","8908","20630","503"
"250","220","49","357","13125","11875","27501","375"
"26","23161","5120","37708","19196","17368","40220","504"
"27","51621","11411","84042","45048","40758","94387","559"
"28","16190","3579","26358","14802","13392","31014","555"
"29","25677","5676","41803","22734","20569","47633","556"
"3","9838","2175","16017","7792","7050","16326","553"
"30","10008","2212","16293","9398","8503","19692","555"
"31","18654","4124","30370","17040","15417","35702","549"
"33","221","49","360","170","154","356","425"
"34","221","49","360","174","158","365","424"
"35","221","49","360","167","151","350","424"
"36","220","49","359","168","152","352","401"
"37","220","49","359","162","147","340","401"
"38","220","49","358","167","151","350","400"
"39","220","49","359","166","150","348","401"
"4","14130","3123","23004","13829","12512","28974","540"
"40","221","49","359","163","147","341","401"
"41","220","49","358","173","156","362","399"
"42","221","49","359","162","147","340","400"
"43","220","49","358","168","152","351","399"
"44","221","49","359","164","148","344","401"
"45","221","49","359","166","150","347","400"
"46","220","49","358","167","151","351","401"
"47","221","49","359","169","153","354","400"
"49","220","49","359","167","151","350","400"
"5","29144","6442","47448","24564","22224","51466","552"
"51","221","49","359","167","151","349","425"
"53","220","49","359","168","152","352","425"
"54","221","49","360","169","153","354","424"
"55","221","49","360","166","150","348","424"
"56","221","49","359","167","151","349","426"
