"","V1","V2"
"1",9507.08118705311,1054.83010968148
"2",9908.27290105343,1068.2340333213
"3",10199.0356161242,1068.61470278658
"4",10410.0244158646,1060.45426173004
"5",10595.6978552187,1049.10780251153
"6",11116.9139832813,1069.45778601329
"7",11366.4691671691,1062.45884543266
"8",11729.0808976816,1065.89982839354
"9",11724.4143748377,1036.82215567718
"10",11936.7582102843,1026.30230132544
"11",12825.199388207,1070.27106510847
"12",13528.1342531521,1095.3514689318
"13",13811.5907438921,1085.27450727966
"14",14235.5278947474,1085.5821503221
"15",14637.2812161283,1083.47320146404
"16",14999.8973091404,1077.82229246972
"17",15492.7809334786,1079.70447540624
"18",16520.1101161765,1115.93344838858
"19",16915.564708751,1108.10935260536
"20",17216.3539382262,1094.57485111143
"21",17403.2763662113,1074.11468596061
"22",18095.4954469888,1083.3809155495
"23",19090.4109385837,1108.6846562122
"24",19281.5858886668,1086.45082856944
"25",20136.9756285572,1099.78781658565
"26",21454.8004935992,1135.10444888271
"27",22083.3733532397,1131.56254493586
"28",23182.8956757715,1150.12546048406
"29",23998.1666336344,1152.6496271627
"30",24900.3877158109,1158.40276406192
"31",25152.691171575,1134.69461999364
"32",25163.7908511667,1100.64547953381
"33",27057.3606057386,1146.09067231647
"34",28597.1129101195,1173.305255631
"35",28702.0767260476,1142.14287378072
"36",28597.8877021375,1103.96276521067
"37",30297.8140099607,1133.63532423725
"38",32051.0541090304,1162.54413376229
"39",32216.490261629,1133.6762897812
"40",32808.5270843872,1120.28740223973
"41",34026.5880849507,1127.539372901
"42",34894.0804558339,1122.23382294125
"43",36132.7567087983,1128.60625266038
"44",35804.3546244831,1086.56208525957
"45",37618.3674337378,1108.92495746017
"46",38708.0302403448,1108.54241773327
"47",39798.6717648574,1107.26702531862
"48",41487.137931305,1120.8485674863
"49",43972.0040518345,1153.44040998021
"50",45064.0186250161,1148.55121582498
"51",44589.0515361812,1105.3758857129
"52",44437.1832646364,1071.36703850066
"53",48048.1103610661,1125.91093517479
"54",50066.0887968899,1140.81217605775
"55",49540.7869147409,1098.11149324884
"56",51751.7023791011,1115.88907470181
"57",53052.7417426196,1113.30525003778
"58",53174.0052680328,1086.41956042192
"59",54522.3374267579,1084.82475982352
"60",55647.5189130267,1078.23558927715
"61",58413.9143640993,1102.59240884159
"62",57557.162842003,1058.95308878804
"63",58792.4781087129,1054.42620828567
"64",60792.1295911091,1062.49097419747
"65",65427.2944782242,1114.2525599077
"66",66097.6792598876,1097.44813716
"67",65656.5824947318,1062.84984558329
"68",71168.0423678193,1123.02372103636
"69",75795.4340266911,1166.27865532573
"70",72996.3863659603,1095.72183336292
"71",73680.8563992778,1079.14608436364
"72",76137.4549475434,1088.16367318703
"73",79312.9683237794,1106.32477717864
"74",81092.0253568775,1104.26650972035
"75",81388.7997605608,1082.21986493693
"76",84011.4874623017,1091.0010160569
"77",85919.3341012423,1090.00951608838
"78",85279.4660624835,1057.1428593062
"79",88090.7820546279,1067.19847354098
"80",89474.7595291447,1059.56115799433
"81",92290.3227685551,1068.5158576693
"82",92679.7047492956,1049.31743640911
"83",93524.9797872904,1035.69550218437
"84",95485.7712543247,1034.42774844871
"85",98024.9443525718,1039.08490557645
"86",97205.3740582604,1008.41104435338
"87",100922.275578094,1024.8560627763
"88",98894.4952753609,983.312154503696
"89",99864.4675708798,972.424669100825
"90",101154.844434145,964.705854268251
"91",106711.079833197,996.823988720419
"92",110259.993635464,1009.05450764033
"93",113848.988446169,1020.92828471197
"94",114947.421583438,1010.24925585935
"95",119181.238606283,1027.07731393105
"96",126114.037579016,1066.16481412966
"97",128524.864544861,1066.04517596358
"98",129164.466319224,1051.16910162081
"99",129946.0401958,1037.88161014677
"100",134446.082207941,1054.13384004625
"101",135109.723795237,1040.11175334534
"102",138492.586368713,1047.3730691778
"103",143842.067072314,1069.2369710568
"104",146684.230546102,1071.60759894958
"105",144084.901635741,1034.51743031063
"106",148691.316421765,1050.01643466221
"107",154557.658470846,1073.98522276041
"108",155676.657160232,1064.78479704829
"109",159536.56447347,1074.24024492467
"110",159427.562789969,1056.82309679201
"111",161608.904401822,1054.55394135532
"112",160802.10804002,1032.62977596007
"113",160871.447946657,1016.73729269063
"114",163664.043910009,1018.38653505229
"115",166998.805497873,1023.23516507106
"116",167685.503239098,1011.55856189404
"117",167249.640160481,993.133154374019
"118",167313.923662507,977.911279289976
"119",168610.237182354,970.450341465882
"120",175187.202148397,993.288934323616
"121",175515.361587017,980.49381418592
"122",179170.244700002,986.847208837473
"123",185309.325516841,1006.60540364238
"124",184508.059927013,987.991536524105
"125",182312.893559829,961.889174410792
"126",180866.296561979,940.159483881491
"127",183576.465694417,940.224121220619
"128",184140.847931872,929.345414231187
"129",187078.873589849,930.533447101992
"130",188553.79594727,924.330135839297
"131",189354.898811381,914.699241533927
"132",187832.142612635,894.162559259697
"133",192809.454741498,904.618923131097
"134",191687.30959393,886.360910484861
"135",194435.914584856,886.268012240194
"136",197425.463742549,887.085511461534
"137",196458.708123452,870.274773671372
"138",201445.500908178,879.952721216094
"139",202412.909846334,871.815901602134
"140",202149.490901054,858.529592171865
"141",205020.344653696,858.671613196579
"142",206467.377771848,852.728043167032
"143",206204.584268576,839.736735365902
"144",206454.357193964,829.070994091574
"145",209992.946802204,831.837810330677
"146",215081.555183748,840.842518523503
"147",220928.895353783,852.55029468088
"148",220383.623003527,839.320951126071
"149",220059.555613843,827.069623459745
"150",221496.332727806,821.348656561152
"151",217479.906081072,795.600254025371
"152",221553.019731122,799.732625988567
"153",223653.154109263,796.724826534053
"154",227369.950578871,799.252048271853
"155",222670.260619246,772.325749515804
"156",227954.146400563,780.268576803288
"157",228941.953760333,773.267789053857
"158",226550.19078123,754.917300012469
"159",225386.508504164,741.129152682865
"160",235030.3030158,762.798339945662
"161",233407.019823022,747.682647295117
"162",236667.65236878,748.249586341662
"163",234112.473435531,730.495229650582
"164",237141.342369475,730.294894039753
"165",236742.138257903,719.428735033438
"166",230474.227947661,691.159220054023
"167",240374.233416898,711.461482471699
"168",238641.923028637,697.146658753969
"169",241943.991654994,697.598119959692
