image,detections
"image_(18, 36.52456, 22.99679, 38.40478, 21.091, 38.4135, 21.0792).jpeg",48
"image_(18, 36.52457, 22.99705, 38.4161, 21.36194, 38.42484, 21.35016).jpeg",1
"image_(18, 36.52523, 23.00185, 38.41171, 21.08628, 38.42042, 21.07448).jpeg",9
"image_(18, 36.52527, 22.99726, 38.42997, 25.96216, 38.43917, 25.95095).jpeg",2
"image_(18, 36.52932, 22.36176, 38.11602, 20.49251, 38.12468, 20.48069).jpeg",5
"image_(18, 36.54817, 24.14094, 38.51383, 23.35445, 38.52278, 23.34289).jpeg",20
"image_(18, 36.55043, 26.13505, 38.89917, 22.97436, 38.90808, 22.9627).jpeg",35
"image_(18, 36.55182, 26.22404, 38.9064, 23.00432, 38.91531, 22.99267).jpeg",6
"image_(18, 36.55265, 24.14799, 38.51421, 23.35353, 38.52316, 23.34198).jpeg",30
"image_(18, 36.55303, 26.22288, 38.90459, 22.99047, 38.9135, 22.97881).jpeg",31
"image_(18, 36.55334, 26.19489, 38.91652, 21.03881, 38.92523, 21.02692).jpeg",20
"image_(18, 36.55387, 26.2218, 38.90041, 22.96982, 38.90932, 22.95816).jpeg",20
"image_(18, 36.55402, 24.1467, 38.49805, 26.27017, 38.50728, 26.25899).jpeg",12
"image_(18, 36.55502, 24.14734, 38.48402, 21.09355, 38.49273, 21.08174).jpeg",39
"image_(18, 36.55682, 26.22312, 38.90289, 22.99158, 38.9118, 22.97992).jpeg",22
"image_(18, 36.55968, 26.22366, 38.90557, 23.00557, 38.91448, 22.99391).jpeg",16
"image_(18, 36.56025, 26.39337, 38.94908, 20.86507, 38.95776, 20.85314).jpeg",10
"image_(18, 36.56053, 22.38524, 38.20486, 20.48135, 38.21352, 20.46952).jpeg",27
"image_(18, 36.56134, 26.39112, 38.94454, 20.86329, 38.95323, 20.85137).jpeg",26
"image_(18, 36.56187, 26.22239, 38.90422, 22.99301, 38.91313, 22.98135).jpeg",25
"image_(18, 36.56267, 27.13882, 39.02678, 21.12639, 39.0355, 21.11449).jpeg",19
"image_(18, 36.56305, 26.36098, 38.9381, 20.93493, 38.9468, 20.92302).jpeg",8
"image_(18, 36.56755, 26.27227, 38.94161, 24.55548, 38.95068, 24.54401).jpeg",4
"image_(18, 36.57055, 26.38886, 38.94398, 20.92862, 38.95267, 20.9167).jpeg",9
"image_(18, 36.5743, 26.26725, 38.91418, 22.92063, 38.92308, 22.90896).jpeg",33
"image_(18, 36.57858, 22.93902, 38.37569, 21.09891, 38.38441, 21.08712).jpeg",12
"image_(18, 36.57981, 26.46975, 38.95095, 20.83074, 38.95964, 20.81881).jpeg",40
"image_(18, 36.58028, 22.93832, 38.37442, 21.09789, 38.38313, 21.08609).jpeg",8
"image_(18, 36.58111, 22.37286, 38.08195, 24.27631, 38.09099, 24.26494).jpeg",46
"image_(18, 36.58128, 22.37272, 38.19502, 20.4491, 38.20367, 20.43726).jpeg",1
"image_(18, 36.58282, 26.42381, 38.9515, 20.863, 38.96019, 20.85108).jpeg",18
"image_(18, 36.58337, 27.86255, 39.15574, 23.07669, 39.16466, 23.065).jpeg",8
"image_(18, 36.58358, 22.93448, 38.36245, 21.04294, 38.37117, 21.03114).jpeg",65
"image_(18, 36.58372, 26.26097, 38.91529, 22.9019, 38.92419, 22.89023).jpeg",10
"image_(18, 36.58393, 27.12737, 39.00842, 21.14116, 39.01713, 21.12926).jpeg",22
"image_(18, 36.584, 22.37247, 38.22358, 21.72027, 38.23236, 21.70857).jpeg",1
"image_(18, 36.58497, 26.26357, 38.9141, 22.9204, 38.923, 22.90873).jpeg",23
"image_(18, 36.58533, 26.36147, 38.93738, 20.86188, 38.94607, 20.84996).jpeg",21
"image_(18, 36.58695, 26.36232, 38.93764, 20.85762, 38.94633, 20.8457).jpeg",30
"image_(18, 36.58856, 26.26333, 38.9162, 22.92832, 38.92511, 22.91665).jpeg",10
"image_(18, 36.58861, 22.92806, 38.36166, 21.04278, 38.37037, 21.03098).jpeg",69
"image_(18, 36.59094, 26.25978, 38.9141, 22.90654, 38.923, 22.89487).jpeg",23
"image_(18, 36.59274, 26.25951, 38.91373, 22.91381, 38.92263, 22.90214).jpeg",8
"image_(18, 36.59319, 24.9424, 38.66803, 20.93368, 38.67672, 20.92181).jpeg",16
"image_(18, 36.59425, 22.89939, 38.38282, 23.96421, 38.39183, 23.95275).jpeg",42
"image_(18, 36.59427, 26.26337, 38.91678, 22.91342, 38.92568, 22.90175).jpeg",9
"image_(18, 36.59454, 26.35629, 38.93561, 20.8652, 38.94429, 20.85328).jpeg",20
"image_(18, 36.59464, 22.89849, 38.36259, 22.11497, 38.37141, 22.10329).jpeg",11
"image_(18, 36.59481, 26.38168, 38.94323, 20.92956, 38.95192, 20.91765).jpeg",8
"image_(18, 36.5953, 22.3843, 38.20291, 20.48033, 38.21157, 20.4685).jpeg",26
"image_(18, 36.59534, 22.38444, 38.20292, 20.48431, 38.21157, 20.47248).jpeg",31
"image_(18, 36.59539, 22.89855, 38.38239, 24.05742, 38.39141, 24.04597).jpeg",2
"image_(18, 36.59732, 22.91494, 38.35362, 21.04928, 38.36233, 21.03749).jpeg",61
"image_(18, 36.59804, 22.89577, 38.38206, 23.9617, 38.39107, 23.95024).jpeg",57
"image_(18, 36.59867, 26.39596, 38.95002, 20.8652, 38.95871, 20.85328).jpeg",9
"image_(18, 36.59928, 27.12609, 39.01386, 26.15893, 39.02307, 26.14766).jpeg",1
"image_(18, 36.59936, 22.37034, 38.22394, 22.8167, 38.23284, 22.80513).jpeg",11
"image_(18, 36.60124, 24.90784, 38.68789, 23.41458, 38.69685, 23.40301).jpeg",28
"image_(18, 36.60343, 24.90575, 38.68738, 23.41281, 38.69634, 23.40124).jpeg",25
"image_(18, 36.60541, 22.36397, 38.18384, 22.95994, 38.19275, 22.94839).jpeg",9
"image_(18, 36.60758, 26.355, 38.93433, 20.84981, 38.94302, 20.83789).jpeg",24
"image_(18, 36.60797, 27.12761, 39.01019, 21.1412, 39.01891, 21.1293).jpeg",20
"image_(18, 36.60819, 26.45067, 38.95036, 20.81458, 38.95904, 20.80266).jpeg",29
"image_(18, 36.61008, 26.34458, 38.92459, 20.76719, 38.93327, 20.75526).jpeg",1
"image_(18, 36.61035, 23.05434, 38.31243, 21.11932, 38.32115, 21.10754).jpeg",19
"image_(18, 36.61178, 22.50221, 38.31752, 24.09478, 38.32654, 24.08335).jpeg",25
"image_(18, 36.61412, 22.88203, 38.35717, 22.40043, 38.36602, 22.38879).jpeg",29
"image_(18, 36.61441, 26.33877, 38.92409, 21.03035, 38.93279, 21.01846).jpeg",69
"image_(18, 36.61502, 22.50212, 38.30925, 22.60977, 38.31813, 22.59816).jpeg",31
"image_(18, 36.61534, 22.88175, 38.36373, 24.05342, 38.37274, 24.04198).jpeg",43
"image_(18, 36.6156, 22.52714, 38.30936, 22.60854, 38.31824, 22.59693).jpeg",32
"image_(18, 36.61586, 26.33829, 38.92374, 21.03016, 38.93244, 21.01827).jpeg",72
"image_(18, 36.6165, 22.48312, 38.31593, 24.06505, 38.32495, 24.05361).jpeg",7
"image_(18, 36.61659, 22.487, 38.31683, 24.05965, 38.32585, 24.04822).jpeg",10
"image_(18, 36.61684, 22.48577, 38.30825, 22.61135, 38.31712, 22.59975).jpeg",35
"image_(18, 36.61747, 22.49052, 38.30848, 22.61265, 38.31735, 22.60105).jpeg",31
"image_(18, 36.61836, 22.37008, 38.22759, 22.79672, 38.23649, 22.78515).jpeg",24
"image_(18, 36.61838, 22.49729, 38.3187, 24.09412, 38.32772, 24.08269).jpeg",29
"image_(18, 36.61937, 22.8757, 38.35363, 22.60966, 38.36251, 22.59804).jpeg",1
"image_(18, 36.62026, 27.0827, 38.96139, 20.79573, 38.97007, 20.7838).jpeg",40
"image_(18, 36.62118, 22.87594, 38.32723, 21.13742, 38.33595, 21.12564).jpeg",3
"image_(18, 36.62126, 22.36601, 38.20498, 24.05604, 38.214, 24.04462).jpeg",17
"image_(18, 36.62917, 25.67196, 38.82639, 20.73269, 38.83506, 20.72077).jpeg",3
"image_(18, 36.62973, 26.42133, 38.95149, 20.86357, 38.96017, 20.85165).jpeg",12
"image_(18, 36.63, 26.41951, 38.95131, 20.86545, 38.96, 20.85353).jpeg",9
"image_(18, 36.6341, 27.80855, 38.95917, 20.80508, 38.96785, 20.79315).jpeg",2
"image_(18, 36.63903, 23.03191, 38.39925, 20.60889, 38.40791, 20.59704).jpeg",17
"image_(18, 36.64432, 22.38226, 38.19715, 20.44734, 38.20579, 20.4355).jpeg",7
"image_(18, 36.64475, 22.88166, 38.33912, 21.60007, 38.34789, 21.58834).jpeg",12
"image_(18, 36.6477, 22.37271, 38.08177, 24.28003, 38.09081, 24.26866).jpeg",50
"image_(18, 36.64778, 24.32201, 38.53922, 23.33483, 38.54816, 23.32327).jpeg",35
"image_(18, 36.64857, 22.88009, 38.3624, 24.0535, 38.37142, 24.04206).jpeg",31
"image_(18, 36.64969, 22.87913, 38.36237, 24.05586, 38.37139, 24.04442).jpeg",24
"image_(18, 36.6505, 25.38419, 38.83171, 22.57499, 38.84058, 22.56329).jpeg",9
"image_(18, 36.65395, 24.3705, 38.56143, 23.32379, 38.57038, 23.31222).jpeg",16
"image_(18, 36.6541, 25.34198, 38.77738, 20.88338, 38.78608, 20.87149).jpeg",3
"image_(18, 36.65562, 22.36464, 38.14067, 20.4935, 38.14932, 20.48168).jpeg",4
"image_(18, 36.65567, 24.32, 38.53468, 23.35883, 38.54363, 23.34728).jpeg",25
"image_(18, 36.65627, 24.40946, 38.57845, 23.31592, 38.58739, 23.30435).jpeg",41
"image_(18, 36.65741, 22.36492, 38.18736, 22.92103, 38.19627, 22.90948).jpeg",12
"image_(18, 36.65856, 24.31815, 38.53464, 23.35703, 38.54359, 23.34547).jpeg",18
"image_(18, 36.66136, 22.86865, 38.36079, 24.05346, 38.36981, 24.04201).jpeg",33
"image_(18, 36.66155, 24.31816, 38.53463, 23.35371, 38.54358, 23.34215).jpeg",14
"image_(18, 36.662, 22.36212, 38.154, 21.54429, 38.16277, 21.53258).jpeg",1
"image_(18, 36.66322, 24.31817, 38.53429, 23.366, 38.54324, 23.35445).jpeg",3
"image_(18, 36.66353, 22.36118, 38.15209, 23.22717, 38.16103, 23.21566).jpeg",2
"image_(18, 36.6637, 25.07692, 38.72492, 20.58524, 38.73358, 20.57332).jpeg",8
"image_(18, 36.66397, 22.86792, 38.32586, 21.13811, 38.33458, 21.12633).jpeg",17
"image_(18, 36.66488, 22.86737, 38.32487, 21.14011, 38.33359, 21.12832).jpeg",12
"image_(18, 36.66713, 21.94614, 38.01316, 21.30692, 38.0219, 21.29521).jpeg",1
"image_(18, 36.67059, 22.85857, 38.34747, 22.39448, 38.35632, 22.38284).jpeg",14
"image_(18, 36.67192, 22.85458, 38.34945, 22.61212, 38.35832, 22.6005).jpeg",14
"image_(18, 36.67247, 25.08657, 38.72815, 20.58757, 38.73681, 20.57566).jpeg",13
"image_(18, 36.67261, 22.85143, 38.34901, 22.61084, 38.35788, 22.59923).jpeg",19
"image_(18, 36.67305, 27.12342, 39.00172, 26.60532, 39.01098, 26.59411).jpeg",32
"image_(18, 36.67492, 26.96103, 38.96804, 20.77861, 38.97671, 20.76668).jpeg",6
"image_(18, 36.67556, 26.95476, 38.96146, 20.79688, 38.97014, 20.78495).jpeg",46
"image_(18, 36.67638, 21.89423, 38.01268, 21.306, 38.02142, 21.29429).jpeg",2
"image_(18, 36.67764, 26.95349, 38.96193, 20.79276, 38.97061, 20.78083).jpeg",41
"image_(18, 36.6798, 27.12998, 39.02248, 26.5382, 39.03174, 26.52698).jpeg",18
"image_(18, 36.68057, 24.33179, 38.55509, 23.32518, 38.56403, 23.31362).jpeg",81
"image_(18, 36.68456, 22.84643, 38.34098, 22.27214, 38.34982, 22.26049).jpeg",14
"image_(18, 36.68539, 23.03942, 38.39934, 20.60736, 38.408, 20.59551).jpeg",12
"image_(18, 36.6864, 22.83902, 38.33954, 22.27662, 38.34838, 22.26496).jpeg",19
"image_(18, 36.69005, 21.94493, 38.01257, 21.30834, 38.02131, 21.29663).jpeg",3
"image_(18, 36.69079, 22.81113, 38.30721, 21.12599, 38.31593, 21.11421).jpeg",30
"image_(18, 36.69762, 22.8093, 38.33419, 22.68397, 38.34307, 22.67237).jpeg",6
"image_(18, 36.70182, 25.269, 38.76162, 23.59906, 38.77059, 23.5875).jpeg",2
"image_(18, 36.70236, 24.40208, 38.58102, 23.31339, 38.58997, 23.30182).jpeg",37
"image_(18, 36.70251, 25.38823, 38.84076, 22.72248, 38.84964, 22.7108).jpeg",42
"image_(18, 36.70256, 24.40431, 38.58317, 23.32023, 38.59212, 23.30866).jpeg",8
"image_(18, 36.70304, 24.40338, 38.58167, 23.32007, 38.59062, 23.30851).jpeg",35
"image_(18, 36.7062, 22.81931, 38.33879, 22.3967, 38.34764, 22.38506).jpeg",2
"image_(18, 36.71136, 22.8208, 38.32976, 21.77626, 38.33855, 21.76455).jpeg",1
"image_(18, 36.7141, 22.81995, 38.31436, 21.11932, 38.32308, 21.10754).jpeg",16
"image_(18, 36.71688, 21.79765, 38.01169, 21.30773, 38.02043, 21.29602).jpeg",1
"image_(18, 36.71736, 24.32654, 38.54793, 23.33075, 38.55688, 23.31919).jpeg",6
"image_(18, 36.71929, 25.24405, 38.73493, 20.58865, 38.74359, 20.57674).jpeg",1
"image_(18, 36.72044, 25.24509, 38.737, 20.58915, 38.74566, 20.57723).jpeg",1
"image_(18, 36.72057, 22.33549, 38.08338, 24.21747, 38.09241, 24.2061).jpeg",26
"image_(18, 36.72097, 21.87497, 37.99957, 21.30002, 38.00831, 21.28831).jpeg",1
"image_(18, 36.72273, 22.81802, 38.33703, 22.39026, 38.34588, 22.37863).jpeg",8
"image_(18, 36.73062, 24.33545, 38.47786, 21.03802, 38.48657, 21.0262).jpeg",6
"image_(18, 36.73159, 23.04018, 38.41918, 21.36068, 38.42792, 21.34891).jpeg",6
"image_(18, 36.7318, 22.81402, 38.30865, 21.12596, 38.31737, 21.11418).jpeg",23
"image_(18, 36.73303, 24.33763, 38.56082, 23.3248, 38.56976, 23.31324).jpeg",15
"image_(18, 36.73313, 23.04002, 38.41888, 21.35954, 38.42762, 21.34777).jpeg",1
"image_(18, 36.73368, 24.37761, 38.53844, 21.01543, 38.54715, 21.0036).jpeg",10
"image_(18, 36.73608, 24.39201, 38.57764, 23.31338, 38.58659, 23.30181).jpeg",48
"image_(18, 36.73644, 26.9207, 38.91564, 20.75313, 38.92432, 20.74121).jpeg",21
"image_(18, 36.73764, 24.34049, 38.5642, 23.3186, 38.57314, 23.30703).jpeg",12
"image_(18, 36.73813, 24.33734, 38.56043, 23.60491, 38.56941, 23.59338).jpeg",1
"image_(18, 36.73975, 24.33716, 38.5564, 23.32396, 38.56534, 23.3124).jpeg",82
"image_(18, 36.74078, 24.339, 38.55345, 25.56016, 38.56261, 25.54888).jpeg",1
"image_(18, 36.74087, 24.41419, 38.5988, 23.34632, 38.60774, 23.33475).jpeg",46
"image_(18, 36.74107, 22.32609, 38.07179, 24.29071, 38.08083, 24.27934).jpeg",36
"image_(18, 36.74352, 22.3233, 38.0697, 24.28962, 38.07874, 24.27826).jpeg",41
"image_(18, 36.74491, 26.92044, 38.92185, 21.03399, 38.93056, 21.0221).jpeg",76
"image_(18, 36.74628, 24.34754, 38.534, 21.0172, 38.54271, 21.00536).jpeg",5
"image_(18, 36.74968, 22.7985, 38.29853, 21.10806, 38.30725, 21.09627).jpeg",25
"image_(18, 36.75084, 24.44531, 38.60515, 23.34611, 38.61409, 23.33454).jpeg",10
"image_(18, 36.7521, 21.85659, 38.02382, 22.85514, 38.03272, 22.84361).jpeg",1
"image_(18, 36.75228, 22.32084, 38.07098, 24.29078, 38.08002, 24.27942).jpeg",44
"image_(18, 36.75239, 21.70343, 37.96953, 24.0208, 37.97854, 24.00942).jpeg",9
"image_(18, 36.75269, 24.48842, 38.59254, 21.02643, 38.60124, 21.01459).jpeg",1
"image_(18, 36.75304, 24.40413, 38.58226, 23.31875, 38.59121, 23.30719).jpeg",11
"image_(18, 36.75307, 22.57131, 38.28716, 21.10823, 38.29588, 21.09645).jpeg",46
"image_(18, 36.75623, 27.00725, 39.00072, 26.17387, 39.00994, 26.16261).jpeg",1
"image_(18, 36.75732, 22.31799, 38.06718, 24.2897, 38.07622, 24.27833).jpeg",50
"image_(18, 36.75736, 21.69564, 37.96531, 23.30264, 37.97426, 23.29117).jpeg",1
"image_(18, 36.75741, 24.61429, 38.66388, 23.09418, 38.6728, 23.08257).jpeg",9
"image_(18, 36.75803, 24.41077, 38.5518, 21.01937, 38.56051, 21.00753).jpeg",15
"image_(18, 36.75817, 24.41066, 38.5959, 23.34432, 38.60485, 23.33275).jpeg",31
"image_(18, 36.75917, 21.69538, 37.96456, 23.30586, 37.97351, 23.29439).jpeg",2
"image_(18, 36.76032, 24.41104, 38.59677, 23.34471, 38.60572, 23.33314).jpeg",24
"image_(18, 36.76072, 24.50761, 38.6005, 21.02782, 38.60921, 21.01598).jpeg",14
"image_(18, 36.76406, 24.50692, 38.58293, 20.63806, 38.5916, 20.62617).jpeg",7
"image_(18, 36.76412, 23.0974, 38.48634, 26.15402, 38.49555, 26.14283).jpeg",7
"image_(18, 36.76416, 24.40933, 38.58388, 23.32067, 38.59282, 23.3091).jpeg",8
"image_(18, 36.76441, 24.40955, 38.55002, 21.02006, 38.55873, 21.00823).jpeg",19
"image_(18, 36.76511, 21.84084, 38.00142, 24.28975, 38.01046, 24.27839).jpeg",7
"image_(18, 36.76726, 24.52136, 38.6036, 20.88114, 38.61229, 20.86928).jpeg",76
"image_(18, 36.7676, 24.51363, 38.6038, 21.02336, 38.61251, 21.01152).jpeg",18
"image_(18, 36.76818, 22.56428, 38.32011, 24.07997, 38.32913, 24.06854).jpeg",24
"image_(18, 36.76977, 24.5235, 38.60493, 20.88004, 38.61362, 20.86818).jpeg",62
"image_(18, 36.77051, 25.25977, 38.75499, 20.88656, 38.76369, 20.87468).jpeg",5
"image_(18, 36.77103, 23.60473, 38.49286, 26.27492, 38.50209, 26.26374).jpeg",2
"image_(18, 36.77118, 24.41892, 38.59759, 23.34532, 38.60654, 23.33376).jpeg",42
"image_(18, 36.77879, 24.23178, 38.50526, 26.15781, 38.51448, 26.14662).jpeg",17
"image_(18, 36.77943, 24.53189, 38.61151, 21.01752, 38.62021, 21.00568).jpeg",9
"image_(18, 36.7804, 24.38911, 38.53949, 21.01448, 38.5482, 21.00265).jpeg",8
"image_(18, 36.78061, 24.22288, 38.48417, 21.02917, 38.49288, 21.01735).jpeg",14
"image_(18, 36.78138, 24.53083, 38.6106, 21.01675, 38.61931, 21.00491).jpeg",9
"image_(18, 36.7824, 25.83724, 38.89436, 22.95383, 38.90326, 22.94217).jpeg",28
"image_(18, 36.7829, 24.39886, 38.57792, 23.31431, 38.58687, 23.30274).jpeg",37
"image_(18, 36.78489, 23.09226, 38.48268, 26.14602, 38.49189, 26.13483).jpeg",36
"image_(18, 36.78507, 25.85811, 38.89758, 22.96358, 38.90649, 22.95192).jpeg",30
"image_(18, 36.78558, 25.85585, 38.88698, 22.94283, 38.89589, 22.93117).jpeg",58
"image_(18, 36.78561, 23.09259, 38.4655, 21.05986, 38.47421, 21.04804).jpeg",6
"image_(18, 36.78561, 25.27171, 38.75693, 20.72723, 38.7656, 20.71532).jpeg",4
"image_(18, 36.78594, 21.75838, 37.98288, 24.40196, 37.99194, 24.39062).jpeg",4
"image_(18, 36.78732, 23.07892, 38.46606, 26.15677, 38.47527, 26.14558).jpeg",13
"image_(18, 36.78938, 25.28057, 38.76115, 20.82642, 38.76983, 20.81453).jpeg",6
"image_(18, 36.78942, 26.90464, 37.8153, 23.2591, 37.82424, 23.24765).jpeg",10
"image_(18, 36.78976, 24.2224, 38.48342, 21.04091, 38.49213, 21.02909).jpeg",50
"image_(18, 36.79046, 24.53072, 38.64444, 23.11729, 38.65336, 23.10568).jpeg",11
"image_(18, 36.79088, 22.59707, 38.28798, 21.10891, 38.2967, 21.09713).jpeg",32
"image_(18, 36.79231, 21.75769, 36.90632, 25.59324, 36.91548, 25.58221).jpeg",1
"image_(18, 36.79411, 22.78574, 38.33146, 23.77817, 38.34045, 23.7667).jpeg",1
"image_(18, 36.79434, 23.08967, 38.48246, 26.13575, 38.49168, 26.12455).jpeg",1
"image_(18, 36.79562, 24.52598, 38.60551, 20.88062, 38.61421, 20.86876).jpeg",65
"image_(18, 36.79672, 25.7649, 38.8877, 22.94222, 38.89661, 22.93055).jpeg",68
"image_(18, 36.79697, 24.52264, 38.60453, 20.87981, 38.61322, 20.86795).jpeg",70
"image_(18, 36.79764, 24.22075, 38.48339, 21.04009, 38.4921, 21.02827).jpeg",44
"image_(18, 36.80115, 24.22334, 38.48731, 21.09152, 38.49602, 21.0797).jpeg",21
"image_(18, 36.80115, 24.22357, 38.50492, 26.15966, 38.51414, 26.14846).jpeg",17
"image_(18, 36.80292, 23.89354, 38.47753, 21.03843, 38.48624, 21.02661).jpeg",16
"image_(18, 36.80381, 22.67457, 37.01668, 22.12616, 37.02552, 22.1147).jpeg",1
"image_(18, 36.80756, 24.52007, 38.60442, 21.02504, 38.61313, 21.0132).jpeg",30
"image_(18, 36.80771, 25.74038, 37.64853, 24.2983, 37.65757, 24.287).jpeg",1
"image_(18, 36.81043, 24.52026, 37.38431, 23.06779, 37.39323, 23.05638).jpeg",30
"image_(18, 36.81103, 23.08549, 37.03202, 26.92693, 37.0413, 26.91605).jpeg",14
"image_(18, 36.82294, 24.52041, 37.38399, 23.06789, 37.39291, 23.05648).jpeg",35
"image_(18, 36.82567, 25.46656, 37.55777, 26.45474, 37.56701, 26.44372).jpeg",1
"image_(18, 36.83793, 23.88648, 37.30338, 23.20832, 37.31232, 23.19694).jpeg",1
"image_(18, 36.84049, 23.05679, 37.06175, 25.09866, 37.07086, 25.08754).jpeg",2
"image_(18, 36.84525, 24.56695, 37.4715, 23.03703, 37.48042, 23.02561).jpeg",33
"image_(18, 36.84665, 23.88746, 37.30198, 23.20854, 37.31091, 23.19717).jpeg",2
"image_(18, 36.84683, 22.25534, 36.96471, 27.05302, 36.974, 27.04216).jpeg",15
"image_(18, 36.85677, 22.25518, 36.96419, 27.05453, 36.97348, 27.04367).jpeg",15
"image_(18, 36.8586, 22.25062, 36.96314, 27.05312, 36.97243, 27.04226).jpeg",30
"image_(18, 36.86008, 22.24512, 36.96212, 27.0521, 36.97141, 27.04124).jpeg",45
"image_(18, 36.86396, 22.24737, 36.96562, 26.93856, 36.9749, 26.92769).jpeg",1
"image_(18, 36.86515, 22.24667, 36.9623, 27.05225, 36.97159, 27.04139).jpeg",29
"image_(18, 36.86834, 22.24226, 36.97857, 26.28866, 36.9878, 26.2777).jpeg",1
"image_(18, 36.8689, 22.24103, 36.95956, 27.0483, 36.96885, 27.03744).jpeg",33
"image_(18, 36.87184, 22.23928, 36.9596, 27.04862, 36.96889, 27.03776).jpeg",41
"image_(18, 36.87322, 22.23921, 36.95928, 27.04791, 36.96857, 27.03705).jpeg",35
"image_(18, 36.87894, 22.23284, 36.95819, 27.04311, 36.96748, 27.03225).jpeg",18
"image_(18, 36.88355, 22.23389, 36.97423, 21.6594, 36.98301, 21.6479).jpeg",2
"image_(18, 36.88503, 22.23265, 36.96051, 26.93188, 36.96979, 26.921).jpeg",1
"image_(18, 36.89012, 22.16862, 36.94282, 27.03861, 36.95211, 27.02775).jpeg",9
"image_(18, 36.89085, 25.51786, 37.60632, 23.32215, 37.61527, 23.31073).jpeg",34
"image_(18, 36.89188, 26.06296, 37.6937, 20.98808, 37.70241, 20.97639).jpeg",1
"image_(18, 36.89327, 26.08227, 37.73387, 23.13388, 37.7428, 23.12242).jpeg",25
"image_(18, 36.89331, 26.01826, 37.71095, 23.16561, 37.71989, 23.15417).jpeg",3
"image_(18, 36.8936, 27.30084, 37.95475, 24.39225, 37.9638, 24.38092).jpeg",4
"image_(18, 36.89482, 26.02139, 37.71166, 23.16654, 37.72059, 23.15509).jpeg",7
"image_(18, 36.89499, 22.18754, 36.94301, 27.0353, 36.9523, 27.02444).jpeg",8
"image_(18, 36.89502, 26.02235, 37.71334, 23.1731, 37.72227, 23.16165).jpeg",12
"image_(18, 36.8958, 26.02521, 37.714, 23.18333, 37.72293, 23.17189).jpeg",43
"image_(18, 36.89619, 26.03116, 37.71515, 23.15845, 37.72408, 23.14701).jpeg",29
"image_(18, 36.89628, 26.03457, 37.71847, 23.15207, 37.7274, 23.14063).jpeg",20
"image_(18, 36.89628, 26.05523, 37.72662, 23.13101, 37.73555, 23.11956).jpeg",44
"image_(18, 36.89659, 22.21022, 36.95349, 27.04668, 36.96278, 27.03582).jpeg",12
"image_(18, 36.89858, 22.15308, 36.94255, 27.04137, 36.95184, 27.03051).jpeg",3
"image_(18, 36.89906, 26.0515, 37.72308, 23.13906, 37.73201, 23.12761).jpeg",18
"image_(18, 36.90399, 22.20326, 36.96595, 21.93829, 36.97476, 21.92681).jpeg",1
"image_(18, 36.9084, 26.0596, 37.72674, 23.12939, 37.73567, 23.11793).jpeg",47
"image_(18, 36.90845, 24.69571, 37.47168, 23.03712, 37.4806, 23.0257).jpeg",25
"image_(18, 36.90861, 23.4593, 37.25415, 21.66895, 37.26294, 21.6574).jpeg",16
"image_(18, 36.91043, 24.69424, 37.47131, 23.03702, 37.48023, 23.0256).jpeg",22
"image_(18, 36.91056, 26.05415, 37.69607, 21.32257, 37.70482, 21.31092).jpeg",4
"image_(18, 36.91066, 24.69393, 37.47083, 23.03712, 37.47975, 23.0257).jpeg",32
"image_(18, 36.91177, 23.45831, 37.25256, 21.6704, 37.26134, 21.65885).jpeg",4
"image_(18, 36.91289, 21.66652, 36.83295, 21.70093, 36.84174, 21.68945).jpeg",2
"image_(18, 36.91299, 24.69313, 37.46976, 23.0404, 37.47868, 23.02898).jpeg",34
"image_(18, 36.91481, 26.04366, 37.68214, 20.87035, 37.69084, 20.85865).jpeg",3
"image_(18, 36.91532, 24.69162, 37.46997, 23.05146, 37.47889, 23.04003).jpeg",1
"image_(18, 36.9168, 23.45639, 37.26283, 23.28374, 37.27178, 23.27238).jpeg",17
"image_(18, 36.91778, 24.69142, 37.46961, 23.05075, 37.47854, 23.03933).jpeg",5
"image_(18, 36.91779, 24.69159, 37.4698, 23.0392, 37.47872, 23.02778).jpeg",24
"image_(18, 36.91904, 23.46026, 37.25286, 21.67196, 37.26164, 21.66042).jpeg",4
"image_(18, 36.92203, 24.68802, 37.46692, 23.03286, 37.47584, 23.02143).jpeg",9
"image_(18, 36.92278, 24.68719, 37.46608, 23.0288, 37.475, 23.01738).jpeg",13
"image_(18, 36.92592, 26.94074, 37.88738, 24.71543, 37.89646, 24.70415).jpeg",6
"image_(18, 36.92803, 26.93962, 37.83712, 20.63289, 37.84579, 20.62114).jpeg",3
"image_(18, 36.93012, 26.00231, 37.70209, 23.17644, 37.71102, 23.16499).jpeg",15
"image_(18, 36.93113, 26.94052, 37.8861, 23.41896, 37.89505, 23.40752).jpeg",1
"image_(18, 36.93248, 26.01955, 37.68187, 26.7625, 37.69114, 26.7515).jpeg",4
"image_(18, 36.93303, 27.15721, 37.95038, 23.42871, 37.95934, 23.41726).jpeg",5
"image_(18, 36.93464, 26.01494, 37.70907, 23.18145, 37.718, 23.17001).jpeg",21
"image_(18, 36.93557, 24.68109, 37.45748, 25.49798, 37.46663, 25.48686).jpeg",2
"image_(18, 36.93861, 21.65879, 36.81484, 21.70672, 36.82363, 21.69525).jpeg",1
"image_(18, 36.94082, 25.06671, 37.49583, 22.92829, 37.50474, 22.91685).jpeg",19
"image_(18, 36.94151, 24.67802, 37.45952, 23.01556, 37.46844, 23.00414).jpeg",9
