image,detections
"image_(18, 35.45291, 24.17823, 40.50161, 22.70496, 40.51048, 22.69298).jpeg",5
"image_(18, 35.46701, 24.22951, 40.50276, 22.70489, 40.51163, 22.69291).jpeg",10
"image_(18, 35.48005, 24.11154, 40.49883, 22.67346, 40.5077, 22.66148).jpeg",12
"image_(18, 35.48069, 23.56926, 39.95408, 23.98471, 39.96309, 23.973).jpeg",78
"image_(18, 35.48894, 24.08607, 40.49894, 22.70618, 40.50781, 22.69421).jpeg",7
"image_(18, 35.48935, 24.08146, 40.49844, 22.67072, 40.50731, 22.65874).jpeg",7
"image_(18, 35.49095, 24.06645, 40.4938, 22.67646, 40.50268, 22.66448).jpeg",5
"image_(18, 35.49174, 24.06658, 40.49395, 22.67205, 40.50282, 22.66008).jpeg",13
"image_(18, 35.4921, 24.07792, 40.49721, 22.66988, 40.50608, 22.65791).jpeg",11
"image_(18, 35.49275, 24.06618, 40.49356, 22.67285, 40.50243, 22.66087).jpeg",11
"image_(18, 35.49443, 24.13651, 40.5, 22.67042, 40.50887, 22.65845).jpeg",5
"image_(18, 35.49482, 24.06465, 40.49321, 22.67384, 40.50209, 22.66186).jpeg",13
"image_(18, 35.49737, 24.13488, 40.49561, 22.67144, 40.50448, 22.65946).jpeg",3
"image_(18, 35.49778, 24.13283, 40.49934, 22.66851, 40.50821, 22.65653).jpeg",10
"image_(18, 35.50374, 24.07369, 40.49457, 22.67397, 40.50344, 22.66199).jpeg",8
"image_(18, 35.50994, 27.21044, 41.05709, 25.12798, 41.06621, 25.11624).jpeg",1
"image_(18, 35.51058, 27.21437, 41.08191, 25.11528, 41.09103, 25.10353).jpeg",1
"image_(18, 35.51406, 23.56762, 39.93696, 25.28903, 39.9461, 25.27749).jpeg",1
"image_(18, 35.51724, 27.09844, 40.55191, 22.78513, 40.56079, 22.77316).jpeg",13
"image_(18, 35.5177, 24.13155, 40.50101, 22.66951, 40.50988, 22.65753).jpeg",5
"image_(18, 35.51771, 23.57131, 39.95647, 23.98741, 39.96548, 23.9757).jpeg",76
